{'短评内容': '靠近路边，太吵了，房间还不太合隔音', '短评打分': 5}
{'短评内容': '价格 优惠！ 房间摆设简单，没有吹风机。 没有一次性用品，靠近马路，有点吵，门上没有猫眼，无法看外面敲门的人', '短评打分': 5}
{'短评内容': '棒', '短评打分': 5}
{'短评内容': '酒店非常舒服', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还是比较安静的，设备有些旧。其他都还不错。', '短评打分': 4}
{'短评内容': '设备老旧，早餐差劲！设备老旧，早餐差劲！', '短评打分': 3}
{'短评内容': '还不错。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '位置有些偏，总体说来还不错吧！', '短评打分': 5}
{'短评内容': '性价比较高,灯光较足. 酒店虽地处火车西站对面, 但因车不多,噪声还能忍度.因住七楼,视野还不错', '短评打分': 5}
{'短评内容': '服务差的不行，走时没开发票，请把发票帮我寄来，我到付，这都是应该的，但是我住了2晚，只开了一晚的发票，另一张拖了一周，期间我不停的打电话，每天都是这个问领导，那个问领导，终于告诉我可以寄给我，但是还是要我付款，不是钱多少的问题， 是这样的服务态度和服务意识。宾馆的味道很大，一洗澡整个洗手间都淹起来了，早餐也没什么东西，说下午2点退房，我两间一起办手续，一间押金单不在身上，没帮我办理退房手续，我说再', '短评打分': 1}
{'短评内容': '……酒店环境不错，推荐，性价比高……', '短评打分': 3}
{'短评内容': '时间长了忘了评论，还是很不错的一家酒店，性价比也合适', '短评打分': 5}
{'短评内容': '大床房隔音很不好，还都靠路晚上很吵，影响休息！', '短评打分': 3}
{'短评内容': '总体不错，环境挺好，就是晚上火车有几声吵', '短评打分': 5}
{'短评内容': '洗手池龙头太靠池边 导致水容易流到台子上 进而流到地面 人差点滑倒 望改进 其他方面都好 下次去合肥首选此家', '短评打分': 3}
{'短评内容': '总体感觉还行。', '短评打分': 3}
{'短评内容': '感觉挺不错的，环境舒适！', '短评打分': 3}
{'短评内容': '1.服务态度超好，酒店也干净；\n2.周边交通还算便捷，早晚搭出租车不太好搭；\n3.附近道路有点吵，隔音可能需要改进；\n4.卫生间排水不好，洗澡的时候要把排水口的盖子拿掉；卫生间里没吹风机，要向总台借一个；\n5.早餐丰富，虽然那天早上没吃多少；\n6.房间里摆了很多吃食和卫生用品，可惜都是标价的- -还有点小贵。', '短评打分': 5}
{'短评内容': '酒店房间还好，隔音不行，早餐特别难吃～个人观点～', '短评打分': 3}
{'短评内容': '房间还可以，但价格有点高了，服务态度很好', '短评打分': 5}
{'短评内容': '酒店很好，安静，房间格局大气，推荐！', '短评打分': 3}
{'短评内容': '酒店环境不错，房间配置很好，格局挺大气，很满意，下次肯定还来这。', '短评打分': 3}
{'短评内容': '很好很好很好很好很好很好很好很好很很好好很好很好很很好很好好很好很好', '短评打分': 5}
{'短评内容': '浅草湾合肥西站店服务态度很好，但是位置有点小偏，而且房间有股霉味，卫生间排水很不好，都能漫到房间走道', '短评打分': 3}
{'短评内容': '设施不错，干净卫生，提供自助早餐。位于火车西站对面，出行很方便。临街有一点点吵。', '短评打分': 5}
{'短评内容': '比较安静，房间和卫生间地点比较大，早餐单调了点。', '短评打分': 1}
{'短评内容': '环境不错，但是空调欠佳，卫生间排水很差！', '短评打分': 3}
