{'短评内容': '非常好，舒适干净服务态度也好！一次愉快的旋行', '短评打分': 5}
{'短评内容': '地方还可以，服务也不错，就是某东平台差，服务差！', '短评打分': 1}
{'短评内容': '第一次从网上订酒店，感觉很方便，以后还会使用。京东的服务很好，短信提示很及时，我开始还担心用不好呢，真用起来太方便、太简单了。有优惠，很实在。满意。', '短评打分': 5}
{'短评内容': '方便，环境挺好。', '短评打分': 5}
{'短评内容': '很好很好，下次再来买的.', '短评打分': 5}
{'短评内容': '方便，快捷，价格低。', '短评打分': 5}
{'短评内容': '还不错吧~挺好的', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '住了几次感觉很好推荐', '短评打分': 5}
{'短评内容': '棒棒哒，住的标间，很好，暖气也很足', '短评打分': 5}
{'短评内容': '订了四间，价格优惠，很好', '短评打分': 5}
{'短评内容': '跟描述一样，住的很舒服', '短评打分': 5}
{'短评内容': '硬件还有加强，价格偏高。', '短评打分': 4}
{'短评内容': '房间很不错，服务也很好，很细心 前台还帮我拿行李送我到出租车上，下次还会选择', '短评打分': 5}
{'短评内容': '3星酒店中的佼佼者', '短评打分': 5}
{'短评内容': '服务很好，接送机服务很不错！', '短评打分': 5}
{'短评内容': '酒店服务很好，房间挺大，无线网很好用，入住后马上有服务员送上冰糖雪梨，很是贴心，还有接送机服务，服务员特别客气，早餐也可以，商务旅游首选。', '短评打分': 5}
{'短评内容': '设施有些陈旧，卫生条件还好，服务还是必须赞一下的', '短评打分': 3}
