{'短评内容': '酒店不错所以又回来重住了一晚，早餐很好，房间很大，在新区，出来逛需要打车，总体性价比很高', '短评打分': 5}
{'短评内容': '般般情况……', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '给客人预定的2个房间，我提前到酒店预付好房费及押金，然后告知客人我一已付费用，然后告知房号让其拿身份证入驻登记领取房卡即可，没想到前台再次收入了客人一千元押金，并坚持我没有交过押金，我很没有面子。这样的服务，我无话可说！再好的设备，面子全无！', '短评打分': 1}
{'短评内容': '环境特别棒，很适合商务出差，旅游入住，酒店大而便宜，干净整洁，清静宜人，是每次出差的必选之处，强烈推荐', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错！服务员很细心！态度很好！早餐很丰富！', '短评打分': 5}
{'短评内容': '设备陈旧', '短评打分': 4}
{'短评内容': '环境还算不错……', '短评打分': 5}
{'短评内容': '环境不错，很好', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '真心不错，很舒服，只是待的时间太短啦！', '短评打分': 5}
{'短评内容': '环境不错，大气上档次，早餐也很丰富。就是结算稍微麻烦。', '短评打分': 5}
