{'短评内容': '...', '短评打分': 5}
{'短评内容': '...', '短评打分': 5}
{'短评内容': '不错，重新装修后不错呃呃呃！！！！', '短评打分': 5}
{'短评内容': '真不错，价格可以，房间环境也好', '短评打分': 5}
{'短评内容': '挺好的，位置不错就是周边路面建设', '短评打分': 5}
{'短评内容': '挺好的，位置不错就是周边路面建设', '短评打分': 5}
{'短评内容': '酒店服务员态度一般，房间环境也行了，卫生还行。', '短评打分': 5}
{'短评内容': '挺好的，位置不错就是周边路面建设', '短评打分': 5}
{'短评内容': '开个发票唧唧歪歪，让联系了好多次艺龙，我也是醉了，麻烦，还没有空调，谁住谁后悔', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错好', '短评打分': 5}
{'短评内容': '给同事订的，还可以', '短评打分': 5}
{'短评内容': '服务态度好，干净', '短评打分': 5}
{'短评内容': '房间设施老旧，味道难闻', '短评打分': 3}
{'短评内容': '不错，非常的实惠，下一次继续光顾', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': 'Bansjajanansnann', '短评打分': 5}
{'短评内容': '配有电脑上网，但网络龟速，性价比一般，周边环境好，但由于与写字楼一齐上下班很多人争电梯，很不方便，中央空调，6月1前没有，只有吹风，吹风风扇噪音很大。', '短评打分': 1}
{'短评内容': '一般时间乘电梯人太多，坐不上，很着急。\n13楼的水温不错，9楼的水温不高，还凑活能洗，其他还不错。', '短评打分': 5}
{'短评内容': '优点：酒店位置很好，位于乌鲁木齐繁华商业街中山路上，属于闹中取静，客房不错，楼层高，安静整洁，如果在市中心办事，这里还是很方便\n缺点：大厦里有酒店、写字楼，所以高峰时期电梯人较多；没有早餐提供；晚上有骚扰电话\n', '短评打分': 5}
{'短评内容': '房间有点小，网速0.1兆都不是，配的电脑很垃圾，QQ都上不去。没有独立空调。水不太热，浴缸也小…不值这个价！', '短评打分': 1}
{'短评内容': ' 环境很不错~ 设施很周全..服务员态度很好~但是打扫卫生的服务员很可笑..如果你是晚上活动.白天休息的客人最好考虑好在去.经常如果你白天休息.打扫卫生的就像听不懂你说话是的.会找一百个借口理由非要进来.有打扰到我.有点不开心噢', '短评打分': 5}
{'短评内容': '还可以吧\n就是一般时候乘电梯人太多，坐不上，很着急。\n建议给酒店客人留出一台专用电梯。', '短评打分': 5}
{'短评内容': '有点家的感觉，设施好齐全，老婆很喜欢。外面是乌市的中山路，挺方便的。', '短评打分': 5}
{'短评内容': '电梯难等，有时候13楼全都不停，奇怪，不得不走楼梯下，房间有点冷，又没法加热，水温不高，还凑活能洗，其他还不错。', '短评打分': 5}
{'短评内容': '\n很安静，确实不错，就是水温不够高！', '短评打分': 3}
