{'短评内容': '价钱实惠，早餐不错。', '短评打分': 5}
{'短评内容': '京东服务很给力的，一下子就订到了。而且价钱还很实惠。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '完美的入住体验，继续支持！', '短评打分': 5}
{'短评内容': '方便快捷干净，舒适', '短评打分': 5}
{'短评内容': '连续入住两晚，酒店就在妇保对面，累了可以去休息，方便干净', '短评打分': 5}
{'短评内容': '酒店位置相当方便', '短评打分': 5}
{'短评内容': '可以，一如既往支持京东', '短评打分': 1}
{'短评内容': '非常好非常干净整洁 很喜欢  以后还来 服务很好的', '短评打分': 5}
{'短评内容': '离地铁站挺近，离钱塘江更近，就是新区人真是少哇', '短评打分': 5}
{'短评内容': '整體還不錯', '短评打分': 4}
{'短评内容': '离近江地铁站走路5分钟，地点很方便。出门往右走几分钟就是公园江边，风景很好。设备稍有点陈旧，毛巾有点起线、墙纸有点起皮，其它设备都不错。服务员傍晚还送来可乐和圣诞小礼物，很是贴心，前台的服务不错。', '短评打分': 5}
{'短评内容': '酒店就挨着杭州妇产科医院，陪产的家属住还是很方便的，酒店设施服务各方面都不错的，价格也还公道，好评！', '短评打分': 5}
{'短评内容': '第一天到酒店很早，酒店没房间，跟前台说好有空房了通知我，等待期间打电话询问还说没房。1点钟回到酒店，前台又说没有订单，我只好打电话携程解决，折腾很久才办好入住。这点非常不满意，搞得人非常累。', '短评打分': 5}
{'短评内容': '位置环境都不错，就是前台脸色不怎么样。', '短评打分': 4}
{'短评内容': '单人房不大，但适合商务出差的人，价格合适，地理位置不错', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间还行。', '短评打分': 4}
{'短评内容': '酒店比较舒适，房间干净整洁，服务设施齐全。推荐入住。', '短评打分': 5}
{'短评内容': '还不错！', '短评打分': 4}
{'短评内容': '还可以，挺安静的', '短评打分': 4}
{'短评内容': '离地铁近，出行方便，房间很大，设施比较新，附近有万泰城，吃饭方便', '短评打分': 5}
{'短评内容': '环境很好，叫车也很快，自助餐不错！！！！', '短评打分': 5}
{'短评内容': '酒店装修服务什么的都不错，总台就帮忙叫车的服务，比较方便。到南宋御街河坊街那里，也确实近，看来酒店没有夸大。。坐公交也就10分钟。总的来说性价比很高哦，下次还会住。。至于我看到有人说早餐不怎么样，我觉得吧 还行，我一般比较喜欢在外面吃，鼓楼那儿好多哦', '短评打分': 5}
{'短评内容': '我想说，空调真的不是一般的热啊，一点儿制冷效果都没有，一晚上没有睡好，打了好几个电话给总台，说管理空调的要早上八点上班。哎~而且这个问题我看见很多客人都有提过，为什么不改进呢~？', '短评打分': 1}
{'短评内容': '团购定的，274还对得起这个价格，设施还不错，但肯定没有五星级的水平，大堂三星，房间四星', '短评打分': 5}
{'短评内容': '酒店环境不错，服务很好，设施较新，值得推荐', '短评打分': 5}
{'短评内容': '酒店这样价位还会来光顾的！建议酒店自助早餐做好点。', '短评打分': 5}
{'短评内容': '位置有点偏,有些司机都不知道路,自己去叫车比较麻烦,不过总台有免费叫车的服务这个要赞一下,我第一天定的是大床房,房外有工地装修,有点声音.第二天换到对面的望江标房就安静多了.总体来说服务态度是很不错的,', '短评打分': 5}
{'短评内容': '环境不错，服务还可以。自助的早餐有点差。地方比较偏，周围没什么好逛的', '短评打分': 5}
{'短评内容': '还不错，就是比较难找，周边打车问题比较大', '短评打分': 3}
{'短评内容': '非常的受伤，公交线路不好，不是特别的好找', '短评打分': 5}
{'短评内容': '酒店很好找，卫生环境非常干净。下次还住。', '短评打分': 5}
{'短评内容': '住了好几次了，酒店的设施新，性价比挺高，自己开车方便', '短评打分': 5}
{'短评内容': '很不错的酒店，环境挺好，就是搭车有些不太方便', '短评打分': 5}
{'短评内容': '酒店设备很新.很干净.很安静.旁边有家七0八0饭店.环境和莱品都不错.房间面积也大.住得很舒适.', '短评打分': 3}
{'短评内容': '超小超偏。房间大概只有20多一点平方吧。是我住过同等价位最差的酒店了。', '短评打分': 1}
