{'短评内容': '老酒店了，设备稍差，标间与大床房没有泡池，需要去公共的！', '短评打分': 5}
{'短评内容': '代订酒店，', '短评打分': 5}
{'短评内容': '酒店不错就是晚上有点冷', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '泡温泉很方便', '短评打分': 4}
{'短评内容': '设施满陈旧的 不会再去吧', '短评打分': 3}
{'短评内容': '酒店总体环境等一般。就是距离展会比较方便', '短评打分': 5}
{'短评内容': '房间的卫浴相当陈旧，锈迹斑斑，花洒从头锈到底，温泉池子还算比较多，但没有新意，更像是一个个小型的浴池，换水不够频繁，感觉很多池子里的水都很浑浊，让人比较恶心的是居然看到两个成年人在池子里公然的互相搓背，真当成澡堂子了。早餐花样很少，鸡蛋居然还限量，真是够抠的。总体感觉一般。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '水是咸的，设施差了点 其他还好。周边也没有更好的了', '短评打分': 3}
{'短评内容': '温泉酒店 水是咸的 天然', '短评打分': 3}
{'短评内容': '不错。前台接待很好。可选不多的情况下，这也不错了', '短评打分': 3}
{'短评内容': '来出差，设施有点旧，但也还算可以，毕竟预算有限', '短评打分': 3}
