{'短评内容': '地段很好，方便出行；相比同档次的其它酒店，性价比高；酒店卫生不是特别好，希望注意。', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '不适合带孩子', '短评打分': 3}
{'短评内容': '除了隔音效果差点，其他都挺好。性价比还不错吧！之前听说服务态度不好，有些心惊。其实文明礼貌是相互的，我遇到的这几个前台就还不错啊。', '短评打分': 5}
{'短评内容': '酒店在市中心，自驾游还是很方便的，交通便利，前台服务也不错，酒店环境还不错。不错，值得推荐，下次继续住这里，酒店位置在交通要道，方便快捷服务态度好，居住环境安静，设施齐备，布置温馨周到，总体还是很不错的。', '短评打分': 4}
{'短评内容': '酒店市中心 闹中取静 被子比较干燥 挺不错的 ', '短评打分': 4}
{'短评内容': '挺不错的，住的很舒心。', '短评打分': 5}
{'短评内容': '房间还可以！', '短评打分': 5}
{'短评内容': '一般般般般般', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '交通使便利，出行特别方便', '短评打分': 4}
{'短评内容': '路过订的，总体还行', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '房间卫生都是不错的，这个价位的酒店可以接受', '短评打分': 5}
{'短评内容': '都还不错，价格也比较便宜，不过卫生间有点拥挤', '短评打分': 5}
{'短评内容': '隔音差一点，其他还好', '短评打分': 4}
