{'短评内容': '每次只选这里，价格公道，服务好环境不错！！！', '短评打分': 5}
{'短评内容': '每一次选择这里，服务到位，干净整洁。很满意！！！', '短评打分': 5}
{'短评内容': '很好特温馨，干净住的很舒服！！！！', '短评打分': 5}
{'短评内容': '很温馨，服务不错，经常在这里住&hellip;', '短评打分': 5}
{'短评内容': '每年都住', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '房间设施挺好', '短评打分': 5}
{'短评内容': '房间空间可以价位合适', '短评打分': 5}
{'短评内容': '很不错，下次再来', '短评打分': 5}
{'短评内容': '方便大气', '短评打分': 5}
{'短评内容': '环境很好，暖气很足，整洁干净，设施完善，和朋友一起出差，住的标准间，比一般的三四级酒店的环境还好，很不错！', '短评打分': 5}
{'短评内容': '酒店很棒，供暖也很好，住的开心！', '短评打分': 5}
{'短评内容': '以前從不去評價，不知道浪費多少積分，自從 積分可以抵現金的時候，才知道積分的重要。後來 我就把這段話複製了，走到哪，複製到哪，即能賺 積分，非常 省事；特別是 不用認真 的評論了，方便又快捷。。。', '短评打分': 5}
{'短评内容': '一般，特价房很吵', '短评打分': 3}
{'短评内容': '非常不错的酒店，下次去还要订这里，会向同事朋友推荐的', '短评打分': 5}
{'短评内容': '地理位置好，环境好，服务态度好，干净卫生', '短评打分': 3}
{'短评内容': '我来过最差的酒店。房间手龙头坏的。前台来了告诉我找不见预定。卫生很差 。浴巾都是烂的。床上的床单都没更换。有头发。房间里的矿泉水是拧开过得。', '短评打分': 3}
{'短评内容': '每次出差都住在这里！很好很赞房间挺大的', '短评打分': 3}
{'短评内容': '很差  服务卫生都很差    房间有异味', '短评打分': 3}
