{'短评内容': '比想象中差多了', '短评打分': 2}
{'短评内容': '居然不能开发票，我去', '短评打分': 3}
{'短评内容': '酒店位置很好，处于市中心商业繁华区，酒店设施齐备，布置很温馨，服务很热情，相比周边同档次酒店，性价比很高，推荐入住。', '短评打分': 4}
{'短评内容': '公寓设施很新，但屋内没有异味，卫生也不错。物品很齐全，家电也很全。地理位置较优越，附近有嘉年华商场、晚上有夜市，很热闹，去星海广场和火车站都挺方便的！', '短评打分': 5}
{'短评内容': '店家人很好，环境也不错，地方也好找', '短评打分': 5}
{'短评内容': '性价比还可以', '短评打分': 3}
{'短评内容': '很不错 下次来大连的首选…哈哈', '短评打分': 3}
{'短评内容': '刚刚入住的时候，因为误会造成一些不便，多亏店家贴心考虑，及时调整，为我们在大连旅行解决了住宿之忧。店家姐姐很漂亮，大哥也很帅气，店家人很好。房间干净温馨，很舒适，交通便利，购物方便，楼下附近有家乐福。总之，硬件软件都很好，性价比很高，下次来的话，还会住这里的。', '短评打分': 5}
{'短评内容': '刚开始入住时因为误会，造成一些不便，后来多亏店家贴心考虑，及时调整，为我们在大连旅行解决了住宿之忧。店家人很好，另外房间干净漂亮还很温馨，总之，硬件软件都很好。如果下次再来还会住这里！', '短评打分': 5}
{'短评内容': '干净，舒适，快捷，服务态度很好，地角也好，很方便，下次有机会还会选择，谢谢。', '短评打分': 5}
{'短评内容': '房间很大，很好！设备也一应俱全，住的很舒服，下次去还会选择', '短评打分': 5}
{'短评内容': '隔音不是非常好,尤其是旁边的住客非常吵的话.另外,没有人专门打扫房间,如果住的时间长的话会觉得不习惯,偶尔会有非常小的虫子.', '短评打分': 1}
{'短评内容': '还好  有家的 感觉·· 希望淡季价格合理些 ·很干净， 床很舒服，房间还算宽敞，可以鸟瞰外边的周围景色， 还不错·· C/T 时~来的不及时·· 打电话 ，一直占线·· ', '短评打分': 5}
{'短评内容': '似乎象回到了家的感觉！！！如果有下次，强烈再住。', '短评打分': 5}
{'短评内容': '还不错还不错还不错还不错还不错还不错还不错还不错', '短评打分': 5}
{'短评内容': '交通还是比较便利的  酒店式公寓 没有服务台什么的 环境也不错', '短评打分': 5}
{'短评内容': '比我想象的好很多，不过环境要是在干净点就好了，下次还会光顾', '短评打分': 5}
{'短评内容': '好很方便离我朋友家还近，房间很大可以住两个人，非常不错。', '短评打分': 5}
{'短评内容': '总的来说还不错，房屋面积环比同等价格的酒店算是很大的了 里面也不显得空旷 高层建筑可以一览大连闹事的繁华景观 床也比较舒服 而且地处兴工街 逛街吃饭很方便 唯一一点不太好的就是 附近的噪音有点大 不过这么繁华的地段也可以理解 总的来说不错 是公寓性质的', '短评打分': 5}
{'短评内容': '公寓式的。冰箱电磁炉抽油烟机洗衣机全有。就是热水器不大好用。没看见柜台。没发票。', '短评打分': 5}
{'短评内容': '不错，很干净，房间挺大的，还可以做饭，我们还涮的锅子！', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
