{'短评内容': '经常出差，觉得携程真的是很方便，住的环境还不错，就是周边早点很难买到！', '短评打分': 5}
{'短评内容': '很不错，很安静，适合出差居住', '短评打分': 5}
{'短评内容': '周边经济实惠周边环境较静', '短评打分': 4}
{'短评内容': '房间太小', '短评打分': 5}
{'短评内容': '经常住的酒店', '短评打分': 4}
{'短评内容': '小区内的酒店，整体不错', '短评打分': 4}
{'短评内容': '入住比较方便。。。。出差。简单一点八，。。？！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '环境不错，安静，干净。最主要是床大啊啊', '短评打分': 5}
{'短评内容': '有个大停车场，25平方比较宽敞，wifi蜗牛般没多大用处', '短评打分': 4}
{'短评内容': '房间还是挺干净的 隔音效果不太好 走廊讲话、走路的声音', '短评打分': 5}
{'短评内容': '安静', '短评打分': 3}
{'短评内容': '安静', '短评打分': 3}
{'短评内容': '还可以，房间挺大', '短评打分': 5}
{'短评内容': '早餐较路对面的如家差了好多', '短评打分': 5}
{'短评内容': '干净，卫生安静', '短评打分': 5}
{'短评内容': '酒店在居民楼中间，位置还可以，比较静。还算可以', '短评打分': 4}
