{'短评内容': '一切都好好', '短评打分': 5}
{'短评内容': '环境卫生好，服务态度好！住着舒服！', '短评打分': 5}
{'短评内容': '环境舒适，卫生条件好！好评！', '短评打分': 5}
{'短评内容': '这个价位能住这个房子很不错了，房子卫生间都很大，晚上睡觉很安静，吃饭也很方便，附近有小吃城，距离伏羲庙很近', '短评打分': 5}
{'短评内容': '服务可以', '短评打分': 5}
{'短评内容': '酒店位置好，环境一般', '短评打分': 3}
{'短评内容': '没有早餐，酒店太小。停车场收费', '短评打分': 3}
{'短评内容': '环境好，服务态度好，特别喜欢！', '短评打分': 5}
{'短评内容': '地段不错，有车位但要交钱，房间小，卫生一般。电视无信号，打完电话很快有人来修好，总体还不错', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '除了位置占优势，其他的真说不上。只能说一般，卫生间很大是真的。但设施太陈旧，空调还滴水。', '短评打分': 3}
{'短评内容': '酒店所处的位置在市中心，出门很便利，房间性价比不错。但对于自驾车的朋友，公共停车场进出太不方便。房间很小。背包客可以考虑。', '短评打分': 3}
{'短评内容': '马桶一直是坏的么修好，其它还可以', '短评打分': 4}
{'短评内容': '很不错的酒店', '短评打分': 4}
{'短评内容': '不错的酒店，性价比高', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '地处闹市，但很安静，装修不错。门口就是一条吃早餐的小街，不远处是文物古籍，强推。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
