{'descr': '房间感觉就是脏，周边的环境也是差的要命', 'star': 3}
{'descr': '竟然会携程定的房子，有专门的房间提供，还以为很不错。真是小的不知怎么形容。。差❌', 'star': 3}
{'descr': '一切都还行吧，但是特价房间实在让人感觉不太好', 'star': 5}
{'descr': '开了个便宜的房间，什么都很破旧', 'star': 3}
{'descr': '第一次住怎么小的房间还两百多！', 'star': 3}
{'descr': '网络速度差，家具老配置，适合吧', 'star': 3}
{'descr': '还可以！！！！！！！！', 'star': 4}
{'descr': '携程订的价格是便宜但是房间不一样，就是想住性价比的 找携程', 'star': 3}
{'descr': '酒店总体服务态度和卫生状况良好，周围环境差了店', 'star': 4}
{'descr': '公司周边就这个酒店像点样子了 ISO认证的人来了给开的这里', 'star': 4}
{'descr': '酒店环境还不错，离公司也很近，非常方便。', 'star': 5}
{'descr': '就那一片来说，没有可供选择的更好的酒店了，早餐差了点。', 'star': 5}
{'descr': '位置虽然不在市区，但是酒店真的很干净，值得推荐', 'star': 5}
