{'短评内容': '只能说是招待所，房间小，服务差，卫生差，不建议入住。', '短评打分': 1}
{'短评内容': '房间比较小 上网的桌子也没有 只能用小茶几将就 还有就是比较吵', '短评打分': 3}
{'短评内容': '是一家性价比较高的酒店，干净卫生，虽在北环边，但非常安静。但“打的”或坐“公交”就有点不方便，比较适合自驾人群。周边大餐馆也较少。', '短评打分': 5}
{'短评内容': '酒店房间有点小，显得有些陈旧，听说正在重新装修，不知道以后会不会好一些，没想到在北环旁边还是很安静，这个很好。', '短评打分': 1}
{'短评内容': '交通很不方便。靠近北环边上，打的太困难了。', '短评打分': 1}
{'短评内容': '客房卫生很好，干净舒适，就是卫生间有点小，服务方面还是有待提高.', '短评打分': 5}
{'短评内容': '环境非常舒适，宽敞，隔音措施也好.休息都挺踏实的.物美价廉.', '短评打分': 5}
{'短评内容': '房间比较大，而且装修风格也比较不错，挺温馨的而且也不失浪漫，挺不错的.', '短评打分': 5}
{'短评内容': '酒店条件和价格还算成正比，性价比高.而且服务也可以挺周到热情的.', '短评打分': 5}
{'短评内容': '服务人员办事效率挺快的，有需要帮助时都能及力而为，挺好的，而且室内环境好住着挺随意的.', '短评打分': 5}
{'短评内容': '服务人员态度很好，每个楼层都会有人留守，有需要帮助时办事挺快的，整体来讲还是不错的.', '短评打分': 5}
{'短评内容': '酒店整栋大厦没有其它的娱乐场所，所以挺安静的，晚上休息比较好，楼下就有餐厅，用餐很方便.', '短评打分': 5}
{'短评内容': '酒店比较临街，周边交通十分便利，当然隔音也不错，这点比较好.', '短评打分': 5}
