{'短评内容': '床太硬', '短评打分': 3}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '有工地施工，晚上吵。停车位有限', '短评打分': 3}
{'短评内容': '交通方便，就是停车不方便，其他都挺好', '短评打分': 4}
{'短评内容': '还不错，比较安静', '短评打分': 4}
{'短评内容': '还行吧，一分钱一分货', '短评打分': 5}
{'短评内容': '地铁附近，有点旧', '短评打分': 4}
{'短评内容': '还不错 每次周末回来找男朋友都会住这 经济实惠 干净卫生 很好 以后还是会常来 交通也方便 隔男朋友上班的地方也近', '短评打分': 5}
{'短评内容': '房间太小，有点旧。卫生还可以。', '短评打分': 3}
{'短评内容': '比较好，有停车位，房间还可以！', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '住店2小时受不了，一分钱没退退房了1换了别家，', '短评打分': 1}
{'短评内容': '还不错哦！感觉可以，下次还来', '短评打分': 3}
{'短评内容': '性价比不错，还有就是评价字不够。', '短评打分': 3}
{'短评内容': '与想象有差距，周边环境差，房间有灰尘，设施陈旧，离商业区较远。', '短评打分': 3}
{'短评内容': '好的很很喜欢真的很喜欢', '短评打分': 3}
{'短评内容': '唯一就是有点吵', '短评打分': 4}
{'短评内容': '马路边 有点吵', '短评打分': 4}
{'短评内容': '很舒服，出门很方便', '短评打分': 3}
{'短评内容': '交通很方便，酒店标志也很好找，5点后check in第二天下午2点前check out就行，供选择的食物很多，房间和照片上一样，很舒适，卫生间里没有像快捷酒店一样提供免费的洗发水和沐浴露，但是有一套的洗漱用具2块钱……除此之外一切都很满意；前台的长沙妹纸给人感觉很亲切~', '短评打分': 5}
{'短评内容': '酒店的服务和设施相当的好，很舒服。而且还可以点用餐点，我很满意', '短评打分': 5}
{'短评内容': '总体不错，豪华单人间还是有点小，洗漱工具是要收费的，希望以后在网站上能提示下', '短评打分': 3}
{'短评内容': '刚装修的     感觉还不错     比以前好多了', '短评打分': 5}
{'短评内容': '便宜，离办事的距离很近。周围也不吵，就是配套设施简单了点，门口出租车不多，黑车也很方便', '短评打分': 5}
{'短评内容': '新装修的，还可以蛮干净的，下次来还会选择的', '短评打分': 3}
{'短评内容': '新装修，环境可以，性价比高。', '短评打分': 3}
{'短评内容': '總的來說還行  房間內衛生還可以   出電梯和走廊不怎麼樣', '短评打分': 5}
{'短评内容': '酒店的价格在长沙还算公道，但店内的设施比较陈旧，有些甚至还有些 破损。', '短评打分': 5}
{'短评内容': ' 服务不周到，客服人员态度冷淡，客房内不提供一次性用品，其它一般。', '短评打分': 3}
{'短评内容': '酒店不错。性假比比较高！', '短评打分': 3}
{'短评内容': '不错！环境交通都好好.................', '短评打分': 5}
{'短评内容': '空调效果不好，杂音也比较大，卫生情况一般，被单、物品较破旧！', '短评打分': 1}
{'短评内容': '那两天下雨,结果回房间一看有漏雨现象,房卡供电不稳定,有时突然就没电了,洗澡水非常小.同样的价格长沙有更好一点的.', '短评打分': 1}
{'短评内容': '酒店环境还可以,但酒店内部不怎样.隔音差,半夜能听隔壁鸡叫声.一句话,物非所值', '短评打分': 3}
{'短评内容': 'noise is very big noise is very bignoise is very bignoise is very bignoise is very big', '短评打分': 1}
{'短评内容': '地方较偏，不太容易找到，设施较差，室内有较大的异味，很难受。', '短评打分': 1}
{'短评内容': '酒店地段不错,硬件施也不错,就是隔音效果有点差,让人难以入眠啊,', '短评打分': 5}
{'短评内容': '酒店真不咋的，又偏，服务又差', '短评打分': 3}
{'短评内容': '\r\n这个酒店很简陋，但交通还算方便！', '短评打分': 3}
{'短评内容': '这个酒店还行。整体看上去不错。交通挺便利的，而且还有夜市哦。。', '短评打分': 5}
{'短评内容': '酒店很实惠，楼上的房间还不错，比较通风透光，适合旅游，周围生活交通很方便', '短评打分': 5}
{'短评内容': '华夏店环境还可以。只是进屋有较大的霉气。这让人有点不舒服。', '短评打分': 5}
{'短评内容': '酒店不错哦，很对得住这价钱。酒店门口有大排档，能吃到不少湖南风味', '短评打分': 3}
{'短评内容': '条件还可以，和价钱比较适当.都是有窗户房间，这点比较爽', '短评打分': 5}
{'短评内容': '服务什么都挺好，隔音效果不太好，地点不错，出门就是夜市大排档，还有新一佳超市', '短评打分': 3}
{'短评内容': '还行，隔音效果差', '短评打分': 5}
{'短评内容': '综合水平还可以,性价比还好.就是位置不太方便找,出行有些困难,其它各方面都不错.', '短评打分': 5}
{'短评内容': '推荐入住  性价比好', '短评打分': 3}
{'短评内容': '性价比好', '短评打分': 5}
{'短评内容': '酒店的性价比还是蛮高的,而且综合水平很好,房间住起来很舒服.我个人比较喜欢这家酒店.', '短评打分': 5}
{'短评内容': '房间整体感觉是干净舒适，硬件比较达标，比较方便快捷的酒店类型。', '短评打分': 5}
{'短评内容': '酒店服务比较一般，环境硬件设施都还不错。整体条件可以考虑入住。', '短评打分': 5}
{'短评内容': '硬件设施不好，环境也比较差.当时我入住的套间，感觉是最好的房间但是条件真的不好.', '短评打分': 1}
