{'短评内容': '。。。。', '短评打分': 5}
{'短评内容': '一般一般一般', '短评打分': 3}
{'短评内容': '性价比较高，适合商务出差', '短评打分': 4}
{'短评内容': '喜欢这个酒店，会继续支持的', '短评打分': 5}
{'短评内容': '可以的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间还行，就是不怎么隔音', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '还不错，以后还会住！', '短评打分': 5}
{'短评内容': '房间安静整洁，服务态度好！', '短评打分': 5}
{'短评内容': '不错不错非常不错很满意', '短评打分': 5}
{'短评内容': '环境一般，不过性价比不错，到店查无预定，但后续处理还是蛮快捷的', '短评打分': 4}
{'短评内容': '不错，很舒服，经济又实惠', '短评打分': 3}
{'短评内容': '不错，房间如图一样，很喜欢', '短评打分': 3}
{'短评内容': '一般一般   水龙头坏的 没一次性拖鞋', '短评打分': 3}
{'短评内容': '最糟糕的一次，被骗的感觉，设施设备陈旧不说，很多不能用，房间wifi更本不能用。', '短评打分': 3}
{'短评内容': '经济实惠，就是屋里的等太暗了！～', '短评打分': 3}
{'短评内容': '，酒店位置不错，只是感觉灯光有些昏暗，建议酒店改善。', '短评打分': 3}
{'短评内容': '同档次酒店价格有点偏高。', '短评打分': 3}
{'短评内容': '还行吧，这个价位和酒店的设施，出差住一天，可以接受', '短评打分': 5}
{'短评内容': '和想象中一样，大家的评价还是很公允的~~~~~', '短评打分': 5}
{'短评内容': '酒店环境不错。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '前台服务员非常不专业，让其提供水单，她说系统坏了。实际是她不会操作。用信用卡结帐，不会刷卡。结果退房浪费20分钟。\n房间很潮湿，而且隔音不好。半夜还有人在走廊走来走去。', '短评打分': 1}
{'短评内容': '整体不错，房间内部较好，外部一般，特别是白天走廊采光不好、比较昏暗。', '短评打分': 5}
{'短评内容': '酒店不容易找到，外面没有明显的标示。酒店里面还是很不错的！性价比还行！', '短评打分': 5}
{'短评内容': '已入住予定的海虹商务酒店。', '短评打分': 3}
{'短评内容': '感觉还行\u3000床也很舒服\u3000就是网速很慢\u3000以后需要改进的', '短评打分': 1}
{'短评内容': '卫生不错！就是请清点房屋内食品的时候认真点！谢谢！', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '卫生间没有淋浴房,洗个澡整个卫生间都湿了,非常不方便,房间布局不合理,房门走道过于宽敞,房间里面空间很挤.', '短评打分': 1}
{'短评内容': '服务比上次去好多了，前台特不错，还帮着订饭！早饭是送到房间里的，真的挺好！', '短评打分': 5}
{'短评内容': '性价比很好的酒店。交通也方便。楼下还有酒吧街，虽然没什么人。', '短评打分': 5}
{'短评内容': '7酒店卫生条件不错，服务态度也可以，只是卫生间的洗刷地方小点。', '短评打分': 3}
{'短评内容': '酒店很好,设施也不错!主要是装修比较高档!早餐太随便了点!', '短评打分': 5}
{'短评内容': '酒店设施和服务，我都挺满意的，下次去的话，还是选择这家酒店', '短评打分': 5}
{'短评内容': '我住的是150的单间,窗子关不严.冬天晚上那个冷啊.热水是最大的问题.淋浴没法用.', '短评打分': 1}
{'短评内容': '房间太小。', '短评打分': 3}
{'短评内容': ' 酒店不错，环境很温馨，小细节不错，可以推荐', '短评打分': 3}
{'短评内容': '酒店地理位置挺好的，交通出行方便，房间设施还算比较新，服务态度不错，性价比很好', '短评打分': 5}
{'短评内容': '前台服务员不错哦，是个亮点；聪明伶俐挺可爱的~', '短评打分': 1}
{'短评内容': '是个不错的快捷商务酒店，服务不错，房间配备电脑，很个性化。', '短评打分': 5}
{'短评内容': '装修还是很好房间也很干净，位置还是比较好找的，价格还算合适，房间还是不错。', '短评打分': 5}
{'短评内容': '设施不错,服务也还可以,住着比较舒服,唯一不足的是我住的房间傍边有货梯有点吵,要到晚上九点钟才停止运行!', '短评打分': 5}
{'短评内容': '酒店的位置还好，房间也还说的过去设施是挺新的，服务态度不错，性价比不错。', '短评打分': 5}
{'短评内容': '太差了，房间乌乌响，到现在都睡不着，旁边好像在拆房子一样响，叫他们换一间还不肯', '短评打分': 3}
{'短评内容': '房間乾淨，另設附有電腦的數碼房，對於商務人士來說，是很方便的。', '短评打分': 5}
{'短评内容': '  \n\n    酒店设施很好，装修有格调，有品味。床大很舒适，干净卫生，服务好，还能免费上网打长途。', '短评打分': 5}
{'短评内容': '硬件设施还可以，卫生良好。住起还舒服。交通还算便利。', '短评打分': 5}
{'短评内容': '前台态度很差', '短评打分': 3}
{'短评内容': '  不错，房间环境挺舒服的。', '短评打分': 3}
