{'descr': '屋子干净整洁，服务很好。还有窗子，很好，住得很舒适。', 'star': 5}
{'descr': '前台和客房服务都很职业化\u3000淡住到了无窗的屋子，有点憋\u3000大床房还是不错的\n总体感觉很舒适也很干净。', 'star': 5}
{'descr': '房间很大，服务也很好，很满意。', 'star': 3}
{'descr': '酒店不错，，房价挺干净的，也挺大的，相对于价格来说，也挺便宜的，服务也不错', 'star': 5}
{'descr': '朋友推荐来的，的确像他所说的房间特别大（相比其他快捷酒店），里边的设施也很好，前台服务员感觉挺亲切的，不错，以后再来还会预订这家店的', 'star': 5}
{'descr': '超级喜欢这家酒店的房间布局，大的落地窗，感觉挺好的，而且价格也便宜，服务也很好，下次还会预定这样的房间。', 'star': 5}
{'descr': '朋友帮我预订的这家酒店，离我们学校挺近的，而且服务态度也很好，房间也很干净，感觉挺不错的一家酒店，房价也低，还会推荐身边的人来这里的。', 'star': 5}
{'descr': '这家酒店挺不错的服务很热情，感觉很亲切，谢谢。', 'star': 5}
{'descr': '不错哦，大堂设置很有年味，前台的音乐也很欢快，过年喽。服务员的服务挺好的，很热情，还帮我一个小忙，谢谢喽！酒店的电脑还能免费上网，挺好。', 'star': 5}
{'descr': '朋友帮预订的，酒店感觉挺好的，服务态度也很好，房间设施很温馨。', 'star': 5}
{'descr': '这家酒店里华北食品城挺近的，而且也很干净，价格也很便宜，服务员办理入住也很专业，服务也很好，在附近办事的话，可以推荐一下', 'star': 5}
{'descr': '值得一说的是这家酒店服务员的服务态度，很好，让我感到很亲切，很满意，我要外出，不认识路，积极的为我查找，我很满意，很感谢让我赶上了很重要的会议。', 'star': 5}
{'descr': '公交比较便利，服务态度挺满意的，房间设计我也挺喜欢的，会向其他朋友推荐的', 'star': 5}
{'descr': '入住的这家酒店总体挺好的，虽然是快捷酒店但是装修很好，房间设施也很好。前台服务员的服务态度也很好，还主动帮我搬行李，非常感谢，以后来还会入住这家店的。', 'star': 5}
{'descr': '服务不错，离市中心较远，由于附近有铁路晚上有些噪音，客房内挺整洁。', 'star': 5}
{'descr': '酒店给人感觉挺好的，服务态度很好，无论是前台，还是客房的服务员见到都回主动问好，感觉很亲切。酒店离植物园，动物园都挺近的，交通也很方便', 'star': 5}
{'descr': '服务周到,环境干净!不错!', 'star': 3}
{'descr': '除了地方有点偏以外，酒店本身设施和服务都挺好的，这个价格值得了。\n虽然这次我住的是普通大床，没有窗户，但是空气循环还不差，过得去，房间也较宽敞。', 'star': 5}
{'descr': '一进门就感觉很好，酒店装修很好，大厅很大，前台服务态度很好始终面带微笑，感觉很亲切；房间也很大，设施很齐全，很干净，比其他的快捷酒店房间感觉要好，挺喜欢的，下次再来首先这家店。', 'star': 5}
{'descr': '干净，舒适，值得推荐给大家，下次我还会选择这里。', 'star': 5}
{'descr': '这家酒店服务真的很好，房间环境也很温馨、干净，离石家庄植物园很近，坐车也很方便直接就到了，价格也很优惠，嘿嘿，下次还来这！', 'star': 5}
{'descr': '房间内部不错，先退房不查房有被信任感觉。', 'star': 3}
{'descr': '酒店设施很新，环境很好，很干净。\n但是我住的219房间洗刷间地漏下水很慢，我只好把地漏的盖子摘掉，才能让洗澡水顺利尽快溜走。但是洗澡过程中水还是没过脚面了。\n', 'star': 5}
{'descr': '条件很好，房间给人很明亮，干净，饮用水也很方便。', 'star': 5}
{'descr': '房间给人的感觉不错，服务很好，我很喜欢。', 'star': 5}
{'descr': '环境不错，干净整洁。值得推荐。但离市中心稍微远点（附近小吃还蛮多的），还有清洁工作不够完善，日常用品更换不及时。', 'star': 5}
{'descr': '酒店好似新开业的，作为快捷酒店来说，硬件还是不错的，卫生清洁，大床间的房间面积也很大，很舒服。唯一不足的就是隔音效果不是很好，楼下说话都能听得到，另外晚上睡觉的时候玻璃还是什么东东在响。总体说来还是不错，109元的价格也很便宜，卫生、服务都还是不错的。', 'star': 5}
{'descr': '经济实惠，交通便利，适合出差在外人员居住。', 'star': 5}
{'descr': '这家酒店还不错，房间我很喜欢，房间很宽敞，也很干净，酒店员工服务也很好，下次我还回来住，真的不错。', 'star': 5}
{'descr': '很不错的酒店，连锁酒店的设计风格，喜欢他们的那个落地窗房间，很大很宽敞，住着也很舒服。被子很暖和，虽然是新开业店但是服务员的服务很好，也很专业。房间也没有什么味道，挺好！会推荐朋友入住的', 'star': 5}
{'descr': '挺干净的，方通也相对方便，是出差在外朋友的临时住所。', 'star': 5}
{'descr': '环境舒适度高平！服务态度好！希望能多搞搞活动！', 'star': 5}
{'descr': '房间 真的很不错，很干净也安静，和老公一起去的，免费升级的商务房，浴室是磨砂玻璃洗澡澡很有情趣哦', 'star': 5}
{'descr': '房间很大，很干净，很新。美中不足，二环以外有点离市中心远，隔音不是太好，房间略微有点异味。不过109这个价格住这样的房子还算可以。', 'star': 1}
{'descr': '挺好的', 'star': 3}
{'descr': '环境不错............................', 'star': 5}
{'descr': '我经常去那，我想你们是不是应该对老客户有什么活动啊？？', 'star': 5}
{'descr': '前台态度很好服务也很好', 'star': 3}
{'descr': '环境卫生条件很好，服务周到，就是屋内有点冷。', 'star': 3}
{'descr': '服务不错，环境也挺好的。各个方面想的挺周到的！', 'star': 5}
