{'短评内容': '不错，住了好多次了', '短评打分': 5}
{'短评内容': '很好的地方，住过很多次了', '短评打分': 5}
{'短评内容': '还是不错的，就是有点旧', '短评打分': 5}
{'短评内容': '太差的酒店，再也不会住', '短评打分': 1}
{'短评内容': '装修很老的了，电视还是纯屏的，含早餐 但早餐太简单', '短评打分': 4}
{'短评内容': '很好的，就是没有早餐比较遗憾', '短评打分': 5}
{'短评内容': '设施有点陈旧，其他还好', '短评打分': 4}
{'短评内容': '还不错，房间大，就是设施老，价格不低', '短评打分': 5}
{'短评内容': '帮领导定的', '短评打分': 5}
{'短评内容': '总体一般', '短评打分': 3}
{'短评内容': '交通不好', '短评打分': 4}
{'短评内容': '房间小，人也少，就是电厂近，办事方便', '短评打分': 4}
{'短评内容': '酒店有点旧，交通不是很方便', '短评打分': 3}
{'短评内容': '条件真的一般，但性价比还是不错的，适合自驾游，九江的消费不高，但庐山大家还是不要开车上山的好！山路太闲了', '短评打分': 3}
{'短评内容': '太旧', '短评打分': 1}
{'短评内容': '环境还好，房间越来越旧了。如果不是就近办事那一般不会选择这里了。', '短评打分': 1}
{'短评内容': '位置比较好，设施较陈旧。…………………………', '短评打分': 1}
{'短评内容': '房间不错，也不贵，服务态度也好，虽然有点偏但住得还算安静', '短评打分': 5}
{'短评内容': '交通不便，早餐简单，没有符合四星级标准，房间很小，收费也太贵了', '短评打分': 1}
{'短评内容': '酒店还不错，价格适中，服务热情，干净卫生，住的挺舒适。', '短评打分': 5}
{'短评内容': '酒店各方面都还不错，就是位置有些偏，价格也合适。', '短评打分': 5}
{'短评内容': '环境很安静，服务很周到，房间很干净，住的很满意。', '短评打分': 5}
{'短评内容': '还可以，就在长江边上，交通不蛮方便。酒店边上吃饭的地方不多，安静。', '短评打分': 5}
{'短评内容': '离市区有点距离，离机场也很远，性价比也不高，下次不会住了', '短评打分': 1}
{'短评内容': '距离高速比较近出行很方便，其它房间也比较干净卫生，硬件条件也不错.', '短评打分': 5}
{'短评内容': '酒店的硬件设施和软件设施都不好，而且服务也挺一般的.虽然是4星的酒店但是感觉不达标，我5月8号住一晚酒店里面就9个人住.条件挺差的.', '短评打分': 1}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '位置很好，离长江大桥和琵琶亭很近，房间还可以，比较舒服，空调热水都24小时不断。早点不是自助，凭券一券一份，不是很合自己胃口，关键是发的早点有些人的不一样，问小姐说是人多早点不够。', '短评打分': 5}
{'短评内容': '游泳池不错，水质干净，但游泳池的更衣间条件较简陋。', '短评打分': 5}
{'短评内容': '房间够大,标间床够大.比较舒适.', '短评打分': 5}
