{'短评内容': '可以可以。。。', '短评打分': 5}
{'短评内容': '早餐普通但实在，位置还行，有个小停车场', '短评打分': 4}
{'短评内容': '早餐一般，周围修建太吵', '短评打分': 3}
{'短评内容': '设施一般，服务还可以，就是热水不热', '短评打分': 4}
{'短评内容': 'Bu不好', '短评打分': 1}
{'短评内容': '不错还可以', '短评打分': 5}
{'短评内容': '每次飞都住的酒店，很不错，安全', '短评打分': 5}
{'短评内容': '订给老公出差学习住的，老公打电话说住着还行，交通也便利，就在路口，周围环境不错，离机场也比较近，价格适中。', '短评打分': 5}
{'短评内容': '主题房，不错。位置在双流广场中心地段，地理位置优越。住的hello kitty主题房，小朋友超级喜欢。唯一不足就是有点甲荃的味道。', '短评打分': 4}
{'短评内容': '性价比可以', '短评打分': 5}
{'短评内容': '都不错，物有所值，下次还来。', '短评打分': 5}
{'短评内容': '环境可以，对于周边酒店来说，同样的价位，我还是肯定选择这家，什么都是新的', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 4}
{'短评内容': '房间设施设备还是齐全，卫生也好', '短评打分': 5}
{'短评内容': '前台服务热情', '短评打分': 5}
{'短评内容': '房间设备很陈旧，打开电视全是重影。原来订是以为离机场很近，后来发现也不近。', '短评打分': 1}
{'短评内容': '这家宾馆比较干净，室内设施也不错，位置在双流广场那儿，交通也方便，不错', '短评打分': 5}
{'短评内容': '与描述不符', '短评打分': 3}
{'短评内容': '酒店位置不错，离双流客运中心也很近~~环境不错，卫生稍微有点差，很介意细节的人还是慎重~~', '短评打分': 5}
{'短评内容': '住的特价房，性价比还行。就是客房里插座太少，而且离床较远，充电太不方便。', '短评打分': 5}
{'短评内容': '很便宜，130元的标间，很干净，房间也挺大的。可能是在郊区的原因吧，所以价钱才这么便宜…不错，推荐！', '短评打分': 3}
{'短评内容': '100块特价房感觉窗子不安全 二楼临近居民区竟然不安装防盗窗 另外浴室只有一平方 住了一天就退房了。。。。。。。。。。。。。。。。。。。。。。。。。\n。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。\n。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '差的一塌糊涂。首先，走廊是那种有护栏的，就是招待所那种，还有窗户的，相当没安全感。然后，房间内没地毯。灯会出故障。再次，厕所里面滑的要死，毛巾还是金黄色那种旧的要命，还有味道。最后，水龙头也不好用，扳都扳不动，洗澡的也是。还有，电话连市话都不能打。前台服务业不专业。简直不配其3星级的称号。', '短评打分': 1}
{'短评内容': '还不错 能上网很干净', '短评打分': 3}
{'短评内容': '可以。卫生间有点小！', '短评打分': 3}
{'短评内容': '，还可以！', '短评打分': 3}
{'短评内容': '卫生间淋浴太狭窄，淋浴头很不好，空调声音太吵，完全没睡好！', '短评打分': 1}
{'短评内容': '给我的房间居然屋顶还漏水,换了一间房后厕所太小', '短评打分': 1}
{'短评内容': '我要订房', '短评打分': 3}
{'短评内容': '酒店位置还不错，比较方便出行，不过服务不是到位.有些不太达标.其它各方面也比较一般化.', '短评打分': 3}
{'短评内容': '硬件设施不算很好.位置很好距离机场还算近.室内条件一般化，不过整体来讲还好.', '短评打分': 5}
{'短评内容': '挺好的，可能是房间大的原因，空调一晚上下班都感觉冷，另外卫生间太小，另的都挺好的。', '短评打分': 5}
{'短评内容': '卫生还可以但是设施就很一般，酒店的位置倒是蛮好找前台比较好找但是住宿的楼和前台不在一栋楼还得走个一百多米才能找到不过还好也有指示，服务还是一般，价格在当地还是有些偏贵。', '短评打分': 1}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '我觉得还不错，唯一就是房间稍微小了点', '短评打分': 3}
{'短评内容': '已入住，谢谢你们。按价格住处还可以，设备比较陈旧，水量太小，服务员还是很热情。', '短评打分': 3}
{'短评内容': '酒店唯一不好的就是没有电梯那么高的楼我自己还拿着行李自己爬上去真的很累的，房间还不错，出行倒是挺方便的，价格还是比较合适。', '短评打分': 3}
{'短评内容': '总体来说宾馆还可以，但我住的是商务标间，觉得有点不值。硬件设施比较陈旧。', '短评打分': 5}
{'短评内容': '房间有点小，设备不怎么齐全，找个插座找了半天。  不过，118元能住多好的呢？而且又是在机场附近，可以了！', '短评打分': 3}
{'短评内容': '房间有点小，设备不怎么齐全，找个插座找了半天。  不过，118元能住多好的呢？而且又是在机场附近，可以了！', '短评打分': 3}
{'短评内容': '房间有点小，设备不怎么齐全，找个插座找了半天。  不过，118元能住多好的呢？而且又是在机场附近，可以了！', '短评打分': 5}
{'短评内容': '酒店住宿环境很好，很安静，住着很舒服', '短评打分': 5}
{'短评内容': '房间很潮湿,洗手间设施很差,唯一的好处就是西苑的住所不临街,相当的安静!', '短评打分': 1}
