{'短评内容': '经常住的酒店环境优美交通便利', '短评打分': 5}
{'短评内容': '酒店交通便利，干净卫生，服务态度非常非常好，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '地理位置和性价比很好', '短评打分': 4}
{'短评内容': '性价比很高', '短评打分': 4}
{'短评内容': '对这次上海之旅的酒店各项设施服务都很满意，性价比超高，房间很大，层高很高，感觉很宽敞，一楼自助，二楼点菜都很棒，交通也非常方便，过两个路口就有地铁站', '短评打分': 5}
{'短评内容': '地理位置很方便我办事，主动给我升级到套房，景观很好，设施都好用且舒适，服务态度很好，让我此行很满意。建议早餐再提升一点，馄饨不错吃了两碗，别的基本没吃，', '短评打分': 5}
{'短评内容': '酒店不错！环境安静，服务非常好！早餐棒！', '短评打分': 5}
{'短评内容': '不错，', '短评打分': 5}
{'短评内容': '领导说酒店挺不错，住着很舒服', '短评打分': 5}
{'短评内容': '不错的酒店，住的很好。', '短评打分': 5}
{'短评内容': '经常去还可以经常去还可以经常去还可以', '短评打分': 5}
{'短评内容': '去科技馆世纪广场很方便，酒店前台可购买科技馆门票，距离陆家嘴也不算太远，房间条件也不错', '短评打分': 5}
{'短评内容': '刚刚国华黄涵黄涵胡惠方法非常常晓丹丹时尚丹丹丹丹人丹丹宵霄宵霄', '短评打分': 5}
{'短评内容': '坛坛罐罐国华黄涵黄涵好风光刚刚黄涵黄涵黄涵胡惠他刚刚国华黄涵黄涵胡惠', '短评打分': 5}
{'短评内容': 'ffvbbvffff仿佛给他吞吞吐吐儿童跟哥哥哈哈', '短评打分': 5}
{'短评内容': '酒店环境很好，喜欢散步的朋友可以考虑选择入住。 二楼餐厅的菜也不错，特别是蔬菜做得非常好！ 员工包括清洁工都待人和蔼，很温暖。  ', '短评打分': 4}
{'短评内容': '就是老一点，不过很方便', '短评打分': 4}
{'短评内容': '暑假想带孩子去科技馆，所以选择了东怡，出行还算比较方便，走到科技馆也就十几分钟。房间很干净，就是餐厅的东西比较贵。', '短评打分': 4}
{'短评内容': '帮老板订的，早餐位置都很满意，可是老板说健身房有点小。其他都不错', '短评打分': 5}
{'短评内容': '客人要求在热闹又不失幽静的地方 所以选了东怡 都还不错 客人很满意！', '短评打分': 4}
{'短评内容': '不错，房间很舒适，交通方便。', '短评打分': 5}
{'短评内容': '距离上海科技馆步行500米，环境好，交通方便', '短评打分': 5}
{'短评内容': '服务环境卫生超满意！', '短评打分': 5}
{'短评内容': '还是不错的选择', '短评打分': 4}
{'短评内容': '环境不错，设施有待提高', '短评打分': 5}
{'短评内容': '住宿条件不错，早餐很好。周围很安静，环境也很好，离科技馆很近！', '短评打分': 5}
{'短评内容': '环境优美，干净，大气，招待客户的好选择。', '短评打分': 5}
{'短评内容': '酒店位置很好，服务周到。', '短评打分': 5}
{'短评内容': '酒店不错，干净，周边环境不错，中餐好吃 值得推荐', '短评打分': 5}
{'短评内容': '酒店周边环境不错，安静，酒店中餐厅也挺好吃', '短评打分': 5}
{'短评内容': '附近吃饭的地方不多，其他都好。', '短评打分': 5}
{'短评内容': '酒店很干净，环境也很好，交通方便。', '短评打分': 5}
{'短评内容': '酒店还不错,就是有点小贵,房间干净,不是很大,旁边是东方艺术中心,临近上海科技馆', '短评打分': 5}
{'短评内容': '非常不错哦,强烈推荐!细节做的特别好,已经向朋友们推荐了', '短评打分': 5}
{'短评内容': '环境还不错，干净，服务还可以，环境还不错，干净，服务还可以', '短评打分': 5}
{'短评内容': '酒店不错，交通也很方便，周围环境也好，比较幽静，下次还住这', '短评打分': 5}
{'短评内容': '地理位置方便，环境优雅，价位适中，商务套餐味道清淡。', '短评打分': 5}
{'短评内容': '房间不错,环境安静,价格可以再优惠!房间不错,环境安静,价格可以再优惠!', '短评打分': 5}
{'短评内容': '还不错，旁边就是东方艺术中心，位置比较安静 整洁，就是周围没有什么商场，如果你想逛街购物 那就不太方便了', '短评打分': 5}
{'短评内容': '地段适中，环境优美，交通方便，价格合理。', '短评打分': 5}
{'短评内容': '离展馆近，其他也没啥优势了吧反正老外觉得凑合', '短评打分': 5}
{'短评内容': '非常不错的酒店。周边环境很好，内部设施亦不差。性价比不错。', '短评打分': 3}
{'短评内容': '房间非常好，性价比很高，地段也很好。强烈推荐', '短评打分': 5}
{'短评内容': '房间较大，床很舒适，服务态度不错，酒店中餐厅价格适中，份量很足。电视节目较少。', '短评打分': 5}
{'短评内容': '酒店环境优雅舒适，交通非常方便，距地铁站只有五分钟步行路程，推荐自驾游的客人入住，进城后车辆停放在酒店停车场（免费的）选择地铁出行。东方艺术中心和科技馆就在酒店旁边，天气好的话在世纪公园走走也是一种享受。强烈推荐！', '短评打分': 5}
{'短评内容': '酒店方便周围环境好，舒适，下次还来，房间也不错。', '短评打分': 5}
{'短评内容': '酒店紧靠上海东方艺术中心和上海科技馆，在浦东办事的话出行比较方便。前台的工作人员态度和蔼可亲，赞一个。', '短评打分': 5}
{'短评内容': '住的还不错，就是价格有点高，不过下次还是会再来！', '短评打分': 5}
{'短评内容': '环境好，房间大，早饭也很好吃', '短评打分': 3}
{'短评内容': '挺不错的酒店，特别是床垫很舒服，就是空调不能自行控制，室内温度太高了，冬天显得很干燥。一楼的餐厅也很不错，食物都很精致美味，值得推荐。', '短评打分': 5}
{'短评内容': '酒店視野優美,交通方便,網速快速,服務親切,我樂意推薦!', '短评打分': 5}
{'短评内容': '不愧为星级酒店，设施先进，服务很好，卫生干净，周边环境也不错。推荐外宾入住也彰显我们的实力。', '短评打分': 5}
{'短评内容': '酒店在东方艺术中心和世纪公园旁边，环境优雅，设施齐备，卫生整洁，服务周到，早餐品种丰富，晚餐价格不高。整体性价比非常高，下次出差还会选择这里。', '短评打分': 5}
{'短评内容': '价格偏高。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。\n', '短评打分': 1}
{'短评内容': '酒店很好，价格有点高。周边购物餐饮也挺方便', '短评打分': 3}
{'短评内容': '环境不错 就是有点小贵', '短评打分': 3}
{'短评内容': '酒店时尚雅致，周围环境很好，安静整洁，以后还会入住的。', '短评打分': 5}
{'短评内容': '多次入住东怡大酒店，深感这里环境不错，服务也很到位。', '短评打分': 3}
{'短评内容': ' 虽然是特价,还是觉得有点贵,但总体感觉还不错,房间不错 ,服务也很。', '短评打分': 3}
{'短评内容': '这家酒店环境好，设施不错，交通出行很方便（打车容易而且比邻地铁2号线），特别是服务很好，下次还会在此入住。', '短评打分': 5}
{'短评内容': '很新的酒店，房间什么的都不错，就是大堂小了点，饭食觉得也一般，就在科技馆旁边，如果带着孩子玩，预算又多的话，这里挺好的。\n', '短评打分': 5}
{'短评内容': '很新的酒店，房间什么的都不错，就是大堂小了点，饭食觉得也一般，就在科技馆旁边，如果带着孩子玩，预算又多的话，这里挺好的。', '短评打分': 5}
{'短评内容': '非常安静，旁边就是东方艺术中心，离地铁2号线也很近。住宿期间，在酒店2楼吃了顿晚餐，菜量很足，价格、味道都还可以', '短评打分': 5}
{'短评内容': '感觉非常好！服务员的服务很到位。{8月23日--8月26日。618房}', '短评打分': 5}
{'短评内容': '不错，设施好，位置好，价格合适，安静，下次来上海还住这里。', '短评打分': 5}
{'短评内容': '总体来讲，酒店在各个方面都还是不错的。配得起四星的荣誉。\n酒店在浦东新区，比较干净，安静。离浦东机场不是太远。前台服务，门迎都感觉比较舒心。房间很干净，隔音效果也不错。我个人对于酒店内的配套设施跟服务比较看重，这次只是尝试了送餐服务，食物味道还是可以的，配送速度也比较快。还是挺满意的。下次尝试一下酒店内的spa。\n但是有两点问题，希望酒店相关工作人员看见后重视一下：\n\n第一，我因为一大早要去机场所', '短评打分': 5}
{'短评内容': '房间比较大，设施很好，很干净，服务员很细心，9层服务员叫毛丽，很能为客人着想，比较厚的裤子洗了挂在房间她主动帮着去烘干，并留个纸条告知，还有一些小事也想的很周到，很感谢她，从中也可以看出东怡大酒店的服务员的素质很好。', '短评打分': 5}
{'短评内容': '交通比较便捷，性价比也不错，会考虑推荐朋友入住', '短评打分': 5}
{'短评内容': '非常安静，旁边就是东方艺术中心，离地铁2号线也很近。住宿期间，在酒店2楼吃了顿晚餐，菜量很足，价格、味道都还可以。1楼的自助餐竟然买一送一。下次还会入住这里。', '短评打分': 5}
{'短评内容': '酒店是五星的标准，价格倒是很合理660元，但是，早餐很贵，周围还没有吃早餐的地方，加上来，也有990元。', '短评打分': 5}
{'短评内容': '酒店的条件没的说，好！就是早餐很贵，没啥吃的还要150元，不值，这样算下来还是5星的价钱960元了', '短评打分': 5}
{'短评内容': '酒店位置,周围环境,服务都很好,交通也方便。\n\n', '短评打分': 5}
{'短评内容': '相当于这个价格，放在其它地方打死也不接受，但在上海，没办法啊...', '短评打分': 5}
{'短评内容': '酒店不错，交通方便，设施也还行，性价比高 \n', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '公司的2位欧洲客户来上海参加展会，所以入住此酒店。\n\n整体感觉很好，就是早餐没有奶酪，让客户比较不适应，可以建议酒店适当的增加。\n\n其他的都很满意', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很安静的酒店，地理位置不错，房间设施很好，就是价格稍贵。', '短评打分': 5}
{'短评内容': '环境很好，交通也方便，如果能含早就更好了', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '帮客户订的。评价一直很不错。价格合适，房间不错，出行也很方便', '短评打分': 5}
{'短评内容': '服务环境都好，就是感觉早餐价格稍贵', '短评打分': 3}
{'短评内容': '510的时候订的，地点不错，价格也比较合适，到底是五星啊', '短评打分': 5}
{'短评内容': '酒店房间还行，价格偏贵，服务一般，不怎么方便，周边无配套设施。', '短评打分': 1}
{'短评内容': '一直去住得，都很好得，就是最近上海车展附近周围价格比较贵点，呵呵。', '短评打分': 5}
{'短评内容': '卫生整洁，环境很不错，交通便利，服务很好！', '短评打分': 5}
{'短评内容': '酒店交通方便. 卫生. 房间宽敞. 设施好. 是理想的商务型酒店. ', '短评打分': 5}
{'短评内容': '该酒店离世纪公园等设施很近. 交通方便. 房间宽敞, 整洁. 服务员态度不错.性价比不错.', '短评打分': 5}
{'短评内容': '环境不错，就是贵了，交通不便还不含早，不办事休假住可以', '短评打分': 1}
{'短评内容': '不错!要含早餐,性价比会更高.\n不错!要含早餐,性价比会更高.', '短评打分': 5}
{'短评内容': '服务可以的，环境可以的，方便出入噢，期待下回', '短评打分': 5}
{'短评内容': '这次带客人一起住，环境很好噢，大家住得都很开心，再来', '短评打分': 5}
{'短评内容': '很安静，离市中心相当的近，也很方便，有机会下次继续住', '短评打分': 5}
{'短评内容': '在那边算是性价比高的酒店了！不错不错不错不错 不错 不错不错不错不错 不错', '短评打分': 5}
{'短评内容': '地点好！环境还不错，已经住过几次了！下次还定在这里入住。', '短评打分': 5}
{'短评内容': '很好的酒店，视野开阔，一应物件齐全，下次有机会还会入住。就是附近餐饮少了点。', '短评打分': 5}
{'短评内容': '在上海，这样的酒店已经不错了。虽说我住的酒店没有阳台，但是窗户很大，视野也很开阔，不错。房间也很宽敞明亮。', '短评打分': 5}
{'短评内容': '挺不错的  很安静  服务也不错 就是感觉房间好热好热', '短评打分': 5}
{'短评内容': '来这里住过很多次了。服务和设施都很不错，网速非常快。自助早餐很丰富\n非常喜欢酒店里香水的味道', '短评打分': 5}
{'短评内容': '不错，性价比可以', '短评打分': 3}
{'短评内容': '这是一家很不錯的酒店.房间很大內饰裝修很高雅.也很干淨.这个价格值得多住', '短评打分': 5}
{'短评内容': '这是一家很不错的酒店.价格也算合理.四星的标准.招待客户或出差自住都是很棒的选择.但酒店的早餐太贵了要146元一位我个人觉得不太划算.地点在浦东新区世纪公园旁.虽看不到公园的景.但地点不錯.值的一住.房间真的很漂亮', '短评打分': 5}
{'短评内容': '还不错,周围风景很好,下次还希望入住.不过酒店没有房间应该提前提醒', '短评打分': 5}
{'短评内容': '性价比不错！ 很好很好很好很好很好很好！我喜欢这酒店，就是电视台少了点。', '短评打分': 5}
{'短评内容': '酒店装备不错,就是楼层矮了点,周围风景也还好..', '短评打分': 5}
{'短评内容': '酒店环境，大堂，房间设施都不错，就是叫餐内容一直没有多大改变，昨天电话叫餐说了不要放葱花，但是还是有，晕倒啊。', '短评打分': 5}
{'短评内容': '价格还是比较高的，当然酒店的位置、环境都相当不错。这次是儿子想去上海科技馆，所以就住了这个酒店，距离上海科技馆非常近，地铁出行非常方便，上海科技馆站就在旁边。反正是想舒服就要多花钱啦。', '短评打分': 5}
{'短评内容': '房间很好', '短评打分': 3}
{'短评内容': '房间大，服务好，就是周边没有餐馆也没便利店，下雨天一把伞难倒了我们', '短评打分': 5}
{'短评内容': '不错的酒店，参观科技馆很方便，房间设施干净舒适。', '短评打分': 5}
{'短评内容': '上海东怡大酒店很不错，很卫生，交通方便，性价比不错。', '短评打分': 5}
{'短评内容': '非常好，很满意。干净舒适 客人愿意在次入主', '短评打分': 5}
{'短评内容': '很好。非常满意 干净舒适\n一定再入住。就是停车位少了点', '短评打分': 5}
{'短评内容': '很好。客人很满意。干净舒适。价格也合适\n下次还会入主', '短评打分': 5}
{'短评内容': '一直很喜欢这家酒店，一直住。都不错。就希望叫餐的种类再丰富点。', '短评打分': 5}
{'短评内容': 'very nice to rest. will again', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '这酒店整体还是不错的哦！！呵呵，性价比还是挺高的！', '短评打分': 5}
{'短评内容': '上海东怡大酒店真的不错，很干净，交通也方便。', '短评打分': 5}
{'短评内容': '出入方便 周围环境好 前台服务和行李员都很热情', '短评打分': 5}
{'短评内容': '环境好。服务热情 客人很满意 愿意再次入住', '短评打分': 5}
{'短评内容': '酒店的服务很好，前台接待也很热情。希望以后服务员来房间送东西的速度能够快些！', '短评打分': 5}
{'短评内容': '員工的服務態度很好 居住的環境也不錯 唯一的缺點就是餐飲的供應 入住的時候 晚上吃了咖啡廳的自助餐 價位不貴 早上點了早餐送到房間用 但是覺得餐點的內容可以再提升 因為飯店附近並沒有可以用餐的地方 如果在這方面可以再加強的話 就真的是家很好的飯店 像我這次是到東方藝術中心看表演所以入住的 如果餐點可以改善的話 我想之後如果有要去看表演 我一定會再入住的 ', '短评打分': 5}
{'短评内容': '服务到位，价格合理。周边几乎没有任何商业设施。有啥小需要，必须进酒店前搞定，否则必须在酒店搞定。服务好！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '交通：处于浦东行政中心，紧邻世纪大道，出去办事搭地铁2号线很方便，门口也有多条公交线路。\n房间：干净、设施全，也比较新，色彩搭配是出自大师之手，很大气。房间挺安静，就算是朝北的房间后面是主要干道，也不吵。超南的房间视野很好，能看到世纪公园和科技馆。\n来说说缺点：1. 周围商业设施较少，地铁站下面有些餐馆和KFC，还有一个亚太什么市场，但晚上都关门了。2. 前台的check-in/check-out', '短评打分': 5}
{'短评内容': '感觉不错！', '短评打分': 3}
{'短评内容': '上海东怡大酒店上海东怡大酒店不错，很温馨的，有到家的感觉。', '短评打分': 5}
{'短评内容': '上海东怡大酒店不错，很温馨的，有到家的感觉。', '短评打分': 5}
{'短评内容': '位置不错的酒店，设施很新，车在停车场停了一天，还主动给洗了一下，非常意外也很感谢！', '短评打分': 5}
{'短评内容': '不错.价格贵了些.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;', '短评打分': 5}
{'短评内容': '东怡大酒店 环境不错  挺舒服的  就是要1300多  贵了些', '短评打分': 5}
{'短评内容': '环境不错 周边很安静 离地铁站较近 下次还会入住', '短评打分': 5}
{'短评内容': '+内容', '短评打分': 5}
{'短评内容': '酒店一直很喜欢，很安静很舒适，叫餐服务里面的餐点比较单一。', '短评打分': 3}
{'短评内容': '一直很喜欢的酒店，很安静，穿也很舒服，就是最近世博期间，客房率比较高，所以结帐时间很慢，要等很久。', '短评打分': 5}
{'短评内容': ' good', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '地理位置和环境比较好，只是吃的不怎么样。总体来说还是不错的', '短评打分': 5}
{'短评内容': '酒店离科技馆很近，硬件服务都很好，下次还会订这家。', '短评打分': 5}
{'短评内容': '对这个酒店真的满意，因为恰巧在入住的当天下午去附近展馆时，把行李箱落在了出租车内，即不知道出租车品牌，更没有索取发票，还好及时和酒店联系，调出了监控，并和出租车公司以及司机联系，天黑之前就把行李箱送回了房间。酒店的环境也很安静，地理位置上来说无论是去虹桥还是浦东机场，或是到浦西吃饭，距离都刚好，所以我觉得性价比还是相当高的，遗憾的是这次没有住园景房，下次有机会可以试一下。', '短评打分': 5}
{'短评内容': '挺好，交通方便，离世博馆近。\r\n不过价格比以前住贵多了', '短评打分': 5}
{'短评内容': '位置好，但是周边吃饭不方便，价格也稍贵。住过两次了。门童叫车服务很好很体贴。', '短评打分': 5}
{'短评内容': '此酒店什么都好！ 唯一美中不足的是周边消费的地方没有。比如，餐饮/娱乐等设施。\r\n环境好，周边绿色特别多。天气好的时候早晚可以散布！\r\n交通非常方便，而且周边还有地铁。\r\n', '短评打分': 5}
{'短评内容': '酒店还好，位置一般', '短评打分': 5}
{'短评内容': '还行,就是价格有点高', '短评打分': 5}
{'短评内容': '总体感觉还可以，工作人员挺负责的', '短评打分': 5}
{'短评内容': '综合条件较好,设施新,是不错的选择', '短评打分': 5}
{'短评内容': '硬件很好 周边没便利店', '短评打分': 5}
{'短评内容': '酒店设施服务都还不错，就是位置比较偏', '短评打分': 5}
{'短评内容': '一直很喜欢这家酒店，设施环境都很好，就是最近世博期间价钱贵了，客人也多了。', '短评打分': 5}
{'短评内容': '离新国际展览中心很近\r\n离市区就比较远了\r\n不过地铁也挺方便的', '短评打分': 5}
{'短评内容': '啥都好，就是check out 太慢', '短评打分': 5}
{'短评内容': '比较好，就是世博期间价格较高，而且高房价还不提供免费早餐，其酒店周围没有任何饭馆，吃饭较困难。', '短评打分': 5}
{'短评内容': '环境非常不错，很安静。总体来说非常舒适！', '短评打分': 3}
{'短评内容': '同等星级中，价格偏贵', '短评打分': 5}
{'短评内容': '很嗲的酒店～～～位置好，环境好，服务生态度非常和善，房间很舒适。', '短评打分': 5}
{'短评内容': '总体来说,较好.离地铁近,出行方便.', '短评打分': 3}
{'短评内容': '环境好,交通便利.', '短评打分': 3}
{'短评内容': '酒店位置很好,交通非常方便.值得推荐给朋友.', '短评打分': 5}
{'短评内容': '总的来说，还比较满意', '短评打分': 5}
{'短评内容': '还不错，交通比较方便，经常会来住', '短评打分': 5}
{'短评内容': '很喜欢这个酒店，设施环境都很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '就电视台少 ', '短评打分': 3}
{'短评内容': '  就是电视频道少了点！', '短评打分': 5}
{'短评内容': '还是很新的，离2号线近，离科技馆艺术中心都很近。很不错', '短评打分': 3}
{'短评内容': '还是很新的，可以看见东方艺术中心，还是不错的。', '短评打分': 5}
{'短评内容': '总体感觉很好！', '短评打分': 5}
{'短评内容': '很新的酒店,设施很齐全,酒店靠近区政府,不是市中心,里面环境很好.性价比不错.', '短评打分': 3}
{'短评内容': '里面电视台就20个左右，减去英文的一些台，就剩10个左右能看的中文台了。这什么酒店啊，连最基本的电视都不能服务到位的话，真是讨厌的了！', '短评打分': 1}
{'短评内容': '位置及性价比很好,值得推荐!', '短评打分': 3}
{'短评内容': '位置及性价比很好,值得推荐!', '短评打分': 5}
{'短评内容': '酒店是陆家嘴集团旗下，中资的酒店，总体感觉不能和万豪这些5星酒店比，大堂设计比较傻，但是价钱相对优惠一些，也算是性价比比较高的酒店。这次是帮助老外（意大利人）预定的，客户说还是很好的，住在16楼。', '短评打分': 5}
