{'descr': '环境挺干净的，酒店位置也不错', 'star': 5}
{'descr': '空间大，干净，安静', 'star': 5}
{'descr': '太次了，脏乱差，以后再也不会来住了', 'star': 1}
{'descr': '不错，挺暖和的', 'star': 4}
{'descr': '卫生不太好', 'star': 3}
{'descr': '经济实惠，干净', 'star': 5}
{'descr': '交通挺便利的。', 'star': 5}
{'descr': '经常住那里，性价比高。', 'star': 5}
{'descr': '很干净，很好！', 'star': 5}
{'descr': '酒店位置还可以，但是有的房间没有窗户，通风不好，感觉一般，而且前台夜班的女士态度不好，房间设施有的都坏了。', 'star': 3}
{'descr': '周边交通便利，吃饭很方便，就在松花江过上，走路2分钟就到了。就是房间比较袖珍点，酒店大厅的门得费老大的费才能推动，希望店家能维修一下方便旅客出入。', 'star': 5}
{'descr': '这家不错', 'star': 4}
{'descr': '房间比较干净。', 'star': 5}
{'descr': '周边环境好，最郁闷的是电梯在维修中，', 'star': 4}
{'descr': '不错挺好 下次还来。', 'star': 3}
{'descr': '酒店晚上十二点开始有供暖的噪音 一直到早上五点 半夜十二点半换的房间 总体休息的并不好 ', 'star': 4}
{'descr': '不错的不错的不错的不错的不错的不错的不错的', 'star': 3}
{'descr': '地理位置非常好，交通便利。酒店干净整洁，服务态度很好，属于内部达标认定酒店。早餐要另外付费，不过你可以到外面去吃，非常方便且便宜。', 'star': 5}
{'descr': '位置不错，去江边散步很近。酒店很干净，就是没有停车位，停在酒店附近临街，有些不安全。', 'star': 5}
{'descr': '非常好。安静。舒适。凉爽。服务态度特别好。而且东西很多。可以买哦', 'star': 5}
{'descr': '已经第二次入住了，地点离江边很近，去哪里都很方便，服务也很热情，早餐的水饺很好吃。', 'star': 5}
{'descr': '带着老爸老妈一行五人回老家看看，入住的这家酒店，离江边很近，晚上在江边走走，看看河灯很不错，附近快餐超市都有，感觉很便利。酒店虽然是经济型的，但是干净，早餐也不错。就是窗户边上由于下雨有发霉的痕迹，如果能及时清理就更好了。', 'star': 5}
{'descr': ' 环境还不错，地理位置很好，离江边和步行街都很近，非常方便。美中不足隔音效果太不好。', 'star': 3}
{'descr': '房间有点潮潮的，宾馆的装修也很老。像是好多年没有装修过了，不像速8连锁一贯的风格。好处是到吉林江边比较近，夏天晚上出去溜溜是个不错选择。', 'star': 5}
{'descr': '只要去吉林，就会住这家；位置好江边，酒店还算新；家里人喜欢这的自助早餐', 'star': 5}
{'descr': '还行，无窗的特价房太闷了，而且漆黑一片。', 'star': 5}
{'descr': '只能说是一般吧 整体来说还可以 室内温度还行就是有点热 我定的是商务大床房跟标准大床房没什么区别 唯一的区别就是多了一台电脑 内台电脑毛病太多 也没用 下次不会选商务房了 室内温度有时候太热了我寻思打会空调 然后打了一会空调不一会居然空调还漏水了弄了一床!房间有点小 不过淋浴还行水温挺好的', 'star': 5}
{'descr': '地点不错，周边配套都还齐全，楼后面就是江边，晚上散步看见江面上烟雾腾腾，就是房间靠窗的墙面发霉，窗帘拉着就看不见了', 'star': 5}
{'descr': '订的是家庭房，干净、舒适，也很暖和，地点也不错，楼下和马路对面都有餐馆，早饭和晚饭都在那块解决了', 'star': 5}
{'descr': '一般般吧，霉味较重，房间的暖气开的太大了，太热。下次会换一家。。。。', 'star': 1}
{'descr': '这是我住过的最简陋的酒店，连衣橱都没有，衣服只能挂在墙上，虽然能住人，但毫无温馨之感。早餐虽然不贵，食物却很快就空盘了，添加也不及时。', 'star': 1}
{'descr': '房间环境很好,干净整洁,在网上定的很划算,感觉很好,呵呵', 'star': 3}
{'descr': '酒店服务很好。大床房没窗户有点儿闷，但是很温暖~', 'star': 5}
{'descr': '很干净，很舒服，就是房间的空调不好使，太热了', 'star': 5}
{'descr': '房间确实很热，没办法睡觉。如果是夏天有空调可能会好点，冬天就建议不要住了。', 'star': 1}
{'descr': '位置很好，离检花江很近，在吉林大桥和临江门大桥之间，干净、卫生、舒适安全，服务态度也很好。值得推荐。', 'star': 5}
{'descr': '房间还是很干净的，位置也很不错。', 'star': 3}
{'descr': '酒店的服务态度真的超级好，很热情。屋里很暖和，干净舒适', 'star': 5}
{'descr': '酒店很不错，干净又贴心。前台很热情，问路告诉的很仔细。推荐一下，以后还会住', 'star': 5}
{'descr': '地点比较不错，浴室不错。浴品也挺好的，就是没有窗户。', 'star': 5}
{'descr': '这个价位在吉林市算是不错的了，不过没窗户，有点热，除了这个别的还行', 'star': 5}
{'descr': '这个价位在吉林来说已经不错了，不过没有窗户，房间会有点热。', 'star': 5}
{'descr': '地理位置方便，临近江边，购物旅游都便利，周围饭店，商场众多；酒店环境卫生，价格合理。', 'star': 5}
{'descr': '挺好的，很干净住得很舒服，服务态度也很好。', 'star': 5}
{'descr': '每次来吉林都会入住这家酒店，这回选择的是特价房，虽然没有窗，空气不能流通，但是作为短时的中转是非常划算的，服务也很不错！', 'star': 5}
{'descr': '不错，价格又实惠！', 'star': 3}
{'descr': '挺好的，这次住的特价房挺合适的，就是有蚂蚁 挺闹心的', 'star': 5}
{'descr': '打扫卫生的阿姨，麻烦你下次用干净点的水拖地，谢啦', 'star': 5}
{'descr': '已经是常客了，位置优势明显。综合环境等因素可不错。', 'star': 5}
{'descr': '环境很不错和图片上的一样', 'star': 3}
{'descr': '还好吧，一般般啦，没有想象中的好，但在经济类型的酒店中还算不错的啦', 'star': 1}
{'descr': '很好、、、、不解释，热水很暖。。硬是要说的话，，就是房内有一些烟味。可能是上位住宿者不注意，乱抽烟啊', 'star': 5}
{'descr': '干净整洁，早餐质量有待改善。地理位置很好。', 'star': 5}
{'descr': '距离江边，饭后可以去江边散步。早餐简单，有待改善。', 'star': 5}
{'descr': '酒店内部设施很完善，热水供应很快，很方便。\n网络慢些，数字电视的遥控不太好用。\n\n房间大小还好，特价房性价比高。\n\n距离市区各个地方的距离都好，交通比较方便。', 'star': 5}
{'descr': '酒店设施不错，很干净，服务也很贴心。\n酒店房间还好，就是网速有些慢。\n\n酒店的整体不错，性价比高，靠近市中心的各个主要商场和主要景观地点。离江边也不远。性价比很高，尤其是特价房，虽然没有窗户，但是里面其他东西很全面。', 'star': 5}
{'descr': '整洁，安静，交通也不错', 'star': 3}
{'descr': '价格便宜，没有窗户，位置离河南街挺近，适合逛街，挺好的', 'star': 5}
{'descr': '很干净，服务也不错，交通便利。以后再去吉林会继续住在这里的。', 'star': 5}
{'descr': '还行，隔音不是很理想，进屋时有点味，因为是特价嘛，住一晚可以了，总体不错。 ', 'star': 3}
{'descr': '还不错了', 'star': 3}
{'descr': '交通很方便，距离江边和北山公园都很近，条件都很好，空调打起来暖暖的，好。', 'star': 5}
{'descr': '可以提前入住并且服务很到位', 'star': 3}
{'descr': '干净 整洁 安静 交通方便 地理位置优越 靠着松花江 和北山公园', 'star': 5}
{'descr': '挺好的..服务态度好，就是房间有点潮，因为临江么..但是地理位置真的好好....推荐推荐~~~', 'star': 5}
{'descr': '特价房有空调并且服务也不错', 'star': 3}
{'descr': '因为是促销大床房，除了价格上的诱惑，其他真的是各种不方便。酒店里的排风坏了，无人修理，加之没有窗户，潮气和霉味都特别严重，无奈第二天还是要换标准间。', 'star': 1}
{'descr': '效率和位置都不错!', 'star': 3}
{'descr': '还可以，但是细节还需要加强，比如说房间内的宣传单页等已经破旧。', 'star': 5}
{'descr': '干净，整洁，前台服务员态度很好！！\n希望越做越好，订房方便，价格合理，喜欢速8，\n 不过现在速8怎么不赠送那个茶啦，茉莉花的那个，以前都有的现在没有啊', 'star': 5}
