{'短评内容': '早餐品种可以，位置偏僻，有停车场', '短评打分': 5}
{'短评内容': '非常好的酒店', '短评打分': 5}
{'短评内容': '对此酒店无评价，管理上比较乱', '短评打分': 3}
{'短评内容': '无语的酒店，管理让人不安。', '短评打分': 2}
{'短评内容': '环境很好，干净卫生，出差在附近，住了好几天，酒店服务较好，床很舒适，周边晚上很安静，一点都不嘈杂，比较舒适。', '短评打分': 5}
{'短评内容': '运作途中没有顺利过', '短评打分': 2}
{'短评内容': '京东价格和携程比也挺便宜以后可以到京东订了，这次行程有变化，下次再去。', '短评打分': 5}
{'短评内容': '条件还可以，早餐也还可以，总体来说这个价位差不多', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '住了好多次，太满意了，有家的感觉。', '短评打分': 5}
{'短评内容': '除了退房时候前台的态度不好之外 其它都好 ', '短评打分': 4}
{'短评内容': '人比较人，周边不够干净。', '短评打分': 4}
{'短评内容': '第二次入住了，之前订的房间有烟味，和酒店沟通后，酒店给换了顶层的无烟房，给个赞，下次再来还会是首选。', '短评打分': 5}
{'短评内容': '房间卫生干净，很好', '短评打分': 5}
{'短评内容': '酒店很干净，设施也在主流水平，透过落地玻璃的景致很好。', '短评打分': 5}
{'短评内容': '很安静的地方 私密性好 很大气 空气好', '短评打分': 4}
{'短评内容': '很安静的地方 私密性好 很大气 空气好', '短评打分': 4}
{'短评内容': '很安静的地方 私密性好 很大气 空气好', '短评打分': 4}
{'短评内容': '很安静的地方 私密性好 很大气 空气好', '短评打分': 4}
{'短评内容': ' 已入住，房号1218和1533.', '短评打分': 3}
{'短评内容': '酒店硬件设施不错，周边比较安静，位置稍偏。', '短评打分': 3}
{'短评内容': '硬件总体而言还行 就是房间的电视真心破啊……', '短评打分': 3}
{'短评内容': '酒店装修的风格有些欧式的，大堂设计的很上档次，服务员很有礼貌，卫生条件也不错', '短评打分': 5}
{'短评内容': '服务很好，从进门口开始就有服务人员招呼你，感觉很温馨。', '短评打分': 5}
{'短评内容': '房间设施配置齐全，液晶电视，电冰箱。硬件很好。', '短评打分': 5}
{'短评内容': '客房干净舒适，采光也很好。配置硬件很好。位置比较一般。', '短评打分': 5}
{'短评内容': '就是位置偏了点，适合商务人士。', '短评打分': 5}
{'短评内容': '是欧式的风格，很雅致，房间布置的很温馨，相当喜欢。', '短评打分': 5}
{'短评内容': '大厅的设计很现代化，房间装饰也彰显时尚，挺豪华的。', '短评打分': 5}
{'短评内容': '早餐的时候，服务员帮着倒牛奶、到咖啡，很友善，不卑不亢，很有亲和力。', '短评打分': 5}
{'短评内容': '我住的标准间，液晶电视、冰箱都有，很满意。', '短评打分': 5}
{'短评内容': '该酒店设施及服务不错，只是位置偏远，不是去办事一般不会住的这么偏。', '短评打分': 5}
