{'短评内容': '就是多了个厨房和门禁，其他没啥区别。厨房还缺工具。', '短评打分': 5}
{'短评内容': '早餐一般，品种不算很多，不过环境还好。中规中矩的酒店，因为新装修所以看上去很干净。停车位置蛮多的，门口比较清静，下午四点到门口时灯光黯淡，空无一人，差点以为走错地方了，在门口绕了一圈才敢进去。', '短评打分': 5}
{'短评内容': '不错，就价格高了点！', '短评打分': 5}
{'短评内容': '不错，就价格高了些！', '短评打分': 5}
{'短评内容': '还不错，下次会再考虑入住', '短评打分': 4}
{'短评内容': '停车方便，周边安静，去星光天地很近散步10分钟！早餐丰富，游泳池干净！', '短评打分': 1}
{'短评内容': '酒店位置距离市中心很近，打车也很方便，前台也是按照事先交待过的安排的朝南房间，并且主动问我是否是ihg会员，知道后立马送我了欢迎饮料，很不错，之前住过很多次洲际集团的酒店都很少有主动问了。之前看评论有说酒店开的时间久房间有些陈旧还担心，不过一进到房间里就觉得特别的干净明亮，床也很舒适，wifi也很好。', '短评打分': 5}
{'短评内容': '一走进大堂就感觉很舒服。前台接待人员很热情，服务很周到。房间宽敞明亮，设施设备都很齐全，卫生间干净整洁。一楼Deli饼屋的西式小点心很好吃！ 总体感觉不错！', '短评打分': 5}
{'短评内容': '帮公司订的，不是本人入住，反正没说不好', '短评打分': 4}
{'短评内容': '酒店位置交通便利，工作人员也很专业，国际连锁五星就是与众不同，硬件也是赞赞的！', '短评打分': 5}
{'短评内容': '酒店有点老了，但套房面积还是很大。房间中规中矩，挺舒服的。住套房送了水果，酒店人不多，周边环境一般般', '短评打分': 5}
{'短评内容': '各方面都是中规中矩的酒店', '短评打分': 5}
{'短评内容': '酒店就在市中心，出行吃饭很方便。早餐品种丰富，房间整体也比较卫生。', '短评打分': 5}
{'短评内容': '性价比不高', '短评打分': 4}
{'短评内容': '很好，不愧是老牌的酒店！值得入住，从服务到卫生，到餐饮都是非常棒的，感谢有你', '短评打分': 5}
{'短评内容': '良好的环境，热心周到的服务，给出差在外的旅客有一种家的感觉', '短评打分': 5}
{'短评内容': '酒店设施陈旧，根本未达到五星标准！', '短评打分': 2}
{'短评内容': '酒店大厅除了前台几乎看不见服务人员，房间还算大，设施较老，卫生还不错，对于出差的目的地在附近的我还算方便。 价格有点偏高了', '短评打分': 4}
{'短评内容': '非常好，就是离市区远点', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '不象5星', '短评打分': 3}
{'短评内容': '房间宽敞，总体不错', '短评打分': 3}
{'短评内容': '还可以，crown plaza的标准。西餐一般，房间还算比较舒适，周边很空旷。', '短评打分': 5}
{'短评内容': '自助餐不错。', '短评打分': 3}
