{'descr': '环境很好，服务周到，非常满意', 'star': 5}
{'descr': '拉中之拉', 'star': 1}
{'descr': '还行', 'star': 5}
{'descr': '前台热情，服务周到，下次朋友来了还会选择这里！', 'star': 5}
{'descr': '房间干净整洁位置好找床很舒服还很大wifi也比较好', 'star': 5}
{'descr': '服务人员服务态度好，周边小吃多，房间干净整洁，性价比高，房间大，无线网给力', 'star': 5}
{'descr': '酒店靠近小区，酒店给人感觉很安全，房间安静，布草干净整洁，环境卫生，设施齐全，装修很新，淋浴10秒速热，特别棒，独立WIFI信号强，靠近地铁，出行方便，周围吃喝玩乐齐全，价格实惠，性价比高，前台服务超好，阿姨也很亲切，给个好评！', 'star': 5}
{'descr': '地理位置方便，旁边有很多好吃的店', 'star': 5}
{'descr': '地理位置方便，吃饭也挺方便', 'star': 5}
{'descr': '地理位置方便，吃饭的地方也挺多', 'star': 5}
{'descr': '旁边很多吃的，很方便很方便。', 'star': 5}
{'descr': '可以送京豆    疯狂打cal，赞', 'star': 5}
{'descr': '点赞点赞点赞点赞点赞，', 'star': 5}
{'descr': '同事出差，在这住了好久，还不错。', 'star': 5}
{'descr': '特别棒！', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '很不错', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '第一次住七天，卫生间有味道，整体还算不错。', 'star': 5}
{'descr': '还可能，还满意。', 'star': 5}
{'descr': '满好的，下次还来', 'star': 5}
{'descr': '隔音较差', 'star': 3}
{'descr': '因服务不主动、要改善改进', 'star': 3}
{'descr': '很好', 'star': 5}
{'descr': '性价比够', 'star': 4}
{'descr': '一分价钱一分货 但是七天还是用性价比赢得了客户群', 'star': 5}
{'descr': '很方便，楼下就有用餐的餐厅，离景点也不远', 'star': 5}
{'descr': '周边配套全 吃喝玩乐都有，房间空间大，就是有异味卫生间', 'star': 3}
{'descr': '酒店所处位置闹中取静，出行方便。停车位也容易找到。房间淋浴水压和水温也理想！', 'star': 4}
{'descr': '还可以，房间挺大的', 'star': 4}
{'descr': '房间大是新区店的最大特色，停车有点困难，商业街的车位一位难求，其他的都很棒～', 'star': 5}
{'descr': '还可以，房间太小了。', 'star': 5}
