{'短评内容': '居然无故取消我订单 如果没房就不要挂出来', '短评打分': 5}
{'短评内容': '很好，很整洁', '短评打分': 5}
{'短评内容': '早餐丰富，交通方便，服务好，经常住。', '短评打分': 5}
{'短评内容': '早餐丰富，交通方便，服务好，经常住。', '短评打分': 5}
{'短评内容': '早餐丰富，交通方便，服务好，经常住。', '短评打分': 5}
{'短评内容': '早餐丰富，交通方便，服务好，经常住。', '短评打分': 5}
{'短评内容': '。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务很好，尽管出行未能成功，很快得到了退款，非常感谢！', '短评打分': 5}
{'短评内容': '房间干净，卫生条件好，服务周到，很不错', '短评打分': 5}
{'短评内容': '海南了了陌么哦嗯天真喔陌你摸', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '比较老的酒店了，服务态度还好，不过设施比较陈旧，卫生条件一般，相比价格有点小贵，而且早上客房服务员大声敲门，结果是敲错了，让人很无语...  交通不是很便利，周边没有地铁', '短评打分': 3}
{'短评内容': '1酒店大气外观，服务挺好，设施尚可。2酒店内有全聚德，旁边就是大宅门餐饮，酒店自助餐和点餐都很好。3酒店的交通位置不在地铁口附近，最近的就是万寿路站，还要乘坐3站公交车才到。', '短评打分': 5}
{'短评内容': '商务出差不错的选择。', '短评打分': 5}
{'短评内容': '酒店设备较好、周边环境较方便！', '短评打分': 5}
{'短评内容': '看陈伟霆演唱会定的，离场馆挺的，四个老酒店了，位置有点隐蔽，不太好找，不过在北京，又在场馆附近。这个价格很划算了。', '短评打分': 5}
{'短评内容': '性价比还合算', '短评打分': 4}
{'短评内容': '朋友来办事，主要为了方便。', '短评打分': 4}
{'短评内容': '非常不错的酒店，服务态度也非常好', '短评打分': 5}
{'短评内容': '周边吃饭什么还算方便', '短评打分': 4}
{'短评内容': '不是一般的差 不推荐入住', '短评打分': 3}
{'短评内容': '性价比较高', '短评打分': 5}
{'短评内容': '房价性价比高，地理位置佳。', '短评打分': 4}
{'短评内容': '酒店设施一般，有些旧了', '短评打分': 4}
{'短评内容': '酒店环境、周边交通都不错、就是价格有一点高。', '短评打分': 4}
{'短评内容': '房间暖气挺给力的，出风口在窗台上，设计很独特，其他的也还好吧', '短评打分': 5}
{'短评内容': '瑞成大酒店总体来说还是不错的，距离地铁不是很近，但酒店设施较新，价格也还可以，但要2个人住，卫生也好，就是服务一般。', '短评打分': 4}
{'短评内容': '很好，干净，高档！服务很好，演唱会很方便，下次还会再来的，', '短评打分': 3}
{'短评内容': '酒店卫生很干净，就是早点价位高一些，有的房间太小了。', '短评打分': 3}
{'短评内容': ' 还干净，服务也行，就是房间一进去有股浓郁的潮潮的霉味。', '短评打分': 3}
{'短评内容': '总体感觉还很好。酒店卫生条件很好，我们是几个人拼房去看演唱会的，真的觉得很不错，我订的是酒店的特价房，双床标准间，24小时热水，床铺也很干净。', '短评打分': 5}
{'短评内容': '还不错 周围全是附近看病的 离肿瘤医院比较方便徒步 5分钟几本能到', '短评打分': 5}
{'短评内容': '很好！环境也很不错！酒店可购买的商品太少！希望以后服务有更多改进！', '短评打分': 5}
{'短评内容': '房间一般！给的14楼！电梯只能到13楼！可能其它楼层要好些！', '短评打分': 5}
{'短评内容': '其实是去看演出的离五棵松很近  服务很好~~~呵呵', '短评打分': 5}
{'短评内容': '房间不错，隔音不行，服务不好，前台没微笑，客房连想多要个枕头都不给，总机连酒店基本介绍都不知道！下次不住了！', '短评打分': 3}
{'短评内容': '  房间小,空调不太凉。', '短评打分': 3}
{'短评内容': '酒店内部环境良好，酒店外部环境较安静，周围人群不是很多，出行坐公交换乘地铁都很方便。', '短评打分': 5}
{'短评内容': '酒店环境和服务都非常好,下次还会入住和推荐给朋友的!', '短评打分': 5}
{'短评内容': '酒店总体还可以，房价偏贵，但是在这个位置，也还可以了', '短评打分': 5}
{'短评内容': '就是贵了点', '短评打分': 3}
{'短评内容': '酒店还好,卫生各个种设施齐全,还不错。', '短评打分': 3}
{'短评内容': '酒店外观看起来还行，但是所谓的特价房实在是糟糕，空调声音大，关了又冷，房间和卫生间还算大', '短评打分': 3}
{'短评内容': '服务好，房间干净。', '短评打分': 3}
{'短评内容': '酒店不错，配套设施挺全。', '短评打分': 3}
{'短评内容': '十服务不错,热情周到.', '短评打分': 3}
{'短评内容': '这酒店我几年前住过，当时就十分认可它，干净、整洁，但有点偏，吃饭不方便。所以后来不太常住。这次由于偶然机会，又住了。它还是干净、整洁，更可喜的是现在交通方便了。还有一事，它可以到14点退房。不足之处是早餐45元一份不但有点贵，而且东西太少。总体说来，值得推荐。', '短评打分': 5}
{'短评内容': '这个商务套间不错，很适合谈事情，要是再便宜一点就更好了。', '短评打分': 3}
{'短评内容': '价格合理，整洁 舒适，夜间安静食欲休息。交通便捷', '短评打分': 5}
{'短评内容': '价格实惠，装备齐全，舒适 整洁 晚间 安静，只是错定了大床房，双床房间 更宽敞', '短评打分': 5}
{'短评内容': '环境不错..也挺舒服的，下次还订瑞成大酒店', '短评打分': 3}
{'短评内容': '酒店环境还不错，就是来的时候没有我要的大床房', '短评打分': 3}
{'短评内容': '还是很方便的酒店，价格也不错，还会再入住。', '短评打分': 5}
{'短评内容': '总体不错!住了一间袖珍小单间，但该有的服务设备都有了。可以！', '短评打分': 5}
{'短评内容': '不错。就是屋里的灯开关不方便。总体很好。', '短评打分': 3}
{'短评内容': ' 酒店还不错!干净 还有枕头可以选 环境总体不错!', '短评打分': 3}
{'短评内容': '不知道是酒店安排错了，还是我预定的房间本来就该那样小。如果是本身就那样小的房间，500多元一晚的标准也算是太贵了。\n其他的还行吧', '短评打分': 5}
{'短评内容': '酒店不错，地理位置也比较理想，紧邻玉河，环境也好，就是房间涨价了，', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '房间感觉比较旧，顶层楼房电梯不能直接到达，反正住过之后没有留下什么深刻的印象，倒是感觉大厅的门童服务还是比较热情的', '短评打分': 1}
{'短评内容': '酒店不错，很安静，卫生，性价比高，服务也好，我因有事，在打扫房间时没让打扫，到晚上要求打扫时，客服依然给打扫了。我还会再次入住的', '短评打分': 5}
{'短评内容': '环境不错  服务不错  交通方便 卫生不错', '短评打分': 5}
{'短评内容': '这次住的房间有点脏，而且浴室没窗户，弄得很潮湿', '短评打分': 5}
{'短评内容': '上网收费奇高，一分钟收一块钱，实在太贵了。\n房间还行，不算脏', '短评打分': 5}
{'短评内容': '已入住！', '短评打分': 3}
{'短评内容': '不错的酒店，配置水平高于三星，接近四星。晚上也比较安静，热水不错，中央空调位置有点奇怪，在窗台。住的那天居然有人结婚', '短评打分': 5}
{'短评内容': '，酒店服务不错，条件设备齐全，值得再次入住。', '短评打分': 3}
{'短评内容': '性价比很好。', '短评打分': 3}
{'短评内容': '地方离地铁很远，但是离公交车站还是很紧，总体交通不方便，但是周围饭店还是很多，特别是驴肉不错，很实惠。', '短评打分': 5}
{'短评内容': '酒店大堂宽阔明亮,各类服务设施比较齐全.', '短评打分': 3}
{'短评内容': '房间比较宽敞,干净卫生,只是内饰有点陈旧.', '短评打分': 3}
{'短评内容': '酒店交通距离地铁站还有三站地不算太方便，但有公交转乘还算方便，设施除了有一点陈旧外还说的过去，所住客房的椅子拷贝已经磨破了也没有更新。', '短评打分': 5}
{'短评内容': '不错，很干净', '短评打分': 3}
{'短评内容': '住的是标准间，不是特价房。但是在14层，房内有挺浓的味道。房间内电视橱有小冰箱，但是没插电，里边也没有方便食品，卫生间内的方便用具不齐全，还没有之前住的相对小一些的酒店房间设施齐全。因为是参加现金返利的活动，所以住的这家酒店，性价比不高。周围吃的玩的还行。', '短评打分': 1}
{'短评内容': '环境不错，态度也好', '短评打分': 3}
{'短评内容': '房间的设施陈旧，早餐选项不丰富，房间内不供应免费矿泉水。花洒也比较老旧，不太好用。这次是因为办事，客户公司靠这儿较近，但是以后不会考虑入住', '短评打分': 1}
{'短评内容': '凑合吧，地段还不错，只是酒店有些旧，离成龙的影院不远，离五棵松篮球场馆也近，楼下还有个全聚德，吃鸭子倒是方便，但是价格不菲啊。', '短评打分': 5}
{'短评内容': '我每天是早出晚归，服务态度不知道如何，但是环境不错', '短评打分': 5}
{'短评内容': '地点离目的地比较近，离地铁约15分钟路程。不算太方便。\n房间干净整洁，还不错。', '短评打分': 5}
{'短评内容': '服务质量不错，环境也不错，指定房型返40%现金活动真的不错。。。。。。 \n', '短评打分': 5}
