{'短评内容': '离宽窄巷子很近，酒店服务很到位，尤其是保安大哥非常热心，给我们详细讲解了成都必玩必看的景点以及好吃的小吃，值得赞扬。', '短评打分': 4}
{'短评内容': '离市中心近，很好', '短评打分': 4}
{'短评内容': '前台小妹和门卫大爷态度很好，！', '短评打分': 3}
{'短评内容': '离中医大很近，前台小妹态度很好，一说一个笑，酒店有点老了，但基本上都算好，对于要求不高的家庭这个价位算很好。', '短评打分': 4}
{'短评内容': '代人预定并担保，结果到店店家拒不执行订单价格、还说是携程搞错了！无奈以门市价入住，也是无语了', '短评打分': 2}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '房间装修一般，整体卫生还算干净，整洁。', '短评打分': 3}
{'短评内容': '环境舒适，房间安静，优雅', '短评打分': 3}
{'短评内容': '还行，环境优雅，安静，舒适', '短评打分': 3}
{'短评内容': '舒适，很方便，下次还会选择。', '短评打分': 3}
{'短评内容': '房间挺大，挺干净的，服务态度挺不错的，交通方便。', '短评打分': 5}
