{'短评内容': '订金到现在还没有退回来', '短评打分': 5}
{'短评内容': '好好好，下次再来。', '短评打分': 5}
{'短评内容': '还干净的 ', '短评打分': 5}
{'短评内容': '早上可以送站，', '短评打分': 3}
{'短评内容': '想像不出的差，一夜未眠', '短评打分': 2}
{'短评内容': '第二次入住，挺好的', '短评打分': 5}
{'短评内容': '其实离机场还蛮远的', '短评打分': 4}
{'短评内容': '因为是别墅改装的，房子很新就是有点偏不过很安静，老板娘很热情，接送机', '短评打分': 5}
{'短评内容': '黑店一个，网上地址实际找不到，还找些莫名其妙的人来接人，不敢住！退钱！', '短评打分': 1}
{'短评内容': '我是单人间，整体还是Ok的，主要是老板娘很热情。值得推荐', '短评打分': 4}
{'短评内容': '说实话 下次我再也不去了', '短评打分': 1}
{'短评内容': '离机场一般般远吧是一个村新别墅房。老板娘口才很好幽默接送快。房间大床也大卫生间也不错，机场附近这个价是值。就看明早送机是否准时了。', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '又便宜，又方便', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '老板人客气，接送机，很方便不耽误事。', '短评打分': 5}
{'短评内容': '老板人很好，免费接送机，在车上还告诉每个航班的入口和注意事项。客房安全卫生，价格合理。', '短评打分': 5}
{'短评内容': '机场车接车送服务太周到了 态度也很好 还帮我们叫了机场到市区的回程车 推荐！！', '短评打分': 3}
{'短评内容': '地点稍微偏僻了点，但是很卫生，环境安静。最重要的是老板人特别好,态度亲切。在车上和你讲机场的一些注意事项，往返都有接送。住过一次后，回来机场就不假思索再次选了他家。', '短评打分': 5}
{'短评内容': '酒店可以。老板热情。环境不错。适合敢早班飞机的朋友入住。挺好的。可以首选。', '短评打分': 3}
{'短评内容': '很可爱的店，地方有点儿偏僻，但胜在安静。有店主人机场接送，所以还是很方便的。房间很干净，也很温馨，有家的感觉。店主态度超级好，说话都是笑眯眯的！赶早飞机的一点儿也不怕会晚，店主人会提前算好时间来敲门，真是很贴心。真的很方便。强力推荐！~', '短评打分': 5}
{'短评内容': '从西安飞杭州，本来是晚上23：55分到。结果飞机晚点了，凌晨0:30分到的。老板早早在机场等着了。开车接我到酒店，虽然是私人开的旅馆，但是一进房间，房间很大，很干净。老板服务特别好。态度也好。问了我第二天去哪里，然后帮我安排了行程。我第二天是返回金华。他告诉我9点出发去机场坐大巴，这段时间票不好买。服务周到。很喜欢。下次如果需要住宿，还会再来的。总结：1，服务好；2，环境好，房间设备也全，还有电脑', '短评打分': 5}
{'短评内容': '房间很干净，和图片上一摸一样，而且老板人好的简直不得了，免费接送，还叫我们起床，到位，很到位！', '短评打分': 5}
{'短评内容': '7月6日入住，飞机延误到夜里3点多，老板也来接。老板人很好很自来熟，条件也是几家里较好的一家，住了两天，很安静。延误晚到或者赶早机非常合适住', '短评打分': 5}
{'短评内容': '房间不错，老板服务超级周到，接送机也非常守时必须要赞一下，今后早晚班机的住宿首选。', '短评打分': 3}
{'短评内容': '老板人很热情 服务周到 有机会肯定再来', '短评打分': 3}
{'短评内容': '我看到了一位灰常用心经营旅店的老板\n房间的格局似自己家里的卧室，很舒服很干净', '短评打分': 5}
{'短评内容': '房间不错，非常干净，老板人超好，第二天五点多，老板就叫我们起床，并送我们去机场，服务周到，就是吃不方便。适合赶早班机。', '短评打分': 5}
{'短评内容': '我们从北京飞杭州，飞机延误，凌晨一点左右才到机场。老板开车来航站口接，给我们送到酒店，有一种家的感觉。（要知道人生地不熟的滋味很不踏实的）车行几分钟就到了附近村子，还有点蒙蒙的小雨，房间宽敞干净，不吵杂，很容易入睡。第二天老板叫我们起床送我们去坐大巴前往乌镇。短短的接触时间，杭州人真的不错，给个好评', '短评打分': 5}
{'短评内容': '非常干净，老板人超好，还负责送到机场。一定要选择', '短评打分': 5}
{'短评内容': '价格实惠离机场近，对于赶早班机的人推荐下!', '短评打分': 5}
{'短评内容': '包往返机场的接送，车程大概10分钟。另外价格便宜，而且房间很干净，唯一不足就是热水的水压不是很够，但凑合洗澡也是可以的。适合乘早机的人入住。', '短评打分': 5}
