{'短评内容': '环境可以，出入方便，', '短评打分': 5}
{'短评内容': '广圣前台服务非常好，还会再去的', '短评打分': 5}
{'短评内容': '位置好，但是停车位不多', '短评打分': 4}
{'短评内容': '不错，比较安静', '短评打分': 5}
{'短评内容': '早餐还算丰富，位置好、交通方便', '短评打分': 5}
{'短评内容': '呵呵红红火火呵呵红红火火', '短评打分': 5}
{'短评内容': '办理住宿的时候特意告诉前台第二天要考试，请安排不临街安静一点的房间，服务员敷衍、不理睬。结果正好临街，楼下在修地铁，渣土车整晚不歇气，吵了1晚上没睡着。半夜打前台电话，答复让克服一下，彻底无语！\nps:床太软不舒服。\n此次差评仅对酒店服务，因为京东的订房服务有有另一个评价入口，那边打了5星，还是很满意京东的价格和确认速度的。', '短评打分': 5}
{'短评内容': '办理住宿的时候特意告诉前台第二天要考试，请安排不临街安静一点的房间，服务员敷衍、不理睬。结果正好临街，楼下在修地铁，渣土车整晚不歇气，吵了1晚上没睡着。半夜打前台电话，答复让克服一下，彻底无语！\nps:床太软不舒服。\n此次差评仅对酒店服务，因为京东的订房服务有有另一个评价入口，那边打了5星，还是很满意京东的价格和确认速度的。', '短评打分': 5}
{'短评内容': '环境很舒适就是订单到账时间有点久', '短评打分': 5}
{'短评内容': '外面修路，走路不方便。由于房间没，携程给升级了。', '短评打分': 5}
{'短评内容': '好像有卡拉OK，感觉人有点乱。注意安全。', '短评打分': 5}
{'短评内容': '可以的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一般一般，世界第三', '短评打分': 3}
{'短评内容': '好，很好，非常好，哈哈哈', '短评打分': 4}
{'短评内容': '一如既往的好评，好哈哈哈', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间较好，就是有点不习惯没一次性用品，另外连纸也没有', '短评打分': 5}
{'短评内容': '酒店这种配置，价格还是偏高了些，双人间的床只有1.2米，太窄了，显着很小气，里面有免费矿泉水，其余洗漱用品全部收费，早餐去早还行，去晚了，很多都凉了', '短评打分': 4}
{'短评内容': '酒店很安静，房间也很干净~自助早餐种类也很多，挺不错的~', '短评打分': 5}
{'短评内容': '位於長沙市中心, 交通便利, 整潔, 價格合理', '短评打分': 5}
{'短评内容': '酒店还行，就是网路不行，但以后我还会入住该酒店。', '短评打分': 5}
{'短评内容': '酒店在星沙，环境还不错，就是四星似乎有点勉强。', '短评打分': 5}
{'短评内容': '不错，房间大小还可以，服务也不错，早餐也不错，', '短评打分': 5}
{'短评内容': '酒店一般，和四星级有点不符。', '短评打分': 3}
{'短评内容': '酒店隔音不好，窗子也总被吹的响', '短评打分': 3}
{'短评内容': '酒店服务较差，靠马路的房间隔音不好。很吵。', '短评打分': 3}
{'短评内容': '酒店的环境不错，三楼的KTV吵，早餐每天都是那几样，吃腻了', '短评打分': 5}
{'短评内容': '环境不错，不过涨价了，酒店不提供一次性洗漱用品及拖鞋，都得自己带', '短评打分': 5}
{'短评内容': '房间干净整洁，服务员的态度很好！交通也比较方便', '短评打分': 5}
{'短评内容': '每次来星沙都住这里，很温馨，现在又增加了水公馆，住起来更方便了', '短评打分': 5}
{'短评内容': '广圣酒店各方面都还可以。满意', '短评打分': 3}
{'短评内容': '房间环境很好但是一次性用品还要额外收费不太好', '短评打分': 5}
{'短评内容': '交通方便，适合旅游人居住，周边景点丰富，美食丰富', '短评打分': 5}
{'短评内容': '房间总体环境还不错，卫生间很大，比较干净。地理位置办事很方便。房间总体环境还不错，卫生间很大，比较干净。地理位置办事很方便。', '短评打分': 5}
{'短评内容': '整洁、干净、服务周到，在长沙开发区是很好的酒店', '短评打分': 5}
{'短评内容': '除了毛巾之外，什么都要钱。房间一股味，以后不能住了。', '短评打分': 1}
{'短评内容': '大堂装修设施都可以，就是厕所小了点，楼下早餐东西乱摆，让人感觉没什么管理，不够卫生，与装修点环境不匹配。', '短评打分': 5}
{'短评内容': '酒店价格较合理，前台服务热情，但问旅游情况不是很熟悉；须提高专业素质。另外牙膏牙刷拖鞋是要付费不方便；也许是因为房间价格低的原因？', '短评打分': 5}
{'短评内容': '环境还好，空间不大。就是空调吹冷风，没有温度可以调节。早餐还要丰富点。服务态度还可以。                                                                      ', '短评打分': 5}
{'短评内容': '松子发表点评：很干净的酒店，下次来长沙还会选择入住，早餐不错，应该还要再丰富一些，比较好打车，服务态度不错。', '短评打分': 5}
{'短评内容': '房间总体环境还不错，卫生间很大，比较干净。地理位置办事很方便。房间总体环境还不错，卫生间很大，比较干净。地理位置办事很方便。房间总体环境还不错，卫生间很大，比较干净。地理位置办事很方便。', '短评打分': 5}
{'短评内容': '价格比较合理，办事比较方便,房间里面总体装潢还行，会推荐朋友入住。', '短评打分': 5}
{'短评内容': '酒店卫生很好，周边环境也不错，价格便宜，离市区较远，如果要搭出租车最好先叫前台帮忙拦车', '短评打分': 5}
{'短评内容': '房间较大，早餐还可以，电视的台有点少，就那几个节目', '短评打分': 5}
{'短评内容': '大堂很气派，早餐也还行，就是房间不是很大，但很干净，隔音效果不是很好。', '短评打分': 5}
{'短评内容': '对广圣大酒店发表了点评：  房间较大，服务好，早餐也不错', '短评打分': 5}
{'短评内容': '酒店没有不吸烟房间，烟味很大，配套设施不是太好，但价格还可以', '短评打分': 1}
{'短评内容': '房间比较大。', '短评打分': 3}
{'短评内容': '酒店装修比紫鑫好，马路对面的粉店汤粉味道不错。', '短评打分': 5}
{'短评内容': '广圣酒店，印象一般，白天在施工较吵！服务员较客气，中性评级！', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '挺好的，交通也挺方便，下来酒店就能打到车。', '短评打分': 5}
{'短评内容': '地理位置还不错，性价比还可以，没有一次性洗漱用品，得花钱买。', '短评打分': 5}
{'短评内容': '地方比较偏僻，离机场比较近。硬件设施比较好，但服务意识比较差', '短评打分': 1}
{'短评内容': '房间挺大,还算舒服,性价比不错,只是拖鞋、洗蔌用品都是收费的，这点有些别扭', '短评打分': 5}
{'短评内容': '房间还可以', '短评打分': 5}
{'短评内容': '往宿不错，但是早餐很早就光盘了，也不补充，洗漱用品全部收费。不合4星服务形象', '短评打分': 5}
{'短评内容': '食物一般，但是餐厅饮料价格与送上门的不一，很奇怪。还有就是没有一次性用具不方便', '短评打分': 5}
{'短评内容': '酒店性价比很高，步行10分钟就能到通程购物广场，易初莲花，KFC，出行还是蛮方便的，房间装修的不错，空间也很大，里面提供24小时热水，住宿环境蛮好的', '短评打分': 5}
{'短评内容': '还算可以，就是隔音效果有点不好，卫生很干净，住的还算舒服。总体来说各方面还很不错，如果下次还去那边出差，会考虑继续入住该酒店。', '短评打分': 3}
{'短评内容': '还可以 还不错，还蛮舒服，服务还蛮好，很好很好，', '短评打分': 5}
{'短评内容': '服务人员都很周到热情，就是室内的卫生条件差了点.不过其它各方面都不错.', '短评打分': 5}
{'短评内容': 'gggggg', '短评打分': 1}
{'短评内容': '干净整洁，服务规范，员工态度良好。硬件不错、价格不贵，性价比高。但是位置在星沙经济开发区很偏，如果是到星沙经开区公干出差，住这里是非常好的选择', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 1}
{'短评内容': '电梯间居然发现狗便,辛好步子大,迈过……\r\n卫生间内的牙具、洗漱用品要收费的，注意些……\r\n餐点一般，较一般，不如再向东300米左右，超市对面的小吃有长沙风味；\r\n包包没地方放，只好地上；\r\n网线大概有1.2米左右，别惦着躺着上网……\r\n门外蓝色的的士以黑车居多！\r\n雨天无伞提供，自己早些备好 :(\r\n总的来讲，凑合，实施与价格比要差些。幸亏有湘妹子的好脾气。', '短评打分': 5}
{'短评内容': '本来订好的房间,到了酒店说没找到订单,也没有所订的房型了,后来只好住了别的房型,住了三天,酒店的服务人员都不主动打扫房间,还需要我们去叫,别的倒没什么,价格也还合适.', '短评打分': 3}
