{'短评内容': '当初v那你不想做的v就不想做', '短评打分': 5}
{'短评内容': '小小，很实用，就是这次住的这间正对别人家厨房排烟口，', '短评打分': 4}
{'短评内容': '不错哦', '短评打分': 5}
{'短评内容': '环境差，设施差，最可恶是居然有别的客人能开门进我已经入住的房间，影响心情，差评。', '短评打分': 1}
{'短评内容': '十一旅游，为了省钱住这里。房间有气味，面积小，厕所没有门，空调对着头吹，淋浴坏的，住一楼要先上二楼再下楼。周边很多吃的，也就肥姨比较值得去，去旅游景点不方便。为了省钱，忍了这次，下次在住宿这一方面真的不能将就，睡不好', '短评打分': 4}
{'短评内容': '因为突然停水，所以租客栈，近马路有点吵，房间与房间隔音不好', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '能满足需求', '短评打分': 5}
{'短评内容': '写评语赚积分，不写就没有积分，我还是写一写吧！', '短评打分': 3}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '酒店很棒。离火车站坐公交也不远，不堵车的话挺快的。', '短评打分': 5}
{'短评内容': '前台服务人员，极其的不近人情。朋友出差，帮他订的房间。只是想帮忙提点行李上去，因为没带身份证，只有医保卡，竟然上去几分钟都不让。', '短评打分': 2}
{'短评内容': '一般般，走楼梯', '短评打分': 4}
{'短评内容': '就是小了点…', '短评打分': 4}
{'短评内容': '整体感觉满意', '短评打分': 5}
{'短评内容': '价钱没得说，很划算，房间不大不过一般住还可以，就是毛巾破得不像样子，花洒出水不好，再有就是离地铁站有点儿远，差不多两公里。其他都还好。', '短评打分': 4}
{'短评内容': '五臟雖小麻雀俱全', '短评打分': 3}
{'短评内容': '订的好像是公共卫浴的，入住时没房了住的是带卫浴的，不像上次住的海友厕所用布隔开而且正对着床，还有玻璃门。走十多分钟就能到陈家祠地铁口。', '短评打分': 5}
{'短评内容': '空调对头吹被子极其的薄.........睡的很不舒服~但是周围都是好吃的!传统小吃那种!巨便宜正宗!!!', '短评打分': 4}
{'短评内容': '我十分喜欢这个酒店', '短评打分': 5}
{'短评内容': '房间很小，公共卫浴其实也没有多大关系。', '短评打分': 5}
{'短评内容': '酒店很好，一楼可以免费上网，二楼有休闲娱乐的地方。房间比较小，但是住一两晚也可以了。价钱再低一点就好了。', '短评打分': 5}
{'短评内容': '很小。很小。很小。交通也一般般。不过穿过巷子你可以找到“林老太点心传奇”那家店。还有宵夜的摊子。不错。', '短评打分': 1}
{'短评内容': '房间很小，但是各方面都很细致，除了卫生间有些脏，可能清洁人员在休假吧', '短评打分': 5}
{'短评内容': '我订的是公共浴室的，到店后没有，给我转的特价房109元的，还是按89元收费，真的很不错，感觉讲诚信，住起来也很安心。下次还会住。', '短评打分': 5}
{'短评内容': '更像是大学宿舍的感觉，很适合年轻人入住^^', '短评打分': 5}
{'短评内容': ' 环境不错，简约风，推荐！', '短评打分': 3}
{'短评内容': '房间总体还是不错,干净,就是床小了一点', '短评打分': 3}
{'短评内容': '客栈距离地铁站1公里左右，从地铁站出来穿过一个地下商城就到西华路口。客栈后面的小梅大街上有很多小吃。附近有学校？早晨不时有喇叭声', '短评打分': 5}
{'短评内容': '这次住的是特价房（公共卫浴），房间很小，只有床、书桌和开门的一小块空间，但挺舒适的。不过没电视哦，空调就有的。公共卫浴的浴室、厕所、和洗手盆是分开的，这个比较好，基本不会挤着用的。就是有些人用了不讲卫生！不过清洁的姐姐每天都会来打扫公共卫浴~\n这次的房是靠马路的，真的很吵！晚上12点前被车吵死了，入夜后就好点~其他都还不错~\n建议人性化一点，能够不硬性规定12点必须退房就好了。。。不过前台有提供0', '短评打分': 5}
{'短评内容': '房间很小，还是比较温馨的，四个房间公用一个卫生间和洗澡间，我没有遇到我需要用的时候有人的情况，还是不错的。而且服务态度很好，服务员都笑眯眯的。地理位置也还行，附近公交车还是比较多的，而且在老城区，离陈家祠也很近。最重要的是很便宜。。。', '短评打分': 5}
{'短评内容': '位置不错，就是房间不是很大，不过广州的酒店都是这样的，可以理解，值得推荐', '短评打分': 5}
{'短评内容': '便宜舒适，离火车站不远，打的很方便，就是房间稍微小了一点', '短评打分': 5}
{'短评内容': '前台服务到位 就装修 味道不大好 交通便利 感觉总体不错', '短评打分': 5}
{'短评内容': '很舒服  楼下有电脑可以上网 有书可以看  有我喜欢的几米漫画  总之很喜欢    在广州应该是性价比极高的了 ', '短评打分': 5}
{'短评内容': '汉庭真是欺负人，周末涨价也就罢了，这周一是哪门子节日涨了20块钱\n如家7天可没见涨价，都不要关顾汉庭，他一下就老实了', '短评打分': 1}
{'短评内容': '很干净，房间内隔音窗密封不好，很吵；空调要检查一下，制热好像有问题。', '短评打分': 3}
{'短评内容': '虽然小小的，但很精致，墙壁上的小花另长长的走廊走起来不那么枯燥，接待人员的态度也很亲切。就是旁边的住户有养大型犬，晚上吠的让人睡不着，第二天去总台换到靠园区的，总算安静了。总之下次去广州还会去住，旁边的吃食很多，很爽。', '短评打分': 5}
{'短评内容': '酒店整体来说都很不错，员工们都很友善，下次还会入住！', '短评打分': 5}
{'短评内容': '很温馨。干净。有免费桌游、上网、桌球、电影。还有投币式洗衣机。门口就有公交车。交通比较方便。房间有点小', '短评打分': 5}
{'短评内容': '價格便宜,但性價比低.離地鐡站較遠,房間隔音差。有一點值得一贊的是,入住不用交按金,體現了對住客的信任,前台的服務態度也很好', '短评打分': 1}
{'短评内容': '房间比想象中的小  比汉庭快捷差很多  并且至今未返现  ~~~', '短评打分': 1}
{'短评内容': '见仁见智  感觉还好  回到72家房客的味道', '短评打分': 5}
{'短评内容': '房间不大，但是很干净整洁~店内公共区域的装潢是个亮点~~超喜欢暴力熊的橱窗啊~~好想买一只走的~哈哈~店员还是比较热情的，见面会说Hi~总之，这样年轻活力的酒店，推荐！', '短评打分': 5}
{'短评内容': '房间很小，真的非常小，对住要求高的人会觉得有点压抑，但好在价格便宜！', '短评打分': 5}
{'短评内容': '气氛不错，就是房间很小，大床房也是1.35M的床。', '短评打分': 5}
{'短评内容': '还不错，就是床小了点·还有最好不要把垃圾桶放在直饮水旁边~', '短评打分': 5}
{'短评内容': '很不错，大家应该去。卫生和环境还有价格都非常不错', '短评打分': 5}
{'短评内容': '还算可以，房间较小，不过一个人足够了，在羊城住这里交通方便，附近吃饭的地方也很多，住这里还能免费玩桌球。最后要说的是住这里需要自己带洗漱用品。', '短评打分': 5}
{'短评内容': '这家酒店连普通的招待所都不如~~~房间面积狭小不在话下啦，最可恶的是连基本的牙刷浴巾沐浴露都没有的。只是提供洗发水啥都没了~~~绝对没有下次。奉献各位不要住这间黑店', '短评打分': 1}
{'短评内容': '酒店位置不错，出行也方便，环境也挺好的,就是没有洗刷用具。', '短评打分': 5}
{'短评内容': '服务员态度很热情。老城区中心。\n美中不足房间内异味太大了，不是一般的大。希望能改进下。', '短评打分': 5}
{'短评内容': '   客栈卫生、舒适，卫浴热水给力！\n    前台工作人员很热情，楼层服务人员态度很好。\n    客房：迷你，但干净、温馨。房内没有座机，不提供热水壶，需自行到楼层入口处自自动热水机打水。卫浴间没有门，用浴帘遮掩；不提供一次性用品，如未自带，可到一楼前台或自动售货机处购买。\n    娱乐休闲：一楼入门右手边是公共上网区，有十台电脑，网速未知（没用过）。二楼有休闲区，可以和朋友一起喝茶聊天打球。客房', '短评打分': 5}
{'短评内容': '很喜欢这样的酒店。工作人员很帮！性价比很高，地段非常棒！不过空调刚开一段时间有点臭袜子味，开一会就好了。小问题！总体很好！', '短评打分': 5}
{'短评内容': '最近这家酒店涨价了！原来的特价房订不到，现在这个价格性价比就没那么高了！', '短评打分': 5}
{'短评内容': '酒店虽然小，但干净，下次还住。', '短评打分': 3}
{'短评内容': '环境不错，很温馨，交通方便，饮食也方便，就是没有洗漱用品，这个不好。而且，连续住的不打扫卫生的。', '短评打分': 5}
{'短评内容': '很迷你很狭窄哦，可以选择为落脚处，还挺干净的,有空调，汉庭不会错到哪里去啦', '短评打分': 5}
{'短评内容': '＋环境不错。没有洗漱用品，地方比较小。最主要的是比较温馨', '短评打分': 3}
