{'短评内容': '房间很干净，简约风格。就是睡一宿觉的完全可以考虑住这里。地理环境很好，早餐稍微有点简单。有直饮水设备，这个值得点赞。最关键的是便宜，性价比很高。', '短评打分': 4}
{'短评内容': '酒店还还可以 只是床单和被子上有些脏 不知道是不是没有清洗 希望下次注意 地理位置不错 下楼就能到购物中心', '短评打分': 5}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '很好方便', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '环境不错，服务态度好，房间干净舒适', '短评打分': 5}
{'短评内容': '还行，服务挺好，给前台打电话总是非常快的完成', '短评打分': 5}
{'短评内容': '环境还算干净，也很安静。', '短评打分': 5}
{'短评内容': '每次外出都住如家，环境好', '短评打分': 5}
{'短评内容': '总体评价还行', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '环境很不错。', '短评打分': 5}
{'短评内容': '条件不好，感觉像是小旅馆，服务特别差', '短评打分': 2}
{'短评内容': '非常好，', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '离汽车站还是比较远的，需打车，步行要10多分钟。', '短评打分': 1}
