{'短评内容': '老板很热情，服务态度很好，很愉快的一次旅行', '短评打分': 5}
{'短评内容': '房间不错，很干净，24小时热水，老板人很好，又续住了两天，小吃，酒吧都方便', '短评打分': 5}
{'短评内容': '客栈老板很热情，给我们安排了实惠的泸沽湖之行，还给定了千古情的门票，都很便宜。谢谢客栈老板。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '老板娘非常客气。热心，环境，地理位置很不错。下次一定还会来住', '短评打分': 5}
{'短评内容': '非常不错哦！客栈老板很热情，在丽江出游，有了客栈老板的建议，吃饭了很多地道美食，出游也有很多优惠价！客栈干净，整洁！地理位置也十分便利！满分满分！', '短评打分': 5}
{'短评内容': '老板很热情，还帮我们联系香格里拉的散团。。  位置出门30米就是小石桥。', '短评打分': 5}
{'短评内容': '住的特价房，没有空调，有电热毯，老板很热情，帮提行李，位置不错，一过大石桥就到，晚上11点前有一点吵。不过很方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好的，父母觉得可以', '短评打分': 4}
{'短评内容': '客栈阿姨人很好，房间也舒适～值得推荐', '短评打分': 5}
{'短评内容': '很好 房间很温馨，挺不错的。卫生很好，地段很好。离四方街很近！特别推荐！', '短评打分': 5}
{'短评内容': '房间干净卫生，老板也挺好的。住的挺值钱的，院子不错。我们也是开客栈的，值得我们学习。', '短评打分': 5}
{'短评内容': '环境舒适，老板人也很好！房间干净卫生～住在这儿挺放心的～挺开心！感觉很喜欢这里下次还来…', '短评打分': 5}
{'短评内容': '离四方街很近，喜欢', '短评打分': 5}
{'短评内容': '生意实诚 服务蛮好 挺不错的', '短评打分': 5}
{'短评内容': '房间卫生整齐，有点小，环境一般，偏贵。。', '短评打分': 1}
{'短评内容': '很普通的客栈，说实话不值288元一晚，想到是过年还勉强接受，两个人去会比较划算', '短评打分': 3}
