{'短评内容': '酒店很不错', '短评打分': 5}
{'短评内容': '酒店很不错', '短评打分': 5}
{'短评内容': '很不错很不错', '短评打分': 5}
{'短评内容': '酒店很不错', '短评打分': 5}
{'短评内容': '性价比高哈', '短评打分': 5}
{'短评内容': '给老妈定的', '短评打分': 4}
{'短评内容': '给老妈定的', '短评打分': 4}
{'短评内容': '卫生状况Ok', '短评打分': 4}
{'短评内容': '卫生状况Ok', '短评打分': 4}
{'短评内容': '卫生状况Ok', '短评打分': 4}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '外面店招和携程店如不符，仅门头LED显示华民字样，不好找，周边吃的东西多，酒店陈设略旧，卫生尚可。这个价格还是很值的。', '短评打分': 4}
{'短评内容': '代人预订', '短评打分': 5}
{'短评内容': '常住，交通方便，其他将就', '短评打分': 3}
{'短评内容': '环境比较差，位置还可以，价格有点高。', '短评打分': 2}
{'短评内容': '酒店位置不太难找，宽带网速给力，也算干净，房间也够大，唯一的一个椅子还算舒服，饮用水、零食、方便面甚至套套神油全部都有，就是要付费的，这个算正常，但是没有牙膏牙刷，楼下环境相对杂了一些，门口是两个大排档还有一些小店，脏乱了一点点。', '短评打分': 4}
{'短评内容': '已经入住，酒店环境不错，周边吃饭挺方便，交通也很发达，对面是居民楼，距离还挺近，自己多注意。房间挺干净的，豪华间配电脑，就是这个网速太慢太慢太慢了，网页都打不开。对了，三层式酒吧KTV，尽量住高一点的房间，否则夜里会吵。提醒酒店注意夜里喝多了的客人，别让随意在走廊吵，影响休息。', '短评打分': 5}
{'短评内容': '很不错的软件！', '短评打分': 3}
{'短评内容': '环境什么的都可以，就是楼下的ktv太吵啦~严重影响睡眠了~', '短评打分': 5}
{'短评内容': '酒店很干净，交通方便，价格实惠，有阳台但不能出去，旁边在建房子，有点小吵，大体都很不错，但房间里牙刷牙膏和水都要钱买，这点可不人性化哦。', '短评打分': 5}
{'短评内容': '地方整洁，员工服务态度好，只是停车不方便。', '短评打分': 3}
{'短评内容': '酒店交通方便，已经是我第3次如住，价格合理，尽管房间设施一般，但是总体来说值得推荐。建议增加早餐，虽然该酒店附近有早餐的地方很多，但是还是有些不方便。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '该酒店确实不错，干净、卫生，价格适中，下次来深圳还会考虑入住。', '短评打分': 3}
{'短评内容': '照片和实际房间不符。定的是豪华间，我进去看，结果是标间。', '短评打分': 5}
{'短评内容': '还可以 交通便利 设施一般 服务态度还不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '房间卫生，环境还行，安全，服务生态度好，让人很感到回家的感觉', '短评打分': 3}
{'短评内容': '感觉不错，干净舒服，唯一不足空调外机吵声音大', '短评打分': 3}
{'短评内容': '交通方便，房间较新，服务比较好。\n就是晚上有点吵。', '短评打分': 5}
{'短评内容': '宾馆感觉不错，干净，也挺安静的，淋浴水量特别大', '短评打分': 3}
{'短评内容': '服务态度还好，卫生做得挺到位，从地面到床上用品都挺干净的。这点挺满意。', '短评打分': 5}
{'短评内容': '位置挺好，出行挺方便，卫生服务也不错，就是设施有些陈旧。但总体感觉还不错。', '短评打分': 3}
{'短评内容': '干净卫生，出行方便，价格也不贵，值得推荐。', '短评打分': 5}
{'短评内容': '房间布置的挺合理，以白色为主，感觉挺干净清爽，设施还好，住的还算舒适。', '短评打分': 3}
{'短评内容': '价格还算实惠，房间很整洁，采光通风也挺好，住的挺舒适。', '短评打分': 3}
{'短评内容': '环境还不错，挺干净卫生的，设施基本齐全，位置挺好，周边交通购物挺方便。', '短评打分': 5}
{'短评内容': '酒店还不错，服务质量挺好，卫生和设施也不错，隔音也挺好，住的挺舒适。', '短评打分': 5}
{'短评内容': '房间宽敞明亮，床铺也很干净舒适，服务也不错，总体感觉挺温馨挺舒适。', '短评打分': 5}
{'短评内容': '房间挺大的，床也挺大挺舒适，电视机有点老旧，网速还不错，使用挺方便。', '短评打分': 3}
{'短评内容': '服务态度挺好的，房间大小正好，设施有些陈旧，位置挺好，出行挺方便。', '短评打分': 3}
