{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '周边环境不错，出行也方便！酒店有年头了，设施有些老旧，停车场够大。酒店服务还算到位，配套餐饮停业，不提供早餐！出差办事暂住还行吧！', '短评打分': 5}
{'短评内容': '酒店环境很不错，有停车位，还可以在附近散步。', '短评打分': 5}
{'短评内容': '停车场足够大！', '短评打分': 4}
{'短评内容': '位置地处繁华地带，酒店外边还有观景湖，目前还没整好，靠近仙女山，档次应该挺高的，美中不足的是酒店暂时不能提供早餐。', '短评打分': 5}
{'短评内容': '还不错的酒店，停车方便，安静，早餐尚可，性价比很高！', '短评打分': 5}
{'短评内容': '非常不错的酒店，性价比高。很安静，停车方便，早餐也不错适合差旅！', '短评打分': 5}
{'短评内容': '非常好的酒店，性价比高。很安静，停车方便，早餐也不错适合差旅！', '短评打分': 5}
{'短评内容': '非常不错的酒店，性价比高。很安静，停车方便，早餐也不错适合差旅！', '短评打分': 5}
{'短评内容': '酒店还可以，毕竟县级市，经济也不景气。', '短评打分': 5}
{'短评内容': '挺不错的，下次应该还会去', '短评打分': 5}
{'短评内容': '酒店设施比较旧，服务态度还行，价格不贵。', '短评打分': 3}
{'短评内容': '还行！！！！！！', '短评打分': 5}
{'短评内容': '老酒店了，环境一般，早餐很简单，和星级不匹配', '短评打分': 3}
{'短评内容': '卫生条件差，枕套被套都很脏，卫生间也是', '短评打分': 2}
{'短评内容': '环境比较好，清静，基础设施该换一下了，挂毛巾的不锈钢架子都点点斑锈了', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '比较残旧，性价比低……', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '环境不错，有湖，就是有点偏,住宿在背街，服务还可以', '短评打分': 5}
{'短评内容': '位置比较幽静，但周围吃饭的地方较少，晚上想买点水果得去较远的地方，临西湖大道，貌似近几年修的，路两边还不是很繁华，打车不是很方便，需要等好一会才能打到，客房比较干净，热水非常好，这个要赞一下！', '短评打分': 5}
{'短评内容': '总体可以，卫生条件也行，服务态度较好，建议能用抵扣券。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '环境还是可以的，房间也很大，服务态度可以的，卫生条件还是可以的，早餐比较一般，美中不足的是抵用券不能用。', '短评打分': 5}
{'短评内容': '  碧海蓝天并不是所说的四星酒店，房间有老鼠，蚊子，水壶漏水', '短评打分': 3}
{'短评内容': '服务态度很一般，硬件条件也一般。', '短评打分': 3}
{'短评内容': '\r\n感觉隔音效果不怎么样，还有浴室太小，玻璃隔不住水！', '短评打分': 3}
{'短评内容': '服务很热情，卫生也很到位，床单被子弄的都很干净，用的很放心。', '短评打分': 5}
{'短评内容': '房间很干净，隔音效果也挺好，住的很舒适。', '短评打分': 5}
{'短评内容': '前台服务挺好，办事效率挺快的，态度也不错，这点很满意。', '短评打分': 5}
{'短评内容': '房间挺干净，光线也很好，也挺安静，休息的很好。', '短评打分': 5}
{'短评内容': '位置挺好，周边交通挺便利的，有自己的停车场，停车也挺方便。', '短评打分': 5}
{'短评内容': '酒店挺不错，配套设施挺齐全，桑拿、KTV都有，房间也挺干净，设施也还行，住的蛮舒心的。', '短评打分': 5}
{'短评内容': '卫生不好，房间里还有老鼠，设施陈旧，服务一般，价格高，下次不会住了。', '短评打分': 1}
{'短评内容': '设施有些陈旧.位置不错挺方便出行.就是服务有些不太周到，我个人认为服务是最主要的，所以我不太喜欢这家酒店.', '短评打分': 1}
