{'短评内容': '还行  不错，会员比团购便宜，网速也不错，整体满意，缺少肥皂', '短评打分': 4}
{'短评内容': '奇吵无比', '短评打分': 3}
{'短评内容': '酒店性价比很高，离威高广场很近，晚上出门就是夜市', '短评打分': 5}
{'短评内容': '房间屋味挺大的', '短评打分': 2}
{'短评内容': '在市中心，对面就有停车场过夜才3元很方便，平时才1元每小时，附近吃饭逛街去景点都很方便，酒店还代订一日游，我自己开车去的就没报酒店的一日游自己在网上买景点票也很方便', '短评打分': 5}
{'短评内容': '质量杠杆滴，下次还来，值得购买', '短评打分': 5}
{'短评内容': '出差到这里经常住在这里，距离码头很近，外面就是夜市，人不少，很繁华，靠近大龄院，非常不错哦，喜欢这个', '短评打分': 4}
{'短评内容': '不错，买东西很方便，楼下有夜市，有个新疆烧烤，三元一串，绝对纯羊肉，味道很好！', '短评打分': 5}
{'短评内容': '不错的酒店，不错的选择', '短评打分': 5}
{'短评内容': '不错，离夜市近，', '短评打分': 5}
{'短评内容': '地点就在市中心，百货大楼对面，出门就是夜市，周围都是商场，坐机场大巴需要走5分钟，在威海卫大厦门口坐。住的四楼，很安静，因为窗户是冲着侧面，没有冲着街道。房间很宽敞，挺好的。', '短评打分': 5}
{'短评内容': '樓下就是夜市，出行方便 wifi一般般 房間很大，值得入住', '短评打分': 5}
{'短评内容': '挺干净的，隔音效果不好，服务态度很好', '短评打分': 5}
{'短评内容': '房间环境还可以，不足之处就是房内空调换成了暖气，洗完澡有些冷！！！', '短评打分': 5}
{'短评内容': '房间暖气很足，离夜市很近，很方便，好评。', '短评打分': 5}
{'短评内容': '406，房间还可以，', '短评打分': 5}
{'短评内容': '位置不错，但是空调不怎么样，要很久才会凉，洗澡水流很小，总体来说一般', '短评打分': 3}
{'短评内容': '房间很好，下次还去', '短评打分': 3}
