{'短评内容': '不错的客栈', '短评打分': 4}
{'短评内容': '房间很干净！就是有点吵！', '短评打分': 4}
{'短评内容': '酒店位于古镇内，位置很好的客栈。老板态度很好。值得住。', '短评打分': 4}
{'短评内容': '没早餐，加不了床，房间小，但开窗就是美景', '短评打分': 5}
{'短评内容': '睡在床上很氧', '短评打分': 4}
{'短评内容': '安静，床上有沙子样的颗粒物，淋浴头是坏的，服务员很快来换了，装修有特色', '短评打分': 4}
{'短评内容': '酒店离市区比较远，环境还可以，设施比较简陋，服务一般', '短评打分': 4}
{'短评内容': '酒店离市区比较远，环境还可以，设施比较简陋，服务一般', '短评打分': 4}
{'短评内容': '还行吧…就是晚上蚊子太多', '短评打分': 3}
{'短评内容': '特色客栈 好评', '短评打分': 5}
{'短评内容': '价格一般的，在官渡古镇里面。但是周围很安逸。喜欢安静的朋友可以来', '短评打分': 4}
{'短评内容': '    酒店所处昆明其中一个旅游区＿＿官渡古镇，吃住行非常方便，酒店房费有点点小贵，不过周边超市，饭店全都拥有，比较方便', '短评打分': 5}
{'短评内容': '感觉还算一般，隔音效果不好，房间有异味！早餐没啥东西吃的！', '短评打分': 1}
{'短评内容': '因为和介绍十分之不符，内里的空间不大，只有介绍所说的一半而已。隔音效果不好。而且刚好入睡的时候已经很晚了，加上有团队入住，很吵，清晨也给那些团队的起早给吵醒了，吃的早餐也不怎么样，只能一个字“差”来评价。', '短评打分': 1}
{'短评内容': '酒店环境不错  就是单间小了点 有点压抑', '短评打分': 5}
{'短评内容': '环境很不错  还是2点退房的  服务态度也超好 感觉到少数名族的那种纯朴', '短评打分': 5}
{'短评内容': '跃层的大床房，很不错哟，在古镇里面，早上起来还可以逛逛，真不错1', '短评打分': 5}
{'短评内容': '在古城里面，规模还可以，也感觉很温馨，价可优惠，前台人也很好，还帮我速递东西。', '短评打分': 5}
{'短评内容': '酒店位于古镇的中心位置，不难找。房间还算新，就是洗澡水忽冷忽热，洗的不太舒服。早上的早餐品种还算丰富，很多绿叶蔬菜，美中不足的是加热的不够，吃的有点冷。总体来说性价比还可以。', '短评打分': 5}
{'短评内容': '订的是299元一晚的复式睡房，因为是新酒店，设施不是很完备，比如毛毯和转换插头都没有，完全达不到酒店的服务水平，服务员态度很差，早餐很简陋，咖啡都不配奶。 ', '短评打分': 1}
{'短评内容': '环境不错 房间太小 服务员似乎都是农村的 不能刷卡 bs', '短评打分': 3}
{'短评内容': '环境不错 就是太吵吵嚷嚷了', '短评打分': 3}
{'短评内容': ' 地理位置不错，内部环境比较别致，周边环境很热闹，但是内部管理不行，服务不太周到，服务水平不行', '短评打分': 5}
{'短评内容': '环境不错，干净卫生，就在古镇里面，唯一的缺点就是房间隔音不太好，老是会被外面吵到', '短评打分': 5}
{'短评内容': '缺点 - 房间小，未放卫生纸，早餐太差，晚上九，十点多较吵。地理位置标示不明，对于外地人来说实在难找。周边环境差。\n优点 - 干净，被枕较舒适，十二点后非常安静，前台服务态度不错。\n', '短评打分': 1}
{'短评内容': '酒店就在古城里，环境挺不错的。酒店虽然自己没餐厅，但对面就有一家花园餐厅，味道还不错。晚上去逛古城也很方便。性价比也挺好。就是交通不大方便，如果自己驾车还行，打车就不方便了。', '短评打分': 5}
{'短评内容': '位置非常好，在官渡古镇，古色古香，交通还可以，不是太方便。早餐不错的。但是细微之处做的不足，电脑桌处没有椅子，房间没有放网线，房间装修粗糙', '短评打分': 5}
{'短评内容': '当时酒店没有我订的209的房间了，店里的人立即帮我免费升级到复式套房。非常漂亮，古色古香。酒店外的夜景非常好，有世外桃源的感觉。酒店刚开不久，家具用品都很新，美中不足的一点是装修味还没散尽', '短评打分': 5}
