{'短评内容': '挺好，不错，服务一直都特别周到', '短评打分': 5}
{'短评内容': '酒店服务很好，房间像个小套间，符合准5星级，价格也很合适，下回再去大同还会去该酒店', '短评打分': 5}
{'短评内容': '第二次入住了，因为好所以才来第二次。。高大上。。非常非常满意，性价比超高。。还会再来', '短评打分': 5}
{'短评内容': '房间很大，服务很好！', '短评打分': 5}
{'短评内容': '挺不错', '短评打分': 5}
{'短评内容': '房间很好，和原来一样，继续努力', '短评打分': 4}
{'短评内容': '夜晚入住，发现床铺上有杂物，明显没有整理床铺，做为一个高档酒店，发生这种事情，实在让人无语。', '短评打分': 3}
{'短评内容': '干净卫生，很好的酒店', '短评打分': 5}
{'短评内容': '房间很好', '短评打分': 4}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '王府至尊酒店性价比超高&amp;hellip;非常高大上&amp;hellip;绝对的物超所值&amp;hellip;京东订购更是实惠&amp;hellip;&amp;hellip;比在美团和携程还要优惠很多&amp;hellip;&amp;hellip;还送京东豆&amp;hellip;&amp;hellip;京东五星赞', '短评打分': 5}
{'短评内容': '酒店不错，安静，休息好。早餐好。就是人多等电梯要很久', '短评打分': 4}
{'短评内容': '很好很不错，下次再来一定还是去这里住', '短评打分': 5}
{'短评内容': '豪华，相当不错', '短评打分': 5}
{'短评内容': '超级好的五星级，也是太好了!套房啊！真心值了！太值了！', '短评打分': 5}
{'短评内容': '位置不错，家庭套房硬件设施很好，一家人正好，停车方便，服务态度好！', '短评打分': 5}
{'短评内容': '好好干好好好好好干好好，非常好，超级好，非常干净。态度好，热情。', '短评打分': 5}
{'短评内容': '酒店硬件很好，服务非常到位，特别是前台主管，服务非常贴心。', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '环境好服务好百姓价位贵族享受', '短评打分': 5}
{'短评内容': '性价比高经常在这里住', '短评打分': 5}
{'短评内容': '性价比高经常在这里住', '短评打分': 5}
{'短评内容': '房间不错，价格也便宜', '短评打分': 5}
{'短评内容': '整体感觉非常不错，性价比高，就是隔音效果太差，隔壁说话听得一清二楚，影响休息&amp;hellip;&amp;hellip;早餐很丰富', '短评打分': 5}
{'短评内容': '房间大地处闹市，吃饭，玩方便', '短评打分': 5}
{'短评内容': '京东钻石客户，很好，希望有更多优惠和服务', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '住了不下三次，确实很不错，朋友过来都住这，大同的酒店很便宜舒适，谢谢', '短评打分': 5}
{'短评内容': '很不错 环境好 前台服务好', '短评打分': 5}
{'短评内容': '前台服务态度很好，房间环境很棒，在大同算是很好的，以后还回来的。', '短评打分': 5}
{'短评内容': '不错的酒店，有家的感觉', '短评打分': 5}
{'短评内容': '环境非常好，房间舒适！前台人员服务态度超好！下次还住这！', '短评打分': 5}
{'短评内容': '性价比超高的酒店！', '短评打分': 5}
{'短评内容': '酒店不错，挺好的！', '短评打分': 5}
{'短评内容': '挺好一直都住这里', '短评打分': 5}
{'短评内容': '非常好的酒店。', '短评打分': 5}
{'短评内容': '非常好的酒店。', '短评打分': 5}
{'短评内容': '环境好，床铺舒适', '短评打分': 5}
{'短评内容': '下次还住这里', '短评打分': 5}
{'短评内容': '酒店相当豪华，早餐丰富，吃完后中餐都免了。而且不贵。遗憾忘了评价，快一年了。抱歉。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '半夜相关人员不要敲门了', '短评打分': 2}
{'短评内容': '半夜不要敲门了', '短评打分': 2}
{'短评内容': '服务很好  晚上电话不要太多 还半夜敲门', '短评打分': 2}
{'短评内容': '比较好的酒店。服务热情周到。', '短评打分': 4}
{'短评内容': '酒店很高档，服务也很不错。赞一个。', '短评打分': 5}
{'短评内容': '旅游路过，酒店非常好，干净，服务也不错，房间非常大，性价比高，以后去了大同还会选择这里》早餐偏西餐，希望能够改进，增加本地的一些特色，羊杂汤之类的，弄些可口的炒菜之类的，牛奶要么去掉，或者改成鲜奶，喝的时候感觉到了奶粉的味道', '短评打分': 5}
{'短评内容': '酒店环境不错！', '短评打分': 3}
{'短评内容': '酒店很好，干净大气。套房房间设计合理，非常适合一家三口入住。', '短评打分': 5}
{'短评内容': '大同王府至尊酒店客房环境好，面积大，设施好，酒店早餐好，客房价格也便宜。', '短评打分': 3}
{'短评内容': '绝对值得入住的酒店，服务设施都一流，服务员很细心，本来打算住一晚，可是跨入房间的那一刻，太舒服了，连续住了3天，就是停车场还收费，不过不影响什么，快捷酒店的价格，星级的服务与享受，推荐', '短评打分': 5}
{'短评内容': '超值的感觉，绝对的五星级，这个价格太值得了，推荐！', '短评打分': 5}
{'短评内容': '中式风格,很不错，还送水果。', '短评打分': 3}
{'短评内容': '性价比很高', '短评打分': 3}
{'短评内容': '非常好！各方面都好，基本无懈可击。就是院子小，这也是没办法了。尤其是服务人员素质很高，待人彬彬有礼。本人特对行政楼层经理杨秀清表示敬意！', '短评打分': 5}
{'短评内容': '各方面都很好，性价比非常不错，位置好，到哪里开车都很方面，服务也很不错。不过提点建议：我预订的是休闲套间，不知道为什么有一个屋是个1米的单人床，并不是图片显示的两个房间都是双人床，幸亏是一家三口，否则去四个人还真就不知道怎么住了。还有，五一期间大同较热，中央空调只给的是自然风，晚上睡觉较热，尤其是单人床那个屋，没有窗户，如果关门的话睡觉很难受，希望能加以改进。', '短评打分': 5}
{'短评内容': '非常豪华的酒店，我觉得比一般五星级还要更好，房间里有浴池，有淋浴，还有个隔开的小会客厅，早餐极其丰盛，服务员都很好，很贴心，非常非常满意！', '短评打分': 5}
{'短评内容': '个人觉得还不错，酒店有个规定四点钟入住，到第二天的中午十二点，算一天。\n我们凌晨三点到的大同，四点钟入住，省了半天的房费。\n设施还可以，缺点是离清远西街，华严寺有点远，打车要10块钱到清远西街。\n虽然说是五星级标准，但是住惯北上广深的五星级饭店的同学们，不要期望那么高，王府至尊感觉就是四星。\n早餐还不错，五星早餐吧', '短评打分': 5}
{'短评内容': '酒店非常好，房间大，设施好。早餐很好，菜品丰富。', '短评打分': 5}
{'短评内容': '早上老人带孩子吃的早餐 结账时孩子收的全价 回来时聊天得知一米四收全价 可我的孩子才一米三六呀 可我们已离店了 被多收了几十元钱 心里有点不舒服', '短评打分': 3}
{'短评内容': '非常满意，大大超出了我们的预期。酒店开业才1年，硬件很到位，工作人员服务态度很好，出现了小问题也能及时纠正。更值得一提的是早餐，品种丰富，搭配合理，让人有惊喜的感觉。我们一行4人，有老有少，对这家酒店异口同声的称赞。说实话，这是我住过的最好、性价比最高的酒店了，呵呵。。大力推荐！', '短评打分': 5}
{'短评内容': '住进来两天了，都没能洗上澡！！好无奈呀!一天是水太烫没法调后来又换个房，好么！说是管坏了全没热水！', '短评打分': 3}
{'短评内容': '酒店设施服务均隹.本客非常满意', '短评打分': 3}
{'短评内容': '环境不错，酒店的东西看着也卫生，毕竟是新开的酒店', '短评打分': 5}
{'短评内容': '酒店很给力 干净 漂亮 餐厅食物丰富 便宜 ', '短评打分': 3}
{'短评内容': '酒店挺好的。', '短评打分': 3}
{'短评内容': '不错的酒店，值得再次入住。', '短评打分': 3}
{'短评内容': '没的说一流的设备一流的服务一流的餐饮...................................', '短评打分': 5}
{'短评内容': '酒店5星级的，服务一流，餐饮一流，特别是大堂经理非常热情周到，非常好', '短评打分': 5}
{'短评内容': '五星级建筑的酒店，环境不错，房间面积很大，服务好', '短评打分': 5}
{'短评内容': '   刚刚开业的酒店。好的就不说了，档次比较高可，看得出财大气粗。并且到店后还给免费升级为套房，送了果盘，报纸。\n   但也有些问题不得不提。1.隔音交差，居然半夜三点被吵醒；2.一些设施设计不太人性化，还需要改进，比如：主卧的网线接口处居然没有电源插座；拔掉房卡后，居然电视机还能照样开着；地下停车场管理混乱，停车过程没人管。\n   总体上说，下次还会入驻，但期待能够正式开业后以上问题能够得到改进', '短评打分': 5}
{'短评内容': '已是第二次入住该酒店。床、被子很舒服，早餐也不错，性价比高。', '短评打分': 5}
{'短评内容': '休闲套间很适合家庭旅行，一进门是个客厅，里面2个卧室都是大床。父母睡得很舒服，对酒店赞不绝口。下次来大同，我还住这！', '短评打分': 5}
{'短评内容': '酒店非常不错 有5星标准 酒店很新 床非常柔和 早餐很不错 东西很全 ', '短评打分': 5}
{'短评内容': '住宿条件很好，酒店的饭菜价格便宜很好吃，性价比很高，推荐', '短评打分': 5}
{'短评内容': '价格便宜，住宿环境非常好，很值，饭菜质量也很好，性价比超高', '短评打分': 5}
{'短评内容': '该酒店真的不错，装修雅致。很干净，设备的品质不错。澡水非常的好。饭菜口味上乘，微贵。服务员态度蛮好。只要去大同，就是这家。不足之处，停车极其不方便。不开车去的朋友无此烦恼。', '短评打分': 5}
{'短评内容': '非常不错的酒店！五星有点牵强，但是四星还是可以的！\n酒店非常的大，大堂也很豪华，地理位置，交通都很方便，早餐也比较丰富！\n还是有几点不足的：\n1、前台办理入住的时候比较慢，明显业务不熟练\n2、招商银行的信用卡居然不能刷预授权\n总之性价比还是不错的，下次来大同还会选择的，希望不足之处能改进', '短评打分': 5}
{'短评内容': '在大同来说，这家酒店，设施一流，服务到位，交通方便，可惜没有游泳池，还是值得推荐，性价比高。', '短评打分': 5}
