{'短评内容': '挺好的，就是屋子小了点，没有免费的矿泉水，地方安静，住了俩晚', '短评打分': 5}
{'短评内容': '很棒，干净卫生。便利', '短评打分': 5}
{'短评内容': 'goodgoodgood棒棒棒', '短评打分': 5}
{'短评内容': '空调声音超级大超级大', '短评打分': 4}
{'短评内容': '地理位置离中街挺近的步行就能到，环境也很好。', '短评打分': 5}
{'短评内容': '挺干净的，舒服，离中街距离也还可以，但是没有沈阳站附近那个新', '短评打分': 5}
{'短评内容': '很好很舒适！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好很舒服！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好的酒店！', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '挺好的！', '短评打分': 5}
{'短评内容': '习惯好评。给京东。', '短评打分': 5}
{'短评内容': '好！很好！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间真是特别特别小，作为一个瘦子床前面只能侧着过去，被子不是非常干净，整体位置和环境还行。从酒店到中央大街大概不到10分钟，早餐真的没一样好吃', '短评打分': 4}
{'短评内容': '房间非常干净，服务也很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不干净 毛巾没清理干净 墙皮都脱落了！不能住', '短评打分': 1}
{'短评内容': '电视不好使', '短评打分': 3}
{'短评内容': '服务还行房间太小', '短评打分': 4}
{'短评内容': '一般的酒店，还可以吧，如果不好我会差评的', '短评打分': 4}
{'短评内容': ' 位置不错，离中街步行街，酒店出来右手不需要拐弯直接走就到。床也很大，有吹风机，唯一不足就是房间实在太小了，我是一个人住，要是2个人住，这么小的房间不建议住。', '短评打分': 5}
{'短评内容': '地理位置优越，好找，环境也不错。', '短评打分': 5}
