{'短评内容': '酒店较老', '短评打分': 4}
{'短评内容': '酒店环境不错，房间里有一大一小两个床，可以供一家三口居住。距离极地海洋世界很近，房间是从网上订的，价格也不贵，家具都是老的实木家具，有一种古色古香的感觉。唯一不足就是大床少个腿儿，不过被我克服了，哈哈。整体评价：不错！勤俭节约的军队作风，我喜欢！', '短评打分': 3}
{'短评内容': '硬件设施了太老旧了，卫生不是一般的差，连一次性的拖鞋都没有，非常糟糕的一次住宿体验。', '短评打分': 1}
{'短评内容': '旅游旺季能有这样的宾馆也算是物超所值了', '短评打分': 5}
{'短评内容': '服务态度很好，就是房间比较简陋，临时订的，说了好半天才同意', '短评打分': 3}
{'短评内容': '安静 服务态度好  价格合理 赞', '短评打分': 3}
{'短评内容': '上当了，这也就是一普通的招待所，太不值400多大洋了。', '短评打分': 2}
{'短评内容': '位置好，卧室能看到山上的祥云，空气真好。南边两个路口就是海边，距离石老人海水浴场也很近。真可谓：北上浮山祥云笼罩，南下海水浴场冲浪。    需要改进的就是早餐花样再多些，可以多加点钱啊!目前上网已经是很方便了。值得推荐！', '短评打分': 4}
{'短评内容': '1、位置太偏僻，的士遗忘区；\n2、酒店设备陈旧；\n3、不提供发票，承诺给寄发票，而且10多天后我电话催了，现一个月了都没收到发票。', '短评打分': 1}
{'短评内容': '早餐有点简单，套房竟然只有一个电视，一家子在外面住看起来不方便但房间还算大，不过价格又不便宜只能说性价比不高', '短评打分': 3}
{'短评内容': '酒店环境不错，价位也不高。', '短评打分': 3}
{'短评内容': '位置很差， 打车要走很远。 \n酒店内没有冰箱，矿泉水， 还不如 如家。', '短评打分': 1}
{'短评内容': '不是很好，偏远就算了，房间特别小，而且厕所很脏，还不是一直提供热水', '短评打分': 1}
{'短评内容': '比较难找，早餐一般。服务还可以，卫生条件一般。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '位置比较方便，离极地海洋世界只有不到1公里！条件一般！', '短评打分': 5}
{'短评内容': '住宿条件很好，服务也很好，只是太不好找，在半山腰，打车不方便，要走很长路，建议在酒店说明中说明。', '短评打分': 3}
{'短评内容': '只有五楼的房间了，锁坏掉，窗户坏掉，还好是五楼，对于外地游客不太好找，位置还可以', '短评打分': 3}
{'短评内容': '酒店离香港东路有点远，交通有些不便，但是住宿条件还可以！', '短评打分': 3}
