{'短评内容': '特别好', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '还好，浴室地滑', '短评打分': 4}
{'短评内容': '房间太小，房间宽度，刚好能放两张单人床，中间仅能走一人，做标准的单人间合适。黄金周期间价格是平时的3倍以上，3晚上630多（5号300多，6号200多，7号100多），过了黄金周才81元/天。绝对暴利。', '短评打分': 3}
{'短评内容': '酒店环境一帮，厕所味道太大，设备陈旧，服务一般！', '短评打分': 4}
{'短评内容': '好评！！！！！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很干净，而且比较方便。门口不是很好停车，房间的性价比很高，热水器很舒服，空调效果很好。房间后面有窗户，稍微有点吵', '短评打分': 3}
{'短评内容': '因为家人住院所以在这里看房休息，环境安静服务人员态度也好，设施一般吧，大床房a实在有些小，that is all.', '短评打分': 5}
{'短评内容': '安静、距海也近，', '短评打分': 5}
{'短评内容': '环境不错。', '短评打分': 4}
{'短评内容': '房间特别特别小，卫生可以。除了床就是卫生间，基本没什么可以动弹的地方。', '短评打分': 4}
{'短评内容': '值得推荐的酒店！32个赞', '短评打分': 5}
{'短评内容': '总体感觉还行吧，毕竟价位不高', '短评打分': 3}
{'短评内容': '还不错，价格不高', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '还可以，房间不大，基本满意！', '短评打分': 3}
{'短评内容': '这个时候能定个比较满意的宾馆不容易了，这个价位相对宾馆条件来说有点高了，但屋子比较干净，位置还好，离火车站不算远，没有早餐，空调不错。', '短评打分': 5}
{'短评内容': '酒店不错，交通很方便，价格合适，还是比较合适旅游住的', '短评打分': 5}
{'短评内容': '服务态度不错，卫生条件也还可以，就是房间小了点。酒店离火车站不远，出行较方便，徒步20多分钟可到栈桥，门口就有214路公交车到鲁迅公园、小青岛公园等景点。', '短评打分': 5}
{'短评内容': '服务态度不错，卫生条件也还可以。酒店离火车站不远，出行较方便，徒步20多分钟可到栈桥，门口就有214路公交车到鲁迅公园、小青岛公园等景点。', '短评打分': 5}
{'短评内容': '交通便利，在市里医院站赶车很方便，房间虽小但还各方面还不错。楼旁就有一家美达尔烤肉店。服务态度也好的。', '短评打分': 5}
{'短评内容': '酒店很干净，位置也不错，离火车站和景点儿都很近，出行挺方便的。服务也不错，除了房间小点儿，其他的都不错！', '短评打分': 5}
{'短评内容': '设施不齐，房间空间比较大，布置不合理，有一股很难闻的气味，价格比较贵。', '短评打分': 3}
{'短评内容': '很干净卫生，就是空间有点小。', '短评打分': 3}
{'短评内容': '酒店很卫生干净，地理位置位于旅游景点附近；就是房间太小了。', '短评打分': 5}
{'短评内容': '该酒店实际与描述一致，卫生条件不错，交通便利，服务挺好的。', '短评打分': 3}
{'短评内容': '空调不给力，床铺被褥很凉，晚上有些冷', '短评打分': 3}
{'短评内容': '服务很好！有档次', '短评打分': 3}
{'短评内容': '环境还可以，离市立医院挺近，冬天没有暖气，只有空调，网速不好，态度还可以！', '短评打分': 3}
{'短评内容': '房间有点小，不过还比较干净！插座设计的不合理，用笔记本很不方便！', '短评打分': 5}
{'短评内容': '对于我来讲，房间太小，其它都不错，被子不够白。', '短评打分': 1}
{'短评内容': '住的地儿虽然临街，但很安静的~~房间有点小，装修不是很久，布置不是很合理~~卫生间的卫生还可以。。。热水很足~~。住了三晚，每天打扫一般。。。床单被罩都没有给换过。。。过节期间有点小贵~~和实际当天房价差不太多，几十块钱~~ （不好意思，之前这个评价写错在青岛雅悦酒店上了，不让修改。雅悦酒店整体环境要比这个好，但也贵一点，房价也是和国庆实际挂牌价没差多少，而且雅悦不是在网上订的话还有商务大床房没窗', '短评打分': 5}
{'短评内容': '价格贵，房间小，卫生间不好用！！唯一优点就是在酒店旁边有一个24小时超市，方便需过早出行的游客吃早餐。', '短评打分': 1}
{'短评内容': '酒店环境不错，旁边有一个24小时便利店和药店，而且很安静，距离玩的地方也不远，房间内比较干净，最主要的就是青岛人好客啊，所以感觉非常好！', '短评打分': 5}
{'短评内容': '环境跟服务都还另人比较满意的，地理位置不错，出行比较方便。', '短评打分': 5}
{'短评内容': '不知道为什么那么多好评，288的商务大床房房间很小，严重不隔音，走廊里全是旅游团喧嚣的吵闹声！\n服务也很差，寄存箱子就给你扔隔壁的旅行社里，连卫生纸也舍不得给！\n第一天授权的两天房费，结果第二天去房卡还是耍不开，问前台就是很轻松地给你说他们忘了！！！！让人来回来去折腾！！', '短评打分': 1}
{'短评内容': '非常干净，卫生，服务人员态度热情，中间有个小花园，位置不错，坐车打车都方便', '短评打分': 5}
{'短评内容': '酒店很干净，而且服务人员非常热心，地理位置不错，房间虽然小，但是很干净，而且都是朝阳带窗。值得推荐', '短评打分': 5}
{'短评内容': '酒店位置不错，靠近市立医院，九中，干净，步行可以到即墨小商品批发市场，中山路等地，宾馆正门有214单行站，从鲁迅公园方向回宾馆的时候可以乘坐，出发时到市立医院门口乘车，崂山方向到市立医院对面坐301，乘务员会告诉你那一站下车换乘304或104，酒店位置临街略微有点吵，前台吹风机不限制归还时间，要是急用，建议自带，早点楼下有个小店有的卖，油条豆浆粥等等，晚饭可以步行道即墨路上，那边有水果摊点，还有吃', '短评打分': 5}
{'短评内容': '这家店不错值得推荐！从环境到服务态度没的说！', '短评打分': 3}
{'短评内容': '很不错，很干净，服务也很好，交通方便宜！总之下次一定还住这里！', '短评打分': 5}
{'短评内容': '酒店干净不错', '短评打分': 3}
{'短评内容': '距车站比较近，周围有点冷清。环境还不错。小店有的逛 大店只能打车.....', '短评打分': 5}
{'短评内容': '酒店服务不错，服务员态度周到，着装统一，客房卫生条件很好，打扫的很干净，住宿条件还可以', '短评打分': 3}
{'短评内容': '感觉蛮一般的酒店，酒店门口有公交车，出行方便，打车也不成问题，房间舒适度不错，住宿条件还可以', '短评打分': 3}
{'短评内容': '感觉比较一般的酒店，配套设施有些不太齐全，但酒店周边蛮繁华的，出行吃饭都很方便，房间卫生条件还可以比较干净，住宿条件一般般', '短评打分': 3}
{'短评内容': '酒店位置比较好，周边交通方便，酒店门口有公交车，打车也很方便，房间配套设施齐全，服务很热情', '短评打分': 5}
{'短评内容': '房间明亮宽敞，卫生条件好，服务周到热情。舒适度不错', '短评打分': 5}
{'短评内容': '是个经济型的酒店，性价比不错，酒店周边较繁华，靠近即墨路批发市场，买东西方便，房间住宿各方面都还可以', '短评打分': 3}
{'短评内容': '宾馆卫生条件不错，配套设施很齐全，服务员态度很友善，都会使用礼貌用语的，酒店周边小吃蛮多的，出行也很方便', '短评打分': 5}
{'短评内容': '房间采光很好，比较明亮，硬件设施齐全，房间价格合理，餐饮种类很多，房间舒适度还可以', '短评打分': 3}
{'短评内容': '酒店距离火车站较近，出门打车方便，酒店距离栈桥海边也很近，附近有很多海鲜餐馆，吃东西方便，酒店服务员服务很好，按时叫早，感觉很不错', '短评打分': 5}
{'短评内容': '环境很好，有个海底世界旅游景点，很不错，鱼类品种蛮多的，感觉很不错，酒店房间卫生很好，服务到位，住宿条件很不错', '短评打分': 5}
