{'短评内容': '简直了&hellip;不好。', '短评打分': 5}
{'短评内容': '房间小 没有提供梳子 不过离医院近 出行便捷 只要直行五百米就到华山 周边吃吃喝喝应有尽有 是比较实惠的 ', '短评打分': 4}
{'短评内容': '经济实惠，办事方便', '短评打分': 5}
{'短评内容': '还行吧，因为在医院附近', '短评打分': 5}
{'短评内容': '停车不方便，其他还行！', '短评打分': 5}
{'短评内容': '房间比较小，周边吃的东西很多！', '短评打分': 4}
{'短评内容': '一般般，一般般', '短评打分': 5}
{'短评内容': '很不错的，因为地理位置的关系，选择的这一家，住过三次的，都不错。好评。', '短评打分': 5}
{'短评内容': '这是什么服务啊，不懂，默认好评，酒店还是不错的。', '短评打分': 5}
{'短评内容': '京东快递很快，价格也实惠，商品多事正品，很赞@', '短评打分': 5}
{'短评内容': '一般搬，下次不住这家', '短评打分': 5}
{'短评内容': '房间很小，还算干净，卫生间不错，不好的一点是没有餐巾纸。', '短评打分': 4}
{'短评内容': '还挺干净整洁的，房间无异味，就是小了点，周围交通便利', '短评打分': 5}
{'短评内容': '房子小了点，但是交通还可以，在市中心，离地铁近，价格还可以。还好了，以后再说。哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 4}
{'短评内容': '环境差，房间小。窗户是很小的一个，根本不能称之为窗户。差评。', '短评打分': 2}
{'短评内容': '去复旦附属给女儿看眼睛，离医院很近，酒店附近吃饭挺方便', '短评打分': 5}
{'短评内容': '距离华山医院总院很近，附近应该是居民区，小超市、菜场都有，酒店卫生不错，要提醒的是目前没有电梯，如果有不想爬楼，可以尽量安排在二楼', '短评打分': 5}
{'短评内容': '差，早上6点服务员就来敲门，无语了', '短评打分': 4}
{'短评内容': '房间好小好小，环境一般…', '短评打分': 4}
{'短评内容': '过得去吧。', '短评打分': 4}
{'短评内容': '就普通的酒店', '短评打分': 5}
{'短评内容': '连网络都超差劲。。。无语啊！除了地理位置，没有一点让人满意的。。。', '短评打分': 3}
{'短评内容': '其实是汉庭。。。没梳子，没擦手纸。。。洗澡没鞋子。。。其他生活用品，反正基本基本的，多了，别想了。。。', '短评打分': 3}
{'短评内容': '只能说麻麻哋。。。不过谁叫他接近我要去的地方呢。。。所以。。。还行吧。。。', '短评打分': 4}
{'短评内容': '没啥感觉', '短评打分': 4}
