{'descr': '很好，不错。', 'star': 5}
{'descr': '还好吧', 'star': 3}
{'descr': '无法表达……', 'star': 5}
{'descr': '房间不错，就是有一间房子没有窗户……', 'star': 5}
{'descr': '标间挺大的，离解放碑步行街也很近……', 'star': 5}
{'descr': '环境太差', 'star': 3}
{'descr': '专修得不是太好还凑活吧', 'star': 4}
{'descr': '床要换了，睡着不舒服，房间的换气扇和空调噪音很大。酒店的周边环境不错距离步行街只有几步路。', 'star': 4}
{'descr': '酒店距离解放碑2分钟路程，下楼就是地铁口，出行很方便，前台服务也很热情，连做卫生的阿姨都非常热心，一定会推荐给朋友', 'star': 5}
{'descr': '首先要夸一夸酒店的位置。就在解放碑中心，国泰的背面，旁边就是王府井和国泰广场。酒店所在的赛格尔大厦正对轻轨临江门D出口，离出口直走10米不到的距离。离洪崖洞和长江索道都只有1公里左右的距离。出去无论是游玩还是吃美食还是购物都非常方便。而且酒店非常经济实惠，接待我们的前台很耐心，态度特别好。酒店的网络真的是太好了！我们家的百兆光纤都没这个快。下载东西速度最快能到5M/s。酒店的卫生也做的不错。每天都', 'star': 5}
{'descr': '挺好', 'star': 5}
{'descr': '半夜房间有?虫子爬到床上，吓死了', 'star': 3}
{'descr': '卫生有待提高，马桶坏的，毛巾不干净，态度还好，位置好找，房间都没有吹风，还得去前台借。窗户跟没有一样，很闷。隔音不好，隔壁的说话都可以听见。影响休息。', 'star': 5}
{'descr': '酒店位于解放碑附近，属于市中心，房间不错，性价比很高', 'star': 4}
{'descr': '挺干净的 服务也不错 就是携程返现的时候好麻烦', 'star': 5}
{'descr': '是一个圆床，这个价格不错了，位置也很方便', 'star': 4}
{'descr': '地理位置好 但是卫生条件一般般', 'star': 3}
{'descr': '房间很破烂，住了一天赶快换了宾馆。看见墙上镜子上各种脏东西，有种看恐怖片的感觉.', 'star': 3}
{'descr': '卫生间无防滑垫，卫生极差，房间里有长短不一的头发！房间很小，墙壁上黑色痕迹很多！坚决不推荐！', 'star': 3}
{'descr': '进去马桶是坏的 问经理 他说他们知道，知道还给我那个房间！换的房间还不如这个就没换。结果早上就听到装修声 睡也睡不好！厕所抽风机一开就有臭味！真郁闷！', 'star': 3}
{'descr': '帮朋友订的，因为实在没酒店可，据朋友说很旧。楼下5楼的翠云水煮鱼很棒', 'star': 3}
{'descr': '价格过高，不值', 'star': 3}
{'descr': '距离解放碑很近，就是有点吵，感觉有点陈旧了。', 'star': 5}
{'descr': '宾馆特别脏，环境差还特别吵，再也不会选择…', 'star': 3}
{'descr': '离市中心解放碑非常近，步行五分钟可以到达碑下。酒店环境还行，很对的起这个价格。', 'star': 5}
{'descr': '房间隔音效果不是很好 总体来说还是不错', 'star': 3}
{'descr': '这里的宾馆和九寨沟的宾馆相比，毫无疑问我选择这里！', 'star': 3}
{'descr': '环境很好，干净整洁，地理位置很好，价格适中，好评', 'star': 3}
{'descr': '因为是提前9天预定的，所以当天去宾馆把房间订给了别人，但是他们也主动承担责任，给我们也安排的很好。', 'star': 5}
{'descr': '位置不错，离解放碑很近，装修可以,易找，环境干净，符合性价比', 'star': 5}
{'descr': '环境一般，太吵。', 'star': 3}
{'descr': '干净,就是隔音不太好,', 'star': 3}
{'descr': '干净、卫生、舒适，离商业区又特近，我会向我的朋友们和同事们推荐这家酒店的。', 'star': 5}
{'descr': '交通方便，周围环境不错，但房间小了。', 'star': 3}
{'descr': '谢谢！', 'star': 3}
{'descr': '离解放碑商圈很近，旁边有两个正施工的工地，早上有点吵，离公交车站远了一点，客房还算干净，清理及时，早饭比较简单', 'star': 5}
{'descr': '6号入住，离解放碑很近，易找，环境干净，符合性价比。', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '位置不错，离解放碑很近，装修可以，94空间太低了', 'star': 5}
{'descr': '好好好非常好地方官上地方官第三方地方官地方', 'star': 5}
