{'短评内容': '不太好，出去门都不能锁住，给一把钥匙有何用。。。卫生间差', '短评打分': 2}
{'短评内容': '宾馆挺好的', '短评打分': 5}
{'短评内容': '宾馆挺好的', '短评打分': 5}
{'短评内容': '宾馆还可以', '短评打分': 5}
{'短评内容': '酒店还可以。。。', '短评打分': 5}
{'短评内容': '什么都没有，问前台也是什么都没有。地方还是挺好找的，一分价钱一分货吧。出了火车站往前走就到了，总之不推荐。', '短评打分': 1}
{'短评内容': '很满意的一次住宿，下次出差还来浙个老地方，有点儿让人留恋忘返的味道。话不多说了，耳听为虚，眼见为实，亲身来体验吧', '短评打分': 4}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '还不错哦，再次入住，推荐', '短评打分': 3}
{'短评内容': '出行，吃饭方便！环境还行！', '短评打分': 3}
{'短评内容': '干净卫生，常驻之地，推荐', '短评打分': 3}
{'短评内容': '环境安静，离火车站很近，出行方便，很不错', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '总体不错', '短评打分': 4}
