{'短评内容': '酒店非要漂亮干净有品味，完全可以评星级酒店了，老板很热情向我们介绍了各种美食和游玩的建议', '短评打分': 5}
{'短评内容': '去的时候不太相信网上图片，特意打车去的本想不行就换别人家。看了房间后非常满意，风格很好很干净，绝对物超所值，结果一下住不三天，在来哈尔滨就他家了。来哈尔滨一定要去老厨家尝尝锅包肉', '短评打分': 5}
{'短评内容': '门有点小 一不留神就走过了 进门是很漂亮木质装修风格 房间很干净 卫生间是简单的淋浴头加浴帘 额外给了消毒过的塑料拖鞋 很方便 前台姐姐很亲切 不枉费我翻了那么多评论定的这家～', '短评打分': 5}
{'短评内容': '干净卫生，装修不错', '短评打分': 5}
{'短评内容': '都不错，环境不错，但停车有难度', '短评打分': 5}
{'短评内容': '整体一般，经济酒店。', '短评打分': 4}
{'短评内容': '一般般吧，还算方便。', '短评打分': 3}
{'短评内容': '设备比较老旧，马桶不好用。交通方便，环境比较安静。', '短评打分': 4}
{'短评内容': '房间还不错。', '短评打分': 4}
{'短评内容': '设施还可以，比较齐全，但是阴面的房间晚上窗外有施工的。', '短评打分': 4}
{'短评内容': '总体还行', '短评打分': 4}
{'短评内容': '酒店设施完善，环境闹中取静，舒适干净，以后还会再来!', '短评打分': 5}
{'短评内容': '环境不错，设施齐全干净，闹中取静，床垫软硬适中，有电脑能上网！', '短评打分': 5}
{'短评内容': '环境不错，房间大小适中，设施干净齐全', '短评打分': 3}
