{'短评内容': '房间还可以，卫生做的也不错，房间朝后面，很安静，附近有个巷子吃的都很方便，在隧道口坐车都放便', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈很刚哈更很刚哈更很刚哈更很刚哈更很刚哈更很刚哈更很刚哈更很刚哈更很刚哈更很刚哈更哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '可以  酒店住了四五次了', '短评打分': 5}
{'短评内容': '不错呢', '短评打分': 4}
{'短评内容': '房间不隔音', '短评打分': 3}
{'短评内容': '住了好几天了，还行吧，价格位置匹配', '短评打分': 3}
{'短评内容': '网速慢了点，其他还可以！', '短评打分': 4}
{'短评内容': '老地方，就是网有点慢', '短评打分': 4}
{'短评内容': '住了3天，房间垃圾不主动去收，还要去前台找他们收。房间热水2天没有，老是修不好。房间遥控器是坏的。建议不要住，性价比太低', '短评打分': 1}
{'短评内容': '来了几次了，不错', '短评打分': 4}
{'短评内容': '一般吧', '短评打分': 5}
{'短评内容': '住好多次了，还行，只是做卫生的人几乎从来不擦床头的墙，明显的灰尘', '短评打分': 3}
{'短评内容': '豪华单间房间大，位置也还算方便，房间设施有待改进', '短评打分': 4}
{'短评内容': '还行，环境不错，交通方便，安静', '短评打分': 3}
