{'短评内容': '好好，离地铁口近，附近不错，，，', '短评打分': 5}
{'短评内容': '房间隔音效果太差，没有外窗。', '短评打分': 3}
{'短评内容': '离眼科中心很近，非常方便，下次还来', '短评打分': 4}
{'短评内容': '最少五个字', '短评打分': 5}
{'短评内容': '出行方便，近眼科医院。不错的选择。', '短评打分': 5}
{'短评内容': '\u3000\u3000真是一个好卖家。以后有这方面宝贝的需求还得找你哦!', '短评打分': 5}
{'短评内容': '太贵了  空间也小  虽然有窗  都看不到太阳的  差评', '短评打分': 5}
{'短评内容': '在般般', '短评打分': 5}
{'短评内容': '主要是方便，房间较小，经济型都这样。', '短评打分': 5}
{'短评内容': '第N次入住，平价酒店首选之一。', '短评打分': 5}
{'短评内容': '二百多元一晚，有点小贵。', '短评打分': 5}
{'短评内容': '不想写', '短评打分': 5}
{'短评内容': '马马虎虎还行吧', '短评打分': 3}
{'短评内容': '换了几间房，原因是窗户锁不上，窗外面是条密闭的小通道，可以走人的，所以不管带不带窗户，都可算作无窗房。房间里的空气已经算不错了，比那些乱七八糟的宾馆好多了，多开会排风就好。枕头上有两个小血点，估计是洗不掉的吧，用的另一个枕头。', '短评打分': 3}
{'短评内容': '还行，房间卫生什么的还算干净，还不错，也算安静', '短评打分': 5}
{'短评内容': '一般般，隔音超差，不通风。没有一次性梳子，要自备。', '短评打分': 3}
{'短评内容': '地铁直达，交通方便，安静。就餐方便', '短评打分': 5}
{'短评内容': '房間小了点，隔音太差了！', '短评打分': 3}
{'短评内容': '交通方便，近地铁口，就是房间太小，有点压迫感。', '短评打分': 3}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '还行，不过像迷宫一样！', '短评打分': 5}
