{'短评内容': '非常满意哦', '短评打分': 5}
{'短评内容': '比会员价还优惠!+05房空间较大，安静&amp;hellip;&amp;hellip;', '短评打分': 5}
{'短评内容': '酒店位置好，价钱实惠。停车场较远，但工路局院内免费停车安全安心。', '短评打分': 4}
{'短评内容': '早餐好吃床很舒适', '短评打分': 5}
{'短评内容': '卫生还可以', '短评打分': 5}
{'短评内容': '不错啊，挺好的', '短评打分': 5}
{'短评内容': '可以，晚上快两点到的，网上预定的便宜', '短评打分': 5}
{'短评内容': '不错哦，环境舒适', '短评打分': 5}
{'短评内容': '各方面都非常的不错，很满意，希望下次还能入住。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '除了电视都很棒', '短评打分': 5}
{'短评内容': '除了电视其他都很棒', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '90元够便宜，出差的算可以了', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 4}
{'短评内容': '房间不错！就是无线信号有点差！', '短评打分': 5}
{'短评内容': '酒店很好，也很实惠', '短评打分': 5}
{'短评内容': '到那边已经是很晚了，定的标间没有了，前台直接给免费升成商务房。但是所谓商务房非常之小，就是大床。反正一般出去住如家比较多，基本上都差不多，只是房间大小问题', '短评打分': 5}
{'短评内容': '我住了5次了，感觉还是不错的，', '短评打分': 5}
{'短评内容': '服务态度好，环境好，价格实惠。地理位置也好', '短评打分': 5}
{'短评内容': '不错，服务好，坏境好', '短评打分': 5}
{'短评内容': '环境不错，做为快捷酒店真不错了', '短评打分': 5}
{'短评内容': '条件不错&middot;值得推荐，希望配上洗澡防滑拖鞋，其他都比较齐全', '短评打分': 5}
{'短评内容': '起初房间卫生做得不及时，但提醒后还不错。严重赞扬前台服务员，工作态度好服务意识强，不止为我指路，还用自己的休息时间为我带路，如敬业让我以后到益阳都会来这间酒店住', '短评打分': 5}
{'短评内容': '房间卫生相对其他如家做得不好，窗子只能采光无法通风，浴室下水不畅，洗澡很容易泡脚', '短评打分': 1}
{'短评内容': '这家店的设施条件都还不错，不过真的小。', '短评打分': 3}
{'短评内容': '可以，内部装修配饰都很精致，美中不足的周边环境', '短评打分': 5}
{'短评内容': '房间真的很小，而且每天都不及时打扫，还要我催。最重要的是房间里有股难闻的气味，跟我以前住过的如家感觉不一样，这个貌似没有别的地方的如家好。', '短评打分': 1}
{'短评内容': '不错 挺好的 ！ 感觉比7天要好一些！如果也能提供牛奶就更好了！', '短评打分': 5}
{'短评内容': '很好 很好 很好 很好 很好 很好 很好 很好 很好 很好 很好 很好', '短评打分': 5}
{'短评内容': '服务可以，设施一般，608空调半夜突然就坏了，反复重起动，还自动跳到24度，下次换房。', '短评打分': 5}
{'短评内容': '如家的一贯服务，值得推荐(最好能对电梯吸烟能主动管理）', '短评打分': 5}
{'短评内容': '服务很好！很舒服！很喜欢这个位置，有个公园、、、跑步散步都很不错！以后来都会住在这里、、、、', '短评打分': 5}
{'短评内容': '酒店设施齐全，环境好！内部的布局合理，房间很温馨，值得入住！', '短评打分': 5}
{'短评内容': '服务态度好，网速快，房间干净舒适，110的价格也划算。', '短评打分': 5}
{'短评内容': '常客了 很好的酒店 很好的服务 常客了 很好的酒店 很好的服务', '短评打分': 5}
{'短评内容': ' 隔壁在装修，比较吵，晚上应该还好，房间里面布置还是比较满意', '短评打分': 3}
{'短评内容': '这次入住离上次只隔了一天，就是电梯在维护啊，个人认为不应该在上午9点到10点这样的退房高峰期维护啊，楼层高的就不很方便了。。', '短评打分': 5}
{'短评内容': '服务热情，态度较好，房间还是比较干净。不过在搞装修样，墙壁上有不一样颜色的油漆？', '短评打分': 5}
{'短评内容': '干净，整洁，性价比较高，早餐还可以，就是不免费。', '短评打分': 5}
{'短评内容': '不错的酒店 价格也便宜  不错的酒店 价格也便宜', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 3}
{'短评内容': '＋环境舒适，设备齐全，唯一一点是房间面积有点小.', '短评打分': 3}
{'短评内容': '很好，非常好', '短评打分': 3}
{'短评内容': '房间各方面都挺好房价很低超值!', '短评打分': 3}
{'短评内容': '周边环境很好，旅馆也不错。', '短评打分': 3}
{'短评内容': ' 性价比不错', '短评打分': 3}
{'短评内容': '位置很好，靠近益阳的秀峰湖公园，环境好！', '短评打分': 5}
{'短评内容': '房间有点小，但是还是比较安静，吃饭，购物还比较方便', '短评打分': 5}
{'短评内容': '设施很好，床也很大，很舒服。但房间有点小，不过一个人肯定够了！', '短评打分': 5}
{'短评内容': '房间网线能换换吗？希望能将电梯禁烟标示贴大点，别的不错', '短评打分': 5}
{'短评内容': '如家还是有自己的优势，位置好，服务周到，性价比高。', '短评打分': 5}
{'短评内容': '一贯的干净整洁，很温馨，周边交通方便，性价比高！', '短评打分': 5}
{'短评内容': '很好，床很舒服，服务态度也很好，下次还会去住。', '短评打分': 5}
{'短评内容': '如家的水平。服务也很好，我不熟那里，前后都尽量帮助，很好。', '短评打分': 5}
{'短评内容': '替朋友订的，他第一次入住，但是很喜欢，也很满意，呵呵', '短评打分': 5}
