{'短评内容': '无早餐', '短评打分': 5}
{'短评内容': '还可以，近医院', '短评打分': 3}
{'短评内容': '很不错。方便实惠。', '短评打分': 5}
{'短评内容': '没早餐，不能加床，带孩子可以，有停车场，房间还干净', '短评打分': 5}
{'短评内容': '无早，不能加床，停车场有', '短评打分': 5}
{'短评内容': '房间还是挺大的，交通也方便', '短评打分': 5}
{'短评内容': '环境还可以 就是太偏僻了', '短评打分': 5}
{'短评内容': '，，，，，，，', '短评打分': 5}
{'短评内容': '卫生环境都行，服务一般，不热情无笑脸，让人不舒服。', '短评打分': 4}
{'短评内容': '酒店离医院较近，服务还可以，设施较老，没有一次性拖鞋，这个希望可以改善', '短评打分': 3}
{'短评内容': '我是帮人订的，宾馆条件不错，我现在还没见到入住客人', '短评打分': 5}
{'短评内容': '酒店距离高架桥太紧，车辆噪音太大，价格略贵，一般，车位不多', '短评打分': 4}
{'短评内容': '每次考试都住这家，整体环境还算一般，靠马路边周边卫生不太好', '短评打分': 5}
{'短评内容': '跟医院很近，吃的也挺好噢的，价格很实惠，味道很赞，特别是蛋黄南瓜哈，但是平时来玩呢估计就不会住在这里了', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '一般吧，比较偏僻，出差住还是可以的，来杭州旅游就不太满意了。', '短评打分': 3}
{'短评内容': '总体感觉还不错。', '短评打分': 4}
{'短评内容': '总体还行，噪音太多。', '短评打分': 5}
{'短评内容': '虽然房间很小，但是挺干净的，一个人住很实惠', '短评打分': 5}
{'短评内容': '干净、卫生、便宜、空间面积也蛮大的。到半山国家森林公园也很近。', '短评打分': 5}
{'短评内容': '还行吧，就是附近没什么吃饭的地方', '短评打分': 3}
{'短评内容': '酒店还干净，空间也大，不过周边环境太吵了。', '短评打分': 3}
{'短评内容': '酒店还行，就是没有早餐。', '短评打分': 3}
{'短评内容': '还行，还算干净，但空调打不热，还行，还算干净，但空调打不热', '短评打分': 5}
{'短评内容': '＋干净很好', '短评打分': 3}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '离市区有点远，火车站打车要三十多元，但酒店价格较便宜，服务也不错。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '性价比比较高，房间比较干净，比较大，就是偏远了一点。', '短评打分': 5}
{'短评内容': '比较干净，服务态度也较好，不足的地方是水比较小，信用卡不能预授权', '短评打分': 5}
{'短评内容': '特邀请您对预订的格林豪泰（杭州石桥路店）进行点评，您的意见对其他客人计划旅程以及酒店未来改进服务都非常重要。您办理酒店入住手续后，即可发表点评。', '短评打分': 5}
{'短评内容': '性价比比较高，比较卫生，距医院比较近。缺点：隔音效果不是很好。', '短评打分': 5}
{'短评内容': '我们鼓励真实入住客人的点评，如果您最终未入住该酒店，您所发表的点评会被视为无效点评。\n', '短评打分': 5}
{'短评内容': '20至2000字以内，请勿发表违反国家法律的言论', '短评打分': 5}
