{'短评内容': '还不错，特价的时候买的', '短评打分': 5}
{'短评内容': '一点儿也不人性化，带了娃回来，安排的房间隔特别远，服务态度很差。不如住外面。', '短评打分': 1}
{'短评内容': '挺干净的。小家庭去长隆玩 很适合这个酒店。 ', '短评打分': 5}
{'短评内容': '很好的酒店，服务也好！旧楼的也还可以！加200元给我升级了三张床的房间，服务很好，房间楼下就可以看到火烈鸟', '短评打分': 5}
{'短评内容': '酒店很好，离景点近', '短评打分': 5}
{'短评内容': '酒店很不错', '短评打分': 5}
{'短评内容': '特别适合带孩子游玩，孩子特别高兴，强烈推荐！这是一次愉快的旅行，因为长隆酒店感到无比的开心！推荐每一位家长带孩子选择长隆', '短评打分': 5}
{'短评内容': '旧翼房间有味道，酒店免费给升级了三人房间 外面就能看火烈鸟  整体氛围还是不错的  就是房间太老了！', '短评打分': 3}
{'短评内容': '软件一流，服务温馨，非常愉快的旅途', '短评打分': 5}
{'短评内容': '很不错，性价比高，就是不能积分', '短评打分': 5}
{'短评内容': '没有定到，很遗憾', '短评打分': 5}
{'短评内容': '京东的价格比其他途径便宜，所以多续住了一天，酒店除了消费高，其他都很不错。首先在长隆度假区里，不论去动物园还是看大马戏都特别方便，即便是坐地铁有j车也很方便。\n        其次服务，不论是餐厅还是客房服务都很好，下车礼宾帮忙卸行李，还帮你记车牌号便于遗落东西找回。办理入住很多窗口，即便人很多也不会等很久，退房直接退卡不用等。客房部还会询问房间卫生是否满意，很多细微之处体现了酒店用心服务，有种宾至如归的感觉。\n        选择的野趣房，比较新，房间很大，儿童洗漱用品，浴袍，拖鞋，衣架，还有能放在大马桶上儿童小马桶垫，简直贴心又到位。酒店自助早餐是火烈鸟餐厅和白虎餐厅连通的，早餐品种丰富，人超多，位置也超多，所以没有等位的情况。\n        酒店里还能买门票，打折也不贵，还有快捷通道，很方便。', '短评打分': 5}
{'短评内容': '服务好.......', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '没时间在酒店玩，感觉还不错', '短评打分': 5}
{'短评内容': '还可以，室内泳池收费200有点不满', '短评打分': 5}
{'短评内容': '20年了，酒店当时应该很好吧，现在房间各项设施已陈旧，一楼有霉味，室内游泳池需要另外收费，性价比不高，宁愿住市内，开车过来玩，也方便', '短评打分': 5}
{'短评内容': '酒店还是很不错的，整体还可以', '短评打分': 5}
{'短评内容': '那就读博会被 vvu 官方 v 个', '短评打分': 3}
{'短评内容': '订单速度很快', '短评打分': 5}
{'短评内容': '订房确认很快，价格也非常有优势，经常还要促销，非常不错。', '短评打分': 5}
{'短评内容': '房间和整个度假区设施严重配不上价格，感觉完全是上了广告的当。', '短评打分': 1}
{'短评内容': '就是有点贵 两千呢', '短评打分': 5}
{'短评内容': '入住遇到问题 处理有点慢', '短评打分': 4}
{'短评内容': '非常棒的酒店，孩子超喜欢', '短评打分': 5}
{'短评内容': '下单付款后接到客服电话说价格调整，只能取消。。。。。。。唉', '短评打分': 5}
{'短评内容': '下单付款后接到客服电话说价格调整，只能取消。。。。。。。', '短评打分': 5}
{'短评内容': '速度快。服务好。', '短评打分': 5}
{'短评内容': '酒店服务不错，水上乐园好玩！', '短评打分': 5}
{'短评内容': '酒店价格挺便宜的的，下次还订', '短评打分': 5}
{'短评内容': '还，算是可以吧', '短评打分': 4}
{'短评内容': '很不错的～住着很不错', '短评打分': 5}
{'短评内容': '住着不错～很好', '短评打分': 5}
{'短评内容': '推荐大家游玩，住店。环境非常好。干净，舒服舒适。', '短评打分': 5}
{'短评内容': '非常好，干净的，环境也非常舒服。去游玩的朋友一定要定主题酒店。', '短评打分': 5}
{'短评内容': '页面做得不好，浏览起来不方便，介绍也不全。', '短评打分': 4}
{'短评内容': '不错，方便，价格和其他渠道差不多', '短评打分': 5}
{'短评内容': '到长隆玩 住这里还是很方便的', '短评打分': 5}
{'短评内容': '巴巴爸爸', '短评打分': 5}
{'短评内容': '很好很好很好很好很好', '短评打分': 5}
{'短评内容': '房间感觉还是一般\n不过面积蛮大的\n里面的一些洗漱用品很可爱\n送了白虎自助餐厅的早餐券\n虽然人山人海但能看到白虎和火烈鸟\n还有送票自行4选1\n建议如果价格合适\n去长隆玩还是要住长隆酒店\n在京东定完还是要提前确认好', '短评打分': 5}
{'短评内容': '很好不错下次继续', '短评打分': 5}
{'短评内容': '多方比较，选的性价比最高的。酒店很好，很适合亲子游，房间也大，舒适。非常满意。', '短评打分': 5}
{'短评内容': '超级好～环境也棒棒哒?带阳台，下次呆宝宝继续', '短评打分': 5}
{'短评内容': '五月份去不算旺季吧，房间价格也不便宜，好在入住时主动给升级了野趣房。酒店服务人员态度很好，早餐自助品种丰富，中式西式都有，白虎餐厅晚餐自助的生鱼片不错。园区物价确实贵，随便一瓶水十元起。', '短评打分': 5}
{'短评内容': '长隆酒店真的很不错，虽然酒店造的比较早，单里面的服务还是不错的，值得去哦比', '短评打分': 5}
{'短评内容': '还不错，十分！！', '短评打分': 5}
{'短评内容': '房间非常不错，也干净，嗯，服务服务员的态度非常好，唯一的不足就是价格贵了一点。', '短评打分': 5}
{'短评内容': '还可以，就是蚊子太多。', '短评打分': 5}
{'短评内容': '为什么不给开增值税专票 我呸', '短评打分': 5}
{'短评内容': '环境很好！服务很周到！免费给我们还了野趣房！', '短评打分': 5}
{'短评内容': '酒店还不错，备注了大床房，没有了给安排了双拼房，还给升级了房型，狩猎房升级到野趣房！不过酒店的自助早餐很一般，中餐厅还不错，就是价格有点偏高，还要收15%的服务费！对比了价格京东比驴妈妈要便宜！', '短评打分': 5}
{'短评内容': '京东现在有优惠。比携程好。', '短评打分': 5}
{'短评内容': '没想到京东也可以订酒店，还没去，准备回来后再补充评价', '短评打分': 5}
{'短评内容': '在其他网站定同样的房间套票，我付款后说没房，让我加钱升级，然后在这就能订到，而且去了酒店，酒店给免费升级了房间', '短评打分': 5}
{'短评内容': '酒店很不错，给免费升级到了贵宾房，服务很好', '短评打分': 5}
