{'descr': '太次了', 'star': 5}
{'descr': '尽量住连锁酒店吧，不要在乎那点钱', 'star': 5}
{'descr': 'It was a good stay. The owner was friendly.', 'star': 3}
{'descr': '交通方便，环境不错店主很热情！', 'star': 5}
{'descr': '还可以，老板很热情，还借我们笔记本', 'star': 5}
{'descr': '我知道我错了～再也不随便选这种公寓来住了～要不多花50块去住新世界那样的公寓～要不少花50块去住汉庭也好～偏偏选了这样的公寓我那个悔啊～我现在都没刷牙好吗～慎重啊慎重选这个', 'star': 2}
{'descr': '不错。复试房间很有感觉。嗯', 'star': 3}
{'descr': '不是很满意  没网络  还很偏僻', 'star': 3}
{'descr': '日租公寓类型！整体不错！看房阿姨非常热情！必须赞上加赞！', 'star': 3}
{'descr': '环境温馨  有家的感觉  叫其他酒店客房面积大出很多 ', 'star': 5}
{'descr': '环境温馨  有家的感觉  叫其他酒店客房面积大出很多 ', 'star': 5}
{'descr': '环境温馨  有家的感觉  叫其他酒店客房面积大出很多 ', 'star': 5}
