{'短评内容': '挺不错的  前台特别好玩', '短评打分': 5}
{'短评内容': '停车不便', '短评打分': 5}
{'短评内容': '酒店还是比较好早的，里面房间蛮大，也蛮干净的。热水也还行，进入房间后有独立的wifi，速度还不错。推荐入住。', '短评打分': 5}
{'短评内容': '酒店不错，性价比超高！都是老客户了', '短评打分': 5}
{'短评内容': '服务挺好的，帮我延时退房没收钱', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 4}
{'短评内容': '环境还可以', '短评打分': 4}
{'短评内容': '很干净，服务也好，没啥乱七八糟的东西，京东给的价格也实惠！就是房间有点小，床和桌子紧挨着。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '服务好，餐厅的味道也很棒，交通方便', '短评打分': 5}
{'短评内容': '性价比可以，交通也便利，周围好吃的东西也多，在携程上订的是特惠房在四楼，怕吵，要求调换到七楼的，感觉还不错。 ', '短评打分': 5}
{'短评内容': '还可以，下次去还住哪', '短评打分': 5}
{'短评内容': '非常好，下次还去。', '短评打分': 5}
{'短评内容': '交通便利，家乐福对面的小天地拌面味道很带劲，米粉啊，反正味道很不错的', '短评打分': 5}
{'短评内容': '好，位置不错', '短评打分': 5}
{'短评内容': '好呢，交通便利。出来走一会儿到家乐福对面的小天地拌面，米粉，味道真的很攒劲', '短评打分': 5}
{'短评内容': '服务态度好', '短评打分': 4}
{'短评内容': '酒店门前在修路，有点尘土飞扬，开车进酒店有点麻烦。', '短评打分': 3}
{'短评内容': '出门住如家 习惯了！！呵呵呵', '短评打分': 5}
{'短评内容': '很不错 一如既往的好 干净 服务态度也好', '短评打分': 5}
{'短评内容': '房间干净整洁，位置不错，交通很便利，前台的服务态度很不错，下次还会入住', '短评打分': 5}
{'短评内容': '很不错的。值得信赖！', '短评打分': 3}
{'短评内容': '酒店的环境不错，还是很安静的，但是因为酒店所处的那条路在修田字型高速路，有点不方便', '短评打分': 1}
{'短评内容': '由于前面修路才有这个价格.交通不方便，打车困难。', '短评打分': 5}
{'短评内容': '总体来说很好，就是电视不怎么样，好多台看不了', '短评打分': 5}
{'短评内容': '两个问题，1、南湖西路在修路，24小时施工，估计怎么都得几个月时间，吵！2、房间里很大的烟味，不知是怎么回事，就住一个晚上，退房换地方了。', '短评打分': 1}
{'短评内容': '还行，就是酒店前边正修着路，白天有点吵。', '短评打分': 3}
{'短评内容': '真便宜啊真便宜真便宜啊真便宜真便宜啊真便宜真便宜啊真便宜真便宜啊真便宜', '短评打分': 5}
{'短评内容': '除了隔音效果差，其他很好，物有所值吧，挺好的', '短评打分': 5}
{'短评内容': '第二次住了，环境很好，服务态度没的说。价格实惠，餐厅环境优雅，味道很好。推荐！', '短评打分': 3}
{'短评内容': '酒店门前刚好修路，交通有点不方便，特别是打车忒难，有许多的士不愿意来这里。价格按这个地段还是蛮实在的。', '短评打分': 5}
{'短评内容': '房间干净，服务周到，价格比非常高，推荐！', '短评打分': 3}
{'短评内容': '房间不错，但是旁边的ktv有些吵', '短评打分': 3}
{'短评内容': '性价比高，很实惠', '短评打分': 3}
{'短评内容': '房间隔音太差，早餐过于简单且不新鲜，厅门不开总让走边门。', '短评打分': 3}
{'短评内容': '环境不错，去哪都比较方便。就是退房时间能延迟更好。一点前相比其他酒店有点早了。', '短评打分': 3}
{'短评内容': '酒店干净整洁，就是价位稍高', '短评打分': 3}
{'短评内容': '还可以!就是被子太难看了!', '短评打分': 3}
{'短评内容': '酒店的环境硬件设施都很不错，位置出行交通方便，卫生服务也很达标，价格合理适中很合格的商务连锁型酒店值得推荐入住。', '短评打分': 5}
{'短评内容': '卫生设施服务都很一般，价格还比较高，性价比不好 ', '短评打分': 1}
{'短评内容': '服务卫生还成，主要是3楼有夜总会，住在4层的人估计要听着动感的音乐到凌晨3点左右了。', '短评打分': 5}
{'短评内容': '酒店比较干净整洁，价格也非常的经济实惠', '短评打分': 5}
{'短评内容': '我觉得酒店的位置还不错，交通不是非常方便，但也可以，主要是酒店很干净，我觉得还不错。', '短评打分': 5}
{'短评内容': '酒店服务很好！！就是上网不是很好！！！', '短评打分': 5}
{'短评内容': '酒店很干净,很简洁位置也很方便.', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': 'Perfect home-inn chain.&lt;br /&gt;\n&lt;br /&gt;\nService is comfortable, and location is easy tobe attached.&lt;br /&gt;\n&lt;br /&gt;\nOverall speaking, I am satisfactory.', '短评打分': 3}
