{'短评内容': '酒店环境还好', '短评打分': 3}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '已到满意', '短评打分': 3}
{'短评内容': '很差的酒店，非常差，完全对不起这个价格\n\n酒店很老，走廊地毯就有股霉味儿，房间里面马桶冲水不好用，电视闭路线断了，告诉服务员也不给解决，淋浴龙头是坏的，房顶还有一大块发霉，这破宾馆估计也就系统内的人当宿舍住，有选择的情况下千万不要住这里', '短评打分': 1}
{'短评内容': '好老的宾馆，潮湿，没有早餐、没有停车位，价位偏高。\n', '短评打分': 1}
{'短评内容': '住宿环境、内饰加强，早餐包含在房间内，其他方面在服务（美容美发等）增强意识。                                                                                                                                                                  ', '短评打分': 5}
{'短评内容': '地理位置很方便，房间装修的还可以，价格很便宜，出行也便利可以推荐入住。', '短评打分': 5}
{'短评内容': '酒店的性价比很高，设施环境也基本达标，地理位置优越出行交通很方便，可以推荐入住。', '短评打分': 5}
{'短评内容': '酒店距离连云港岛很近，也算是比较繁华的地段，位置很优越出行交通方便。', '短评打分': 5}
{'短评内容': '酒店的设施配置很齐全，卫生服务也很达标。主要是价格很有优势。', '短评打分': 5}
{'短评内容': '地理位置很不错出行很方便，价格也很优惠，性价比挺好的，会考虑入住。', '短评打分': 5}
{'短评内容': '配置设施比较老了，建成时间在那呢。卫生服务都还可以，下次可能会入住比较新的酒店。', '短评打分': 3}
{'短评内容': '连云港比较早的酒店了整体来讲还是很不错的，配置硬件也基本齐全。', '短评打分': 3}
{'短评内容': '核电宾馆价格优惠，设施配置很全，卫生环境也很达标。性价比很不错的宾馆。', '短评打分': 5}
{'短评内容': '设施配置硬件比较老旧了，但是床上物品很新也很舒适，卫生打扫的也很彻底。', '短评打分': 3}
{'短评内容': '酒店整体还好，主要是这个价位很合理。地理位置也很方便。基本设施配置也很全。', '短评打分': 5}
{'短评内容': '酒店位置还不错,对于我来讲交通出行很方便,并且室内的硬件设施及软件条件也还算不错.', '短评打分': 5}
{'短评内容': '住过的最差的酒店，设施陈旧，有股怪怪的味道，性价比低，永远不会去住了', '短评打分': 1}
