{'descr': '环境挺好！', 'star': 5}
{'descr': '不错，环境挺好！', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '无早餐，位置好', 'star': 5}
{'descr': '个方面都还不错！就是屋子比较小', 'star': 5}
{'descr': '酒店很舒服，如家的铂金会员，经常再次入住', 'star': 5}
{'descr': '酒店很舒服，如家的铂金会员，经常再次入住', 'star': 5}
{'descr': '挺好的，不错，挺好的，不错', 'star': 5}
{'descr': '特别好妩媚价廉，性价比高，值得信赖，京东送货快服务好，服务热情，服务准确', 'star': 5}
{'descr': '很不错，速度快，运行流畅，值得推荐大家放心购买很给力～～～', 'star': 5}
{'descr': '还行吧。性价比好', 'star': 4}
{'descr': '额，隔音效果太差了', 'star': 1}
{'descr': '酒店很干净 出行方便', 'star': 5}
{'descr': '环境不错，服务热情，很满意！', 'star': 5}
{'descr': '还不错~~~~', 'star': 5}
{'descr': '还行，出门只住如家', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '服务态度很好', 'star': 5}
{'descr': '没有停车场，周边有点乱，还在修路', 'star': 4}
{'descr': '还不错。', 'star': 4}
{'descr': '室内是如家的一贯风格，干净整洁，卫生间空间感觉比较大，卧室这边有些小，不过总体上感觉还是不错的，美中不足之处在于一进屋有烟味，床头柜下有烟头，隔壁屋客人进屋时也说是有很大烟味，卫生间有一个丢弃的牙刷口袋，希望如家继续努力，把服务做的更好，屋内更加整洁，更像其名字一样：如家。', 'star': 5}
{'descr': '网上预订说房间没有窗户，到店居然有，很是惊喜。', 'star': 5}
{'descr': '没有标准间了按定价升成数码。房间很小，两张床两边都贴在墙上，中间的地方比一个柜略宽点…', 'star': 3}
{'descr': '服务员态度很好，房间很干净，并且次日及时打扫。早餐也不错。', 'star': 5}
{'descr': '房间很干净，很好，符合和谐社会的标准，服务人员态度极佳', 'star': 5}
{'descr': '酒店很干净，但是有点贵啊•我那个最便宜房间还113ne，张家口消费不低啊。', 'star': 5}
{'descr': '像这样的城市，已经算是不错了！！！！！！！！1234567890', 'star': 5}
{'descr': '像这样的城市，已经算是不错了！！！！！！！！！！！！！！！1234567890', 'star': 5}
{'descr': '服务很好，房间很干净，前台和其它工作人员对人很有礼貌，下次还会去入住。', 'star': 5}
{'descr': '在这样的城市已经不错了！！！！！！11111111111111111111111111111111111111111111111111', 'star': 5}
{'descr': '酒店位置不错，旁边一家卖酱排骨的小店不错，吃东西很方便！', 'star': 5}
{'descr': '其实是给男朋友定的，我没有住啦。应该不错啊', 'star': 5}
{'descr': '服务态度好。赶凌晨4点的火车，服务员帮忙叫出租车。订的单人间，结果到店时安排了一件商务大床房，感觉很好。', 'star': 5}
{'descr': '下次来我还会住在这里了', 'star': 3}
{'descr': '位置方便好找，室内设施也还不错，特价大床房房间比较小，卫生间却好大。。。性价比较高', 'star': 5}
{'descr': '如家，大品牌的连锁酒店，服务设施等就不用多说了呵呵，很好', 'star': 5}
{'descr': '还好吧  就是屋子太小了 而且没有窗户 不过态度不错 就是隔壁有些吵', 'star': 3}
{'descr': '环境很好，本来订的是单人间无窗的，去的时候被告之单人间没房间了，店家就免费将我的升级为大床商务房，以后还是会去的', 'star': 5}
{'descr': '服务态度很好，房间很干净，入住很舒服，有种家的感觉', 'star': 5}
{'descr': '一贯延续如家风格，最主要的是现在可以刷卡了。值得推荐。', 'star': 5}
{'descr': '环境很好！卫生条件很好。。。。。。。。。。。。。', 'star': 5}
{'descr': ' 位置好，挺干净的，不错。', 'star': 3}
{'descr': '干净、卫生、位置优越、服务态度好、下次一定还会入住', 'star': 5}
{'descr': '干净 早餐也不错 服务也好 洗澡水那叫一个爽快 地理位置很方便 物美价廉的酒店 下次还会选择', 'star': 5}
{'descr': '还不错，就是有点难找，单人间小！！！！！！！', 'star': 5}
{'descr': '环境不错，服务态度很好，是一个可以入住的地方。', 'star': 5}
{'descr': '不错还是满干净的。', 'star': 3}
{'descr': '服务好，卫生很干净,服务员态度好！地理环境很好！交通方便！', 'star': 5}
{'descr': '干净卫生服好', 'star': 3}
