{'短评内容': '整体环境不错，价格实惠。旅途经过，满意', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '干净快捷  设施齐全  朋友推荐的', '短评打分': 3}
{'短评内容': '感觉和招待所差不多，厕所的马桶太高了！', '短评打分': 3}
{'短评内容': '感觉跟招待所差不多！', '短评打分': 3}
{'短评内容': '房间内设备齐全，交通方便。还有早饭也不错', '短评打分': 5}
{'短评内容': '房间是8楼的三间，快凌晨1点才入住，洗澡水不烫，再冷点洗澡一定会受凉！也没有找到吹风机，淋浴头还坏了！装潢很有风格，小广告不少，冰箱并未通电，里面的矿泉水是收费的！', '短评打分': 4}
{'短评内容': '酒店房间有点小，本来还以为是力士的沐浴露   洗发水   洗的时候才知道散装灌进去的   而且还装反了  沐浴露瓶装洗发水  洗发水瓶装沐浴露   太郁闷 了', '短评打分': 3}
{'短评内容': '环境各方面都不错，就是价格有点高了些，床很大，还是值得推荐的', '短评打分': 5}
{'短评内容': '酒店房间很有个性', '短评打分': 3}
{'短评内容': '总体还算可以，有家的感觉就是大厅显的有点单调', '短评打分': 5}
{'短评内容': '只能说酒店装潢有点创意，其它就一肚子怨气了吧。。。因为高速堵车，到酒店快晚上九点，安排房间508，进房间洗个脸，台盆的下水管直接将水往地上洒，鞋和裤脚立马全湿，导致后2天行程拖鞋搞定，维修工来的到是不慢，不知道是质量太差还是业务不过关，倒腾了30分钟，得到的回复还是“再要几分钟就好”，鉴于一身的臭汗和不断打架的眼皮，只能强烈要求换房，是在再三要求下才换成的噢！！！第2天，游玩回酒店，大包行礼上了5', '短评打分': 1}
{'短评内容': '比较不错，环境也不错，比较不错，环境也不错', '短评打分': 5}
{'短评内容': '一直想要住这样的酒店来着，很开心，要是酒店内让你选择什么样的布景就更好了', '短评打分': 5}
{'短评内容': '还行，但是网络很不好，经常掉线。还好咯    呵呵呵呵呵 ', '短评打分': 5}
{'短评内容': '环境不错，吃的也不错，房间环境不错，不错还不错好好', '短评打分': 5}
{'短评内容': '我也住进8817房间', '短评打分': 3}
{'短评内容': '房间不错，早餐也可以。', '短评打分': 3}
