{'短评内容': '新装修的店面 床很好睡 可惜前台人員新人 作业流程较生疏 步行去地鉄站或是苏州中心都很近 早歺还算是可以', '短评打分': 5}
{'短评内容': '新装修的酒店味道有点重，其他还好', '短评打分': 5}
{'短评内容': '房间很干净，相应的配套设备也比较完善，酒店的地理位置也比较好，是商务出差和旅行是比较理想的选择，性价比还不错。', '短评打分': 5}
{'短评内容': '不错   ，，，', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店干净整洁，应该是新开的，外面日料店很多', '短评打分': 5}
{'短评内容': '早餐太单调，希望增加粥，油条等，其他的不错', '短评打分': 4}
{'短评内容': '安静，卫生好，周围全是日式餐馆，想吃中餐得走好远', '短评打分': 5}
{'短评内容': '设施旧 不知道是不是我定的房间不好 所以感觉不行', '短评打分': 4}
{'短评内容': '性价比还可以', '短评打分': 4}
{'短评内容': '总体一般，性价比一般', '短评打分': 3}
{'短评内容': '环境还可以，就是隔音差了点，价格不是很有吸引力。', '短评打分': 5}
{'短评内容': '环境一般，普通商务酒店，比如家汉庭差一点点', '短评打分': 3}
{'短评内容': '帮家人定的，不是太理想，考虑又窗户的房子所以定了这个价格的，没想到在楼道，虽说交通还算方便，没什么可吃饭的地方，最遭心的没法洗澡，水是一会儿冷一会热的，三天没洗成澡，估计下次不会选择这家宾馆了。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '离地铁不远，交通挺方便的，周围吃饭的地方也挺多。', '短评打分': 5}
