{'短评内容': '服务差，气温低，一床被子，空调遥控器没电了，拿着遥控器找服务员，要求更换电池，服务员态度极差，恶语相向，不可思议。', '短评打分': 3}
{'短评内容': '地理位置很好，其他也还行，就是空调有时吹出一股怪味', '短评打分': 5}
{'短评内容': '不错还不错', '短评打分': 5}
{'短评内容': '早餐还不错！位置很好找，没有停车场，酒店负责给停车！', '短评打分': 5}
{'短评内容': '还可以吧，看的过去', '短评打分': 5}
{'短评内容': '真的差……', '短评打分': 1}
{'短评内容': '整体还不错，就是隔音效果不好', '短评打分': 4}
{'短评内容': '酒店非常的好', '短评打分': 5}
{'短评内容': '非常的好啊啊', '短评打分': 5}
{'短评内容': '很好吃大家都来买', '短评打分': 5}
{'短评内容': '好好好好好好，非常好，超级好。要不到台的好。', '短评打分': 5}
{'短评内容': '速8住了多次，很不错，下次再来。京东价格希望以后有点优惠。', '短评打分': 5}
{'短评内容': '女儿问的话', '短评打分': 5}
{'短评内容': '干淨', '短评打分': 4}
{'短评内容': '福州是省会，同品牌的酒店还行。这家就是周边配套还待完善！还是厦门的配套比较好', '短评打分': 5}
{'短评内容': '非常好，不错，交通方便', '短评打分': 5}
{'短评内容': '太吵了', '短评打分': 4}
{'短评内容': '感觉挺方便的', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '房间空间很大，', '短评打分': 3}
{'短评内容': '地方不错，去三坊七巷也方便，到机场大巴点也近。', '短评打分': 3}
{'短评内容': '位置还好，环境特别一般。房间小，马路噪音大。', '短评打分': 4}
{'短评内容': '房间卫生不错 但面对大路太吵', '短评打分': 3}
{'短评内容': '比较干净，就是单人间太。。。。。。。。。太小', '短评打分': 5}
{'短评内容': '早餐不错，就是靠路边的房间噪音太大，开窗汽车尾气很重，但是房间很干净，总体不错！', '短评打分': 5}
{'短评内容': '酒店感觉很好，很温馨。服务也很好，但是小广告太多。', '短评打分': 3}
{'短评内容': '设施太差，服务一般，早餐太差，价格太贵，不建议朋友们选择。', '短评打分': 1}
{'短评内容': '酒店是比较新的，但是有一点好无语，到店办个会员，比网上订的便宜多了，连住两天以上的还是到酒店自己搞定吧，。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '非常满意，房间设施很新，很干净！离机场大巴的停站点很近。下次去福州还会选择这里。', '短评打分': 5}
{'短评内容': '酒店很干净，就是房间稍小，靠马路边房间有点吵。价格偏高了点。', '短评打分': 5}
{'短评内容': '房间太小了住进去有点压抑的感觉， 性价比不高  早餐有点差', '短评打分': 1}
{'短评内容': '酒店装修很新，靠近繁华的五一北路。推荐入住。', '短评打分': 5}
{'短评内容': '房间的卫生设施还可以，酒店出行交通也蛮方便，价格还是稍微贵了，服务态度还是蛮好的。', '短评打分': 5}
{'短评内容': '位置好在五一路上，交通出行很方便，而且客房舒适度比较好.就是没有停车位.', '短评打分': 5}
{'短评内容': '总体还可以。但早餐过于简单，再丰富些就好了。房间偏小。\n', '短评打分': 5}
{'短评内容': '前台服务态度巨差，前台有总蛮不过来的感觉，人就多请来个啊，草。态度差到都有点想骂人了。', '短评打分': 1}
{'短评内容': '还不错！会再来！', '短评打分': 3}
{'短评内容': '房间还不错，就是前台小妹太呆了，速度慢，也没笑脸', '短评打分': 3}
{'短评内容': '+不错', '短评打分': 5}
{'短评内容': '我很喜欢酒店的装修风格,很有特色.而且他们的服务也很人性化,很周到.', '短评打分': 5}
{'短评内容': '酒店位置还不错,出行挺方便的,而且服务也很热情,为我们考虑的很全面.给我感觉很贴心.', '短评打分': 5}
{'短评内容': '酒店很新，地理位置也很好，在五一广场附近', '短评打分': 5}
{'短评内容': '酒店在当地这个位置,性价比算是最好的一家,而且服务也没话说,超赞.', '短评打分': 5}
