{'短评内容': '住了两次了，好评', '短评打分': 5}
{'短评内容': '挺好的，离学校很近。网速一般', '短评打分': 5}
{'短评内容': 'wifi很给力，离考场近。信价比高！', '短评打分': 4}
{'短评内容': 'wifi很好用，隔音稍差些。信价比高', '短评打分': 4}
{'短评内容': 'wifi很好用，隔音稍差些。信价 比高', '短评打分': 4}
{'短评内容': '环境很好，很实惠，服务也很好，离我要办事的地方很近。', '短评打分': 3}
{'短评内容': '9.18服务态度特别差，差，差！ 9.19那个服务员态度很好！！！ 提醒一下，没有吹风机，没有排插。 离农大考点走路大概15分钟。 有网络，早餐很差！！', '短评打分': 3}
{'短评内容': '第一次住这么差的宾馆，服务员的服务就不提了(因为就没有)，房间小，设备旧，半天房费还要多收20元(说是他们的规定)，唉，可以理解，因为没客人挣不到钱呀', '短评打分': 2}
{'短评内容': '距离我要去的地方近，呼市堵车实在太严重。', '短评打分': 4}
{'短评内容': '还不错，起码比七天强。免费早餐，就是空调和排风的声音巨大。', '短评打分': 5}
{'短评内容': '位置，环境和服务态度都不错，就是房间比较小，隔音比较差一点', '短评打分': 5}
{'短评内容': '不错，就是一楼隔音效果差强人意，免费早餐很丰盛', '短评打分': 5}
{'短评内容': '还可以，挺袖珍的，去的时候房间正在装修，味道有点重，不过服务员都很nice', '短评打分': 5}
{'短评内容': ' 很温馨，热水很给力！！', '短评打分': 3}
{'短评内容': '房间很小，毛巾浴巾都很破旧了，早点炒饭做的还不错，可惜没什么花样，每天都是那样的，酒店位置还算不错，比较便利，前台妹妹挺漂亮的，服务也好。\n建议更换一些酒店用品，早点不要千篇一律的。', '短评打分': 5}
{'短评内容': '房间挺干净，就是小了点儿。', '短评打分': 3}
{'短评内容': '感觉还不错，价格挺合理的，环境挺干净的', '短评打分': 3}
{'短评内容': '卫生真的很成问题，床单能不换就不换，枕套也很脏，不推荐！', '短评打分': 1}
{'短评内容': '隔音太差', '短评打分': 3}
{'短评内容': '呼和浩特悦嘉商务酒店（学府花园店）一般，无论设施还是服务，同等价格比不上江苏安徽，也比不上甘肃酒泉。我在那住了5天，其中3天打不开房门需要下楼重新设置房卡。问服务员周边情况和公交乘车，都说不知道。附近有不少同等价位规模的旅馆，其只能称之为旅馆。', '短评打分': 1}
{'短评内容': '房间确实太小，早餐也很一般。同样的价格在在安徽，江苏甚至宁夏都可比它强。', '短评打分': 1}
{'短评内容': '条件可以 挺实', '短评打分': 3}
{'短评内容': '有点潮的感觉。', '短评打分': 3}
{'短评内容': '房间小，但是还算干净。服务人员的素质一般，更换床单能免则免，如果被发现实在免不了才会换。但是总体来说，性价比不错了。', '短评打分': 5}
{'短评内容': '服务态度很好！环境还可以，我会推荐给我的朋友的。', '短评打分': 5}
{'短评内容': '房间很小。有点潮。房间装修一般。旁边是小区，买东西，吃饭较方便。', '短评打分': 5}
{'短评内容': ' 这酒店不错，又经济又实惠又干净，我来这考试很方便', '短评打分': 3}
{'短评内容': '房间小，但是还算干净。服务人员的素质一般，更换床单能免则免，如果被发现实在免不了才会换。但是总体来说，性价比不错了。', '短评打分': 5}
{'短评内容': '酒店还可以，推荐一下吧，。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '以后不会去了，去了居然床单和被子都没有换，要求了以后才给换的。太差了。床单上还有头发和烟灰。', '短评打分': 1}
{'短评内容': '推荐 经济实惠  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '便宜实惠，交通方便，虽然比如家等连锁稍逊一筹，但也还不错的了', '短评打分': 5}
{'短评内容': ' 床太硬', '短评打分': 5}
{'短评内容': '+环境还好，挺满意，但一楼信号不太好，电话老打不出去。', '短评打分': 5}
{'短评内容': '早餐一般', '短评打分': 5}
{'短评内容': '工作原因必须住那边，卫生条件很一般，服务还可以，晚上还有人给送报纸！', '短评打分': 5}
{'短评内容': '屋子里有虫子，性价比不高', '短评打分': 1}
{'短评内容': '酒店的硬件配备还算可以，服务也还行，我觉得他们的早餐很不错，位置也还挺方便的。', '短评打分': 3}
{'短评内容': '有一种诱惑的铃声不断萦绕在你耳边', '短评打分': 5}
{'短评内容': '123', '短评打分': 5}
{'短评内容': '酒店服务人员态度挺好的,环境也不错的,很安静舒适,而且离办事地点也蛮近的,价格也合理,挺满意的.', '短评打分': 5}
{'短评内容': '酒店的整体条件不错的,服务,卫生,以及酒店的设施都是不错的酒店的,性价比不错的酒店的', '短评打分': 5}
{'短评内容': '还不错的一家酒店', '短评打分': 5}
{'短评内容': '距离车站很远,出行不是很方便,环境硬件设施还可以,卫生服务也很不错,就是位置不太好.', '短评打分': 5}
{'短评内容': '很经济 很卫生 不错', '短评打分': 5}
{'短评内容': '总体感觉一般！', '短评打分': 3}
