{'短评内容': '服务好环境好很满意！', '短评打分': 5}
{'短评内容': '非常的满意', '短评打分': 5}
{'短评内容': '环境和设施很好', '短评打分': 5}
{'短评内容': '风景非常美', '短评打分': 5}
{'短评内容': '住宿服务挺好', '短评打分': 5}
{'短评内容': '房间很好，面朝大海，感觉棒棒哒！', '短评打分': 5}
{'短评内容': '帮两个领导定的酒店，20号晚上22点左右支付下单，订次日入住，当时问客服说1个小时左右可以给答复，结果没给答复，21号一早起来就联系京东，JD说酒店预订部门9点之后上班，9点之后给答复，然后又没答复，给我发了条短信，让我再等到12点15分我再打电话联系京东，都是一些套路话，后来又来一条短信说13点之后确认，期间我的两个领导已经下飞机，接机的车也已经早就约好，但是不知道要不要去酒店，去哪里！因为JD一直没给我确定答复，说到底有房没房，只是让我等待协调，所以我就让司机先送两个领导去酒店，心想再有个30分钟也应该有结果了，结果到了酒店，还是没能给办理入住，我只能重新预订其他酒店，但是其他酒店价格也都已经上涨或没房！在此我想强调：1、JD一直在引导我等待协调，没能果断告知是否有房没房；2、在JD网站预定了酒店，在等待确认的时候，也没法取消预定！3、JD的客服推卸责任，JD转到艺龙，艺龙又推到他们的供应商那边去，真的很无语！难道责任完全在我？  请相关负责人给一个满意的答复！', '短评打分': 1}
{'短评内容': '帮两个领导定的酒店，20号晚上22点左右支付下单，订次日入住，当时问客服说1个小时左右可以给答复，结果没给答复，21号一早起来就联系京东，JD说酒店预订部门9点之后上班，9点之后给答复，然后又没答复，给我发了条短信，让我再等到12点15分我再打电话联系京东，都是一些套路话，后来又来一条短信说13点之后确认，期间我的两个领导已经下飞机，接机的车也已经早就约好，但是不知道要不要去酒店，去哪里！因为JD一直没给我确定答复，说到底有房没房，只是让我等待协调，所以我就让司机先送两个领导去酒店，心想再有个30分钟也应该有结果了，结果到了酒店，还是没能给办理入住，我只能重新预订其他酒店，但是其他酒店价格也都已经上涨或没房！在此我想强调：1、JD一直在引导我等待协调，没能果断告知是否有房没房；2、在JD网站预定了酒店，在等待确认的时候，也没法取消预定！3、JD的客服推卸责任，JD转到艺龙，艺龙又推到他们的供应商那边去，真的很无语！难道责任完全在我？  请相关负责人给一个满意的答复！', '短评打分': 1}
{'短评内容': '下次还住在这里', '短评打分': 5}
{'短评内容': '这里紧邻跨海大桥和滨海路，很安静风景不错，酒店服务也很细致，房间宽敞，阳台也挺漂亮，给五星评价，你值得拥有！', '短评打分': 5}
{'短评内容': '环境非常棒', '短评打分': 5}
{'短评内容': '环境好，早餐好，很舒服', '短评打分': 5}
{'短评内容': '还可以。下次去还住', '短评打分': 5}
{'短评内容': '环境不错、房间设施很好、很全，床很舒适、性价比很高、值得入住。 下次如果出差去还会入住、山景房还不错、酒店周围很肃静、自助晚餐海鲜可以，物品很丰富，味道很好吃，烤羊排也不错、总之下次去大连还去多住几天！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '海景房不错', '短评打分': 5}
{'短评内容': '酒店设施好，环境好。风景好。就是赶上大雾看不到海。不过云里雾里的感觉也很好。如有需要，还是会继续选择这里。', '短评打分': 5}
{'短评内容': '我就是冲着这个酒店的位置提前预定的。我喜欢它的幽静，但离其他主要景点也不远。服务，餐饮，出行都不错。下次到大连出差，或者有机会带家人一起过来，还准备住这里。', '短评打分': 5}
{'短评内容': '酒店硬件非常不错，距离大连森林动物园很近一墙之隔！！', '短评打分': 5}
{'短评内容': '酒店很干净，景观也很好，卫生间的感觉也很好。', '短评打分': 5}
{'短评内容': '5星级酒店，服务不错。在山坡上，离海边稍远些。', '短评打分': 5}
{'短评内容': '早餐还不错，有鲜榨果汁，就是打车比较难打，这两天大雪好多司机拒载去这儿。', '短评打分': 5}
{'短评内容': '酒店挺好房间设施卫生都很不错，也是按五星标准建造很好，价格倒是蛮便宜的，其实开车过去还是很方便。而且服务也挺好的。', '短评打分': 5}
{'短评内容': '酒店总体感觉还不错，服务到位，卫生很干净，硬件齐全，门口打车也很方便', '短评打分': 5}
{'短评内容': '酒店背山面海，环境幽静。早餐比较丰富，酒店内的香气和香格里拉一样，服务也很周到。游泳池也不错，水很干净，泳道长度也适宜，适合我这样的初学者', '短评打分': 5}
{'短评内容': '酒店很舒适，卫生很好，早餐也很不错，服务员很热情。', '短评打分': 5}
{'短评内容': '酒店挺好的，房间的卫生设施也还行，价格服务态度都还可以。酒店位置比较好。', '短评打分': 5}
{'短评内容': '酒店的性价比很不错，卫生服务也很达标，位置很好在海边，出行交通也很方便，在大连算是很不错的酒店，值得推荐入住。', '短评打分': 5}
{'短评内容': '环境非常不错，很幽静，适合休闲度假。\r\n早餐有点贵。\r\n宽带上网要收费，这有些过份了。', '短评打分': 5}
{'短评内容': '巴错\\巴错.下次还住.', '短评打分': 3}
{'短评内容': '宁静\\舒适,但对面的海滩不咋的.', '短评打分': 5}
{'短评内容': '这个酒店非常不错，无论是硬件条件，还是服务态度，都非常好，位置也很方便。', '短评打分': 3}
{'短评内容': '酒店位置优越,是看海观景的绝好位置。运动娱乐设施比较新并且全。每个房间都有露台，或观山，或观海。特别是观海房间的露台美不胜收。就是酒店的费用真实好货不便宜呀！餐饮味道一般，价格较贵。', '短评打分': 5}
