{'短评内容': '服务态度很好，环境很好！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店的位置非常好，服务也非常的到位，关键是价格非常的实惠，出行的首选宾馆，五星好评！', '短评打分': 5}
{'短评内容': '非常不错的一家宾馆，看了一眼儿子就喜欢了', '短评打分': 5}
{'短评内容': '酒店环境挺不错的   住了两次了', '短评打分': 5}
{'短评内容': '环境一般、性价比高、出行方便！', '短评打分': 3}
{'短评内容': '环境一般、性价比高！出行方便。', '短评打分': 3}
{'短评内容': '酒店还不错，挺好找的。', '短评打分': 5}
{'短评内容': '还可以！！！', '短评打分': 4}
{'短评内容': '不错，不错，不错，不错', '短评打分': 5}
{'短评内容': '说实在的，尽然没有空调，洗完澡，感觉还是很冷。因为房源紧张，我到达的时间恰好还有一间房，是房顶的夹层。没有空调，各项都不方便。好在服务还不错，主要是服务员说话很中听，所以，勉强坚持到考试结束就急忙大逃亡了。房间床褥还干净。吃饭要跑好远的路找吃的。出门就是街道，但是打车很不方便。热水还给力。作为经济适用房还值得推荐。要是讲求舒适，那还得改善。', '短评打分': 4}
{'短评内容': '周围有点吵', '短评打分': 3}
{'短评内容': '还行，比较实惠', '短评打分': 3}
{'短评内容': '普通旅店而已', '短评打分': 3}
{'短评内容': '我的返现呢？为什么找不到答应的返现？我操作有误吗？', '短评打分': 5}
