{'短评内容': '位置很好，交通便捷', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '出行方便就在火车站附近', '短评打分': 5}
{'短评内容': '地點不錯，交通方便', '短评打分': 4}
{'短评内容': '酒店位置好，交通便利。但是酒店没有停车位，不适合自驾的游客。早餐还算可以。卫生和服务一般，有待提升！', '短评打分': 3}
{'短评内容': '酒店位置比较方便，周边什么都有，吃饭购物出行都很方便，网上订关键是便宜的多。', '短评打分': 5}
{'短评内容': '在京东订比其他网站便宜，房间很大很干净！', '短评打分': 5}
{'短评内容': '老酒店了 旧了 不过 过年能住到这价 也可以了 还不错', '短评打分': 5}
{'短评内容': '好...................................................', '短评打分': 4}
{'短评内容': '好...................................................', '短评打分': 4}
{'短评内容': '还可以吧，位置十分好，交通方便，房间还行', '短评打分': 4}
{'短评内容': '酒店旧了点其它还好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '主要是为了工作方便，其他还行。', '短评打分': 4}
{'短评内容': '还好啦', '短评打分': 5}
{'短评内容': '地理位置很好，附近有BRT文灶站和金榜公园/文灶公交站，相对治安也比较好。酒店后面的一条街是食街，海鲜大排档，麻辣烫，扁食店，粿条等等。三星级宾馆，老牌，虽然近年有装修过，房内一些设施仍然会有些旧，卫生间虽然有浴缸，但感觉有点旧和一丝丝脏。感觉没有三星。只是下塌休息一晚的话，这里是不错的选择。', '短评打分': 4}
{'短评内容': '烂，非常烂！！！！！！美团订购368的房间到了就给328的房间', '短评打分': 1}
{'短评内容': '烂，美团订购368的房间到了就给328的房间', '短评打分': 1}
{'短评内容': '交通方便，附近吃饭方便，但设施陈旧，服务也很一般，性价比不高', '短评打分': 1}
{'短评内容': '酒店地理位置优越，交通便捷，离火车站和机场都很近，步行10分钟就能到火车站，房间布局不错，但设施有点陈旧，早餐种类不够丰富，价格略贵，总体感觉不错。', '短评打分': 5}
{'短评内容': '酒店地理位置优越，房间布局不错，但设施有点陈旧，早餐种类不够丰富，价格略贵，总体感觉不错。', '短评打分': 5}
{'短评内容': '不错，交通很方便，在火车站附近，周边吃饭、购物都很便利。', '短评打分': 5}
{'短评内容': '位置很方便，离鼓浪屿很近，周边小餐馆也很多，要是酒店价格稍微便宜些更好', '短评打分': 5}
{'短评内容': '地理位置很方便。', '短评打分': 3}
{'短评内容': '地理位置不错，但设备陈旧些。', '短评打分': 3}
{'短评内容': '刚去的第一天入住的是14楼的单人间就像特价房一样，守在空调电机旁边很吵，房里搜得很干净，抽纸，饮料样样都没有，而且在14楼连楼下的人说话都听得见，第二天换了个商务单人间，好了很多，建议如果住这家酒店还是不要住单人间', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '没有热空调的房间，在冬季的厦门是不受欢迎的。能改变吗', '短评打分': 1}
{'短评内容': '交通很便捷，酒店房间很安静的，就是觉得设施旧了点，什么化妆台呀之类的都有些旧了，不过去火车站坐BRT5分钟就到了，总是还是很满意的。', '短评打分': 5}
{'短评内容': '很喜欢这家洒店，地段好，洒店内环境是我喜欢的那种，干净，舒适，挺不错的', '短评打分': 5}
{'短评内容': '酒店服务不错！', '短评打分': 5}
