{'短评内容': '网上订了房退不了', '短评打分': 2}
{'短评内容': '差 特别是停车', '短评打分': 3}
{'短评内容': '还算可以吧！', '短评打分': 4}
{'短评内容': '可以，过得去了', '短评打分': 4}
{'短评内容': '房间空间有点小', '短评打分': 5}
{'短评内容': '前台有个女的服务态度极差，微胖脸大点，有机会上图，新市城市快捷酒店，附近比较热闹，什么都有，希望各位遇到好点的前台服务', '短评打分': 4}
{'短评内容': '环境还行，就是停车不方便，停车位少！', '短评打分': 5}
{'短评内容': '價格跟其他便捷比貴一倍', '短评打分': 5}
{'短评内容': '嗯嗯嗯嗯嗯&hellip;&hellip;', '短评打分': 5}
{'短评内容': '可以不错&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '下单系统传输很快，酒店住起来也很舒服', '短评打分': 5}
{'短评内容': '交通方便，还有停车场，不错的酒店！', '短评打分': 5}
{'短评内容': '环境不错，房子里面挺干净。', '短评打分': 5}
{'短评内容': '很方便！周围都是居民区，旁边不远有商场，超市，很好。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '环境卫生有待提高', '短评打分': 1}
{'短评内容': '酒店位置很好，房间内要用的东西比较齐全，桌子看上去有点旧了，不过挺干净的，床软软的也比较舒服，隔音很好。', '短评打分': 5}
{'短评内容': '好好好………………………      马马虎虎', '短评打分': 2}
{'短评内容': '酒店房间的环境非常满意！下次还会继续住那里的！', '短评打分': 5}
{'短评内容': '还不错，挺舒适干净卫生的', '短评打分': 3}
{'短评内容': '房间很不错，要的是靠马路边的房间，宽敞，空气也好，下次还会来的', '短评打分': 3}
{'短评内容': '挺好的，经常出差都过来，早餐不错', '短评打分': 3}
{'短评内容': '城市便捷习惯的风格。从广西住到广东。环境还是很不错的，就是电视有机顶盒就好了。电视在大点。现在最低标准32寸了。', '短评打分': 5}
{'短评内容': '酒店客房还蛮新，房价相比其它快捷酒店小贵，总体来讲不错。', '短评打分': 3}
{'短评内容': '环境不错 挺新的', '短评打分': 3}
{'短评内容': '挺好的，就是有点小，周边比较乱，公交很方便。', '短评打分': 5}
{'短评内容': '服务很好，环境很好，还带早餐，外面吃的也很多', '短评打分': 5}
{'短评内容': '环境不错，服务好，晚上睡觉安静，有回家的感觉', '短评打分': 3}
{'短评内容': '还不错。。环境不错，支持支持支持支持。。。。。。。。', '短评打分': 5}
{'短评内容': '好干净，很好的居住体验！', '短评打分': 3}
{'短评内容': '房间很好很干净，舒适卫生，价格也很合理，另外还有自助洗衣房有早点，退房是2点。顶一下，希望大家去体验一下。', '短评打分': 5}
{'短评内容': '虽然酒店周围的环境不是很好，但房间内部装修还行，商务房挺大的', '短评打分': 5}
