{'短评内容': '还不错，位置很好。', '短评打分': 4}
{'短评内容': '只能说酒店的硬件条件对不起这个价格，没毛巾牙刷（收费的都没有），房间太小，枕头只有一个。是我觉得住过的最不值的酒店。', '短评打分': 4}
{'短评内容': '服务态度很差，而且是同一个房间为什么第一晚是138第二个晚上就要149，真的搞不懂，大清早打电话说做下卫生，等会半个多小时还没来做，这也就算了，和一个大姐说了一句话，面无表情，理也不理，再次再也不会来了', '短评打分': 2}
{'短评内容': '前台处理速度很快，服务周到，服务员很热情，大堂很明亮，很温馨，WIFI速度快，电视很不错，床靠着窗户，房间宽敞，房间干净，房内没有异味，隔音好，热水快，浴室下水快 ，布草很干净，整体布置挺温馨，感觉很好，非常舒适，硬件好，设施设备都很不错，楼道音乐很好听，晚上送了牛奶，体贴周到，睡得很舒服，退房快，整体便宜安静，停车方便，硬件好，设施设备好，服务热情，价格实惠，亲民，性价比高，非常舒适，整体便宜安', '短评打分': 5}
{'短评内容': '没有早餐，不能加床，环境清净，适合带小孩，地理位置优越停车方便，带大窗，价格实惠。前台很友好，下次还会光顾。', '短评打分': 4}
{'短评内容': '环境还不错，也不贵，房间挺好的，位置也很好找，交通也方便，前台美女服务很热情，很有耐心，房间卫生蛮干净的，设施挺好的，WiFi玩网游也不卡，隔音效果也不错', '短评打分': 5}
{'短评内容': '环境还不错，也不贵，房间挺好的，位置也很好找，交通也方便，前台美女服务很热情，很有耐心，房间卫生蛮干净的，设施挺好的，WiFi玩网游也不卡，隔音效果也不错', '短评打分': 5}
{'短评内容': '环境还不错，也不贵，房间挺好的，位置也很好找，交通也方便，前台美女服务很热情，很有耐心，房间卫生蛮干净的，设施挺好的，WiFi玩网游也不卡，隔音效果也不错', '短评打分': 5}
{'短评内容': 'wifi好，热水快，卫生干净，服务好，停车方便，硬件设备也很好，前台热情，房间大，空气好，一切都很好，位置好，环境优越，服务热情', '短评打分': 5}
{'短评内容': '价格很美丽，对应的设施也比较简陋了', '短评打分': 5}
{'短评内容': '环境不错，性价比很高，很喜欢。', '短评打分': 5}
{'短评内容': '环境不错，性价比很高，很喜欢。', '短评打分': 5}
{'短评内容': '环境不错，性价比很高，很喜欢。', '短评打分': 5}
{'短评内容': '环境不错，性价比很高，很喜欢。', '短评打分': 5}
{'短评内容': '环境不错，性价比很高，很喜欢。', '短评打分': 5}
