{'短评内容': '酒店不错，值得推荐！', '短评打分': 4}
{'短评内容': '环境还不错 价格也不贵。', '短评打分': 5}
{'短评内容': '很不错，京东很便宜', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境不错，服务也不错，整体还可以', '短评打分': 5}
{'短评内容': '房间里的饮料估计是入住之前就被人拆了，一直没碰过水，退房说被拆了，酒店够够的。床单还是补过的。', '短评打分': 1}
{'短评内容': '房间干净，前台服务员热情！', '短评打分': 5}
{'短评内容': '房间比较大，有点旧了。停车购物都很方便', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还不错商务出差，离学校比较近一点，所以就定下来了，价格实惠，干净整洁，不错的选择，还有就是服务态度还是可以的了，以后都选择这家啦', '短评打分': 4}
{'短评内容': '刚进门有股卫生间的臭味', '短评打分': 3}
{'短评内容': '淮北的这家还是不错的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很不错，下次还会去', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '已经住了好几次，但这次住的房间隔音不太好，比较吵，其它还都可以接受。', '短评打分': 4}
