{'短评内容': '普通的房间，，，，，，看地段就勉强接受吧', '短评打分': 5}
{'短评内容': '真的破 壁纸也破了 看着很破烂', '短评打分': 3}
{'短评内容': '不好，差评，房间好差，连包纸巾都没，厕所排风感觉要掉了，隔音效果特别差', '短评打分': 2}
{'短评内容': '房间挺好，大小还可以，提前预订性价比很高。卫生条件挺好，房间没有异味，其他设备设施都满意。就是没有早餐，这个不好！', '短评打分': 5}
{'短评内容': '酒店位置真是没得说，步行去外滩只要二十分钟左右。周边逛街吃东西的地方也多，离地铁站也就走路10分钟。可是说回环境，特价房的环境真是不敢恭维……潮湿，墙皮脱落，卫生一般，隔音很烂，而且手机没有信号，wifi也经常掉线…总体来说，一分钱一分货，不可两全。', '短评打分': 3}
{'短评内容': '还不错 离各个景区比较近', '短评打分': 4}
{'短评内容': '前台025工号服务极差，态度恶劣', '短评打分': 1}
{'短评内容': '确实很不错，房间物品很干净，很人性化，这个价格也很实在，比旁边住宿好很多，同等价位，性价比高出很多，特别适合出游住宿。床上让我弄的有点乱，嘿嘿。再说一下，这个24K酒店，确实不错。', '短评打分': 5}
{'短评内容': '地理位置是相当的好，上次去就住这里，只不过旺季真的是贵啊！', '短评打分': 5}
{'短评内容': '酒店各方面基本还可以，就是走廊里有一些气味，位置离南京路步行街比较近，去逛街购物还比较方便，房间也挺小，说是豪华大床', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '服务很热情，也很有效率，房间干净，卫生间很宽敞，空调也很好，热水很方便，舒心的旅程', '短评打分': 5}
{'短评内容': '地理位置很好  去人民广场 外滩都很近 晚上附近还有小吃什么的 便利店也很近 酒店空调也挺暖和 拖鞋每天给换 价格也很合理 下次去还会考虑这家酒店 ', '短评打分': 5}
{'短评内容': '酒店服务员拾金不昧，退房把2仟元和垃圾丢在垃圾桶，服务员看到了打电话通知去领，谢谢', '短评打分': 5}
