{'短评内容': '此用户未填写评价内容', '短评打分': 5}
{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '服务好，卫生干净，交通便利，位置繁华，去火车站只要五分钟，隔壁就是两个汽车站，去哪都方便。无线网络非常快，前台员工非常有礼貌，热水系统非常好，布草非常干净，住得非常舒适，房间也大，阳光充足，下次来了还要住这', '短评打分': 5}
{'短评内容': '好 设施给力 wifi快 床舒服 交通便利 房间大 价格实惠 服务满意 位置繁华 温馨浪漫 干净整洁 环境很好 性价比高 房间宽敞 wifi快 温馨浪漫 价格实惠好 设施给力 wifi快 床舒服 交通便利 房间大 价格实惠 服务满意 位置繁华 温馨浪漫 干净整洁 环境很好 性价比高 房间宽敞 wifi快 温馨浪漫 价格实惠好 设施给力 wifi快 床舒服 交通便利 房间大 价格实惠 服务满意 位置', '短评打分': 5}
{'短评内容': '好 设施给力 wifi快 床舒服 交通便利 房间大 价格实惠 服务满意 位置繁华 温馨浪漫 干净整洁 环境很好 性价比高 房间宽敞 wifi快 温馨浪漫 价格实惠好 设施给力 wifi快 床舒服 交通便利 房间大 价格实惠 服务满意 位置繁华 温馨浪漫 干净整洁 环境很好 性价比高 房间宽敞 wifi快 温馨浪漫 价格实惠好 设施给力 wifi快 床舒服 交通便利 房间大 价格实惠 服务满意 位置', '短评打分': 5}
{'短评内容': '地理位置好，房间很大，布草干净。很舒服 位置繁华 温馨浪漫 床舒服 设施新 环境还好 价格实惠 服务好wifi快 性价比高 交通便利 房间宽敞 干净整洁地理位置好，房间很大，布草干净。很舒服 位置繁华 温馨浪漫 床舒服 设施新 环境好 价格实惠 服务很好wifi快 性价比高 交通便利 房间宽敞 干净整洁', '短评打分': 5}
{'短评内容': '方便快捷，价格相对实惠。已经舍弃了飞猪去哪儿携程', '短评打分': 5}
{'短评内容': '开始入住的时候出了点问题，后来解决了。', '短评打分': 3}
{'短评内容': '房间干净，毛巾都是封包的，网络也很快，电视都是网络电视。前台服务态度好，还有免费的停车场', '短评打分': 5}
{'短评内容': '唯一的就是网速慢', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '原来住过，再次入住，发现床铺有毛发，不知何物，皮肤被针刺样的咬了几个红点！', '短评打分': 3}
{'短评内容': '房间里面有点旧，厕所有气味，通风措施不太理想', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
