{'短评内容': '挺好的。', '短评打分': 5}
{'短评内容': '离儿童医院很近，酒店设施比较新，很安静，适合休息', '短评打分': 5}
{'短评内容': '已经不对外了', '短评打分': 5}
{'短评内容': '都挺好', '短评打分': 5}
{'短评内容': '适合带孩子', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '酒店非常干净，不错', '短评打分': 5}
{'短评内容': '好像是部队的招待所，很干净，就是房间的装修有点旧。在北京，这个价格挺好的了', '短评打分': 5}
{'短评内容': '房间大，周边安静。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '干净卫生环境很好 位置也很好', '短评打分': 4}
{'短评内容': '离儿童医院很近', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '真的不错。入住的时候赶上年底办会朵，前台服务人员态度很好，为了孩子还给免费换了房间，下次入住一定会优先考虑！', '短评打分': 5}
{'短评内容': '游泳池有点小。电梯太慢。位置很好 父母很喜欢', '短评打分': 4}
{'短评内容': '位置好 性价比高 但人员服务态度不好。', '短评打分': 4}
{'短评内容': '前台态度不好 就像我欠了他们钱一样………', '短评打分': 5}
{'短评内容': '还不错吧，一直住的', '短评打分': 4}
{'短评内容': '非常满意，已经是第二次入住了', '短评打分': 5}
{'短评内容': '很好的地点和环境和服务', '短评打分': 5}
{'短评内容': '住的还行了。下次还会来。', '短评打分': 4}
{'短评内容': '住的还行了。下次还会来。', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '非常不満意，只接受內賓还接受外地客付款，还没收全额，不退款，非常悪劣', '短评打分': 1}
